# Species	Genes	Alg.-Conn.	042.fasta	11368.fasta	2a301.fasta	ATCC8739.fasta	IAI39.fasta	O55H7.fasta	S88.fasta	Ss046.fasta	W.fasta
9	10	0.749	lcl|FN554766.1_prot_CBG34065.1_1231	lcl|AP010953.1_prot_BAI25006.1_1707	lcl|NC_004337.2_prot_NP_707092.1_1093,lcl|NC_004337.2_prot_NP_707095.1_1096	lcl|NZ_CP022959.1_prot_WP_000020169.1_2525	lcl|NC_011750.1_prot_WP_000020138.1_1517	lcl|CP003109.1_prot_AEZ40020.1_1385	lcl|CU928161.2_prot_CAR02583.1_1211	lcl|CP000038.1_prot_AAZ87908.1_1111	lcl|NC_017635.1_prot_WP_000020161.1_1263
9	10	0.632	lcl|FN554766.1_prot_CBG34066.1_1232	lcl|AP010953.1_prot_BAI25007.1_1708	lcl|NC_004337.2_prot_NP_707093.1_1094,lcl|NC_004337.2_prot_NP_707096.2_1097	lcl|NZ_CP022959.1_prot_WP_000511313.1_2524	lcl|NC_011750.1_prot_WP_001330447.1_1518	lcl|CP003109.1_prot_AEZ40021.1_1386	lcl|CU928161.2_prot_CAR02584.1_1212	lcl|CP000038.1_prot_AAZ87909.1_1112	lcl|NC_017635.1_prot_WP_000511313.1_1264
9	10	0.34	lcl|FN554766.1_prot_CBG32850.1_16	lcl|AP010953.1_prot_BAI23379.1_15,lcl|AP010953.1_prot_BAI23380.1_16	lcl|NC_004337.2_prot_YP_008439227.1_15	lcl|NZ_CP022959.1_prot_WP_000809172.1_3784	lcl|NC_011750.1_prot_WP_000809168.1_15	lcl|CP003109.1_prot_AEZ38649.1_14	lcl|CU928161.2_prot_CAR01383.1_15	lcl|CP000038.1_prot_AAZ86813.1_15	lcl|NC_017635.1_prot_WP_000809168.1_16
9	10	0.173	lcl|FN554766.1_prot_CBG36376.1_3542	lcl|AP010953.1_prot_BAI27546.1_4374	lcl|NC_004337.2_prot_NP_709061.1_2994,lcl|NC_004337.2_prot_NP_709270.2_3197	lcl|NZ_CP022959.1_prot_WP_000738568.1_451	lcl|NC_011750.1_prot_WP_000738568.1_3737	lcl|CP003109.1_prot_AEZ42367.1_3732	lcl|CU928161.2_prot_CAR04880.1_3506	lcl|CP000038.1_prot_AAZ89980.1_3183	lcl|NC_017635.1_prot_WP_000738579.1_3477
9	9	0.911	lcl|FN554766.1_prot_CBG34911.1_2077	lcl|AP010953.1_prot_BAI26056.1_2817	lcl|NC_004337.2_prot_NP_707811.1_1787	lcl|NZ_CP022959.1_prot_WP_000270663.1_1768	lcl|NC_011750.1_prot_WP_000270675.1_1115	lcl|CP003109.1_prot_AEZ40869.1_2234	lcl|CU928161.2_prot_CAR03279.1_1907	lcl|CP000038.1_prot_AAZ88647.1_1850	lcl|NC_017635.1_prot_WP_000270663.1_2078
9	9	0.91	lcl|FN554766.1_prot_CBG36229.1_3395	lcl|AP010953.1_prot_BAI27388.1_4214	lcl|NC_004337.2_prot_NP_708913.2_2849	lcl|NZ_CP022959.1_prot_WP_001295544.1_605	lcl|NC_011750.1_prot_WP_001295544.1_3579	lcl|CP003109.1_prot_AEZ42213.1_3578	lcl|CU928161.2_prot_CAR04730.1_3356	lcl|CP000038.1_prot_AAZ89842.1_3045	lcl|NC_017635.1_prot_WP_001295544.1_3327
9	9	0.91	lcl|FN554766.1_prot_CBG37172.1_4338	lcl|AP010953.1_prot_BAI28241.1_5089	lcl|NC_004337.2_prot_NP_709776.1_3689	lcl|NZ_CP022959.1_prot_WP_001275702.1_4201	lcl|NC_011750.1_prot_WP_001275702.1_4321	lcl|CP003109.1_prot_AEZ43131.1_4496	lcl|CU928161.2_prot_CAR05611.1_4238	lcl|CP000038.1_prot_AAZ90659.1_3862	lcl|NC_017635.1_prot_WP_001275702.1_4241
9	9	0.909	lcl|FN554766.1_prot_CBG35056.1_2222	lcl|AP010953.1_prot_BAI26113.1_2882	lcl|NC_004337.2_prot_NP_707894.2_1867	lcl|NZ_CP022959.1_prot_WP_012304857.1_1687	lcl|NC_011750.1_prot_WP_001296197.1_1047	lcl|CP003109.1_prot_AEZ40987.1_2352	lcl|CU928161.2_prot_CAR03350.1_1978	lcl|CP000038.1_prot_AAZ88709.1_1912	lcl|NC_017635.1_prot_WP_001297350.1_2136
9	9	0.909	lcl|FN554766.1_prot_CBG35582.1_2748	lcl|AP010953.1_prot_BAI26790.1_3592	lcl|NC_004337.2_prot_NP_708383.1_2343	lcl|NZ_CP022959.1_prot_WP_000700809.1_1171	lcl|NC_011750.1_prot_WP_000700792.1_2734	lcl|CP003109.1_prot_AEZ41614.1_2979	lcl|CU928161.2_prot_CAR03981.1_2609	lcl|CP000038.1_prot_AAZ89254.1_2457	lcl|NC_017635.1_prot_WP_000700809.1_2742
9	9	0.908	lcl|FN554766.1_prot_CBG33712.1_878	lcl|AP010953.1_prot_BAI24239.1_923	lcl|NC_004337.2_prot_NP_706675.1_684	lcl|NZ_CP022959.1_prot_WP_000007101.1_2962	lcl|NC_011750.1_prot_WP_000007135.1_764	lcl|CP003109.1_prot_AEZ39604.1_969	lcl|CU928161.2_prot_CAR02153.1_781	lcl|CP000038.1_prot_AAZ87524.1_726	lcl|NC_017635.1_prot_WP_000007101.1_836
9	9	0.908	lcl|FN554766.1_prot_CBG36218.1_3384	lcl|AP010953.1_prot_BAI27377.1_4203	lcl|NC_004337.2_prot_NP_708904.2_2840	lcl|NZ_CP022959.1_prot_WP_001166761.1_616	lcl|NC_011750.1_prot_WP_001166761.1_3568	lcl|CP003109.1_prot_AEZ42203.1_3568	lcl|CU928161.2_prot_CAR04720.1_3346	lcl|CP000038.1_prot_AAZ89832.1_3035	lcl|NC_017635.1_prot_WP_001166768.1_3316
9	9	0.907	lcl|FN554766.1_prot_CBG33591.1_757	lcl|AP010953.1_prot_BAI24128.1_803	lcl|NC_004337.2_prot_NP_706492.1_512	lcl|NZ_CP022959.1_prot_WP_000097580.1_3032	lcl|NC_011750.1_prot_WP_000097569.1_711	lcl|CP003109.1_prot_AEZ39496.1_861	lcl|CU928161.2_prot_CAR02104.1_732	lcl|CP000038.1_prot_AAZ87450.1_652	lcl|NC_017635.1_prot_WP_000097580.1_787
9	9	0.907	lcl|FN554766.1_prot_CBG35328.1_2494	lcl|AP010953.1_prot_BAI26450.1_3243	lcl|NC_004337.2_prot_NP_708139.4_2103	lcl|NZ_CP022959.1_prot_WP_001300684.1_1439	lcl|NC_011750.1_prot_WP_024188371.1_2396	lcl|CP003109.1_prot_AEZ41341.1_2706	lcl|CU928161.2_prot_CAR03682.1_2309	lcl|CP000038.1_prot_AAZ88959.1_2162	lcl|NC_017635.1_prot_WP_001379044.1_2422
9	9	0.907	lcl|FN554766.1_prot_CBG37518.1_4684	lcl|AP010953.1_prot_BAI28521.1_5385	lcl|NC_004337.2_prot_NP_709981.1_3892	lcl|NZ_CP022959.1_prot_WP_000175286.1_3944	lcl|NC_011750.1_prot_WP_000175277.1_4632	lcl|CP003109.1_prot_AEZ43375.1_4740	lcl|CU928161.2_prot_CAR05958.1_4582	lcl|CP000038.1_prot_AAZ90881.1_4084	lcl|NC_017635.1_prot_WP_000175289.1_4473
9	9	0.906	lcl|FN554766.1_prot_CBG34814.1_1980	lcl|AP010953.1_prot_BAI25834.1_2593	lcl|NC_004337.2_prot_NP_707297.1_1292	lcl|NZ_CP022959.1_prot_WP_001062678.1_1869	lcl|NC_011750.1_prot_WP_001062678.1_1214	lcl|CP003109.1_prot_AEZ40770.1_2135	lcl|CU928161.2_prot_CAR03181.1_1809	lcl|CP000038.1_prot_AAZ88048.1_1251	lcl|NC_017635.1_prot_WP_001062678.1_1976
9	9	0.906	lcl|FN554766.1_prot_CBG36679.1_3845	lcl|AP010953.1_prot_BAI28206.1_5052	lcl|NC_004337.2_prot_NP_709327.2_3256	lcl|NZ_CP022959.1_prot_WP_000438953.1_172	lcl|NC_011750.1_prot_WP_000438948.1_4021	lcl|CP003109.1_prot_AEZ42660.1_4025	lcl|CU928161.2_prot_CAR05177.1_3803	lcl|CP000038.1_prot_AAZ90383.1_3586	lcl|NC_017635.1_prot_WP_000438953.1_3753
9	9	0.905	lcl|FN554766.1_prot_CBG35189.1_2355	lcl|AP010953.1_prot_BAI26247.1_3031	lcl|NC_004337.2_prot_NP_708010.2_1979	lcl|NZ_CP022959.1_prot_WP_001373876.1_1572	lcl|NC_011750.1_prot_WP_001329821.1_881	lcl|CP003109.1_prot_AEZ41139.1_2504	lcl|CU928161.2_prot_CAR03549.1_2177	lcl|CP000038.1_prot_AAZ88819.1_2022	lcl|NC_017635.1_prot_WP_001349936.1_2298
9	9	0.905	lcl|FN554766.1_prot_CBG35390.1_2556	lcl|AP010953.1_prot_BAI26512.1_3305	lcl|NC_004337.2_prot_NP_708199.1_2162	lcl|NZ_CP022959.1_prot_WP_000364335.1_1378	lcl|NC_011750.1_prot_WP_000364327.1_2461	lcl|CP003109.1_prot_AEZ41403.1_2768	lcl|CU928161.2_prot_CAR03743.1_2370	lcl|CP000038.1_prot_AAZ89018.1_2221	lcl|NC_017635.1_prot_WP_000364331.1_2483
9	9	0.905	lcl|FN554766.1_prot_CBG35754.1_2920	lcl|AP010953.1_prot_BAI26988.1_3795	lcl|NC_004337.2_prot_NP_708531.2_2479	lcl|NZ_CP022959.1_prot_WP_001059922.1_1016	lcl|NC_011750.1_prot_WP_001059912.1_2899	lcl|CP003109.1_prot_AEZ41784.1_3149	lcl|CU928161.2_prot_CAR04241.1_2870	lcl|CP000038.1_prot_AAZ89481.1_2684	lcl|NC_017635.1_prot_WP_001059931.1_2889
9	9	0.905	lcl|FN554766.1_prot_CBG36851.1_4017	lcl|AP010953.1_prot_BAI28069.1_4913	lcl|NC_004337.2_prot_NP_709524.1_3447	lcl|NZ_CP022959.1_prot_WP_001181706.1_33	lcl|NC_011750.1_prot_WP_001181706.1_4227	lcl|CP003109.1_prot_AEZ42834.1_4199	lcl|CU928161.2_prot_CAR05302.1_3928	lcl|CP000038.1_prot_AAZ90174.1_3377	lcl|NC_017635.1_prot_WP_001181706.1_3898
9	9	0.904	lcl|FN554766.1_prot_CBG33473.1_639	lcl|AP010953.1_prot_BAI24015.1_686	lcl|NC_004337.2_prot_NP_706468.1_488	lcl|NZ_CP022959.1_prot_WP_000643397.1_3157	lcl|NC_011750.1_prot_WP_012602223.1_581	lcl|CP003109.1_prot_AEZ39375.1_740	lcl|CU928161.2_prot_CAR01993.1_622	lcl|CP000038.1_prot_AAZ87330.1_532	lcl|NC_017635.1_prot_WP_001331449.1_664
9	9	0.904	lcl|FN554766.1_prot_CBG33688.1_854	lcl|AP010953.1_prot_BAI24219.1_903	lcl|NC_004337.2_prot_NP_706655.2_664	lcl|NZ_CP022959.1_prot_WP_000246761.1_2983	lcl|NC_011750.1_prot_WP_000201219.1_744	lcl|CP003109.1_prot_AEZ39584.1_949	lcl|CU928161.2_prot_CAR02133.1_761	lcl|CP000038.1_prot_AAZ87505.1_707	lcl|NC_017635.1_prot_WP_000246781.1_815
9	9	0.904	lcl|FN554766.1_prot_CBG33760.1_926	lcl|AP010953.1_prot_BAI24287.1_971	lcl|NC_004337.2_prot_NP_706723.2_733	lcl|NZ_CP022959.1_prot_WP_001299614.1_2909	lcl|NC_011750.1_prot_WP_001295901.1_816	lcl|CP003109.1_prot_AEZ39654.1_1019	lcl|CU928161.2_prot_CAR02199.1_827	lcl|CP000038.1_prot_AAZ87572.1_774	lcl|NC_017635.1_prot_WP_001297001.1_887
9	9	0.904	lcl|FN554766.1_prot_CBG33783.1_949	lcl|AP010953.1_prot_BAI24309.1_993	lcl|NC_004337.2_prot_NP_706747.1_757	lcl|NZ_CP022959.1_prot_WP_001160737.1_2835	lcl|NC_011750.1_prot_WP_001160731.1_839	lcl|CP003109.1_prot_AEZ39680.1_1045	lcl|CU928161.2_prot_CAR02222.1_850	lcl|CP000038.1_prot_AAZ87595.1_797	lcl|NC_017635.1_prot_WP_001160737.1_958
9	9	0.904	lcl|FN554766.1_prot_CBG33868.1_1034	lcl|AP010953.1_prot_BAI24403.1_1087	lcl|NC_004337.2_prot_NP_706883.1_891	lcl|NZ_CP022959.1_prot_WP_000875061.1_2739	lcl|NC_011750.1_prot_WP_000875041.1_2187	lcl|CP003109.1_prot_AEZ39772.1_1137	lcl|CU928161.2_prot_CAR02314.1_942	lcl|CP000038.1_prot_AAZ87701.1_903	lcl|NC_017635.1_prot_WP_000875023.1_1052
9	9	0.904	lcl|FN554766.1_prot_CBG33926.1_1092	lcl|AP010953.1_prot_BAI24673.1_1372	lcl|NC_004337.2_prot_NP_706949.1_956	lcl|NZ_CP022959.1_prot_WP_000833288.1_2659	lcl|NC_011750.1_prot_WP_000833288.1_2121	lcl|CP003109.1_prot_AEZ39870.1_1235	lcl|CU928161.2_prot_CAR02379.1_1007	lcl|CP000038.1_prot_AAZ87775.1_978	lcl|NC_017635.1_prot_WP_000833288.1_1128
9	9	0.904	lcl|FN554766.1_prot_CBG35090.1_2256	lcl|AP010953.1_prot_BAI26144.1_2921	lcl|NC_004337.2_prot_NP_707903.1_1876	lcl|NZ_CP022959.1_prot_WP_000980610.1_1680	lcl|NC_011750.1_prot_WP_000980557.1_996	lcl|CP003109.1_prot_AEZ41016.1_2381	lcl|CU928161.2_prot_CAR03398.1_2025	lcl|CP000038.1_prot_AAZ88737.1_1940	lcl|NC_017635.1_prot_WP_000980597.1_2143
9	9	0.904	lcl|FN554766.1_prot_CBG35283.1_2449	lcl|AP010953.1_prot_BAI26348.1_3136	lcl|NC_004337.2_prot_NP_708105.2_2071	lcl|NZ_CP022959.1_prot_WP_000712249.1_1486	lcl|NC_011750.1_prot_WP_000712250.1_2344	lcl|CP003109.1_prot_AEZ41299.1_2664	lcl|CU928161.2_prot_CAR03638.1_2265	lcl|CP000038.1_prot_AAZ88914.1_2117	lcl|NC_017635.1_prot_WP_000712252.1_2385
9	9	0.904	lcl|FN554766.1_prot_CBG35292.1_2458	lcl|AP010953.1_prot_BAI26357.1_3145	lcl|NC_004337.2_prot_NP_708113.2_2079	lcl|NZ_CP022959.1_prot_WP_000876026.1_1477	lcl|NC_011750.1_prot_WP_000876054.1_2353	lcl|CP003109.1_prot_AEZ41308.1_2673	lcl|CU928161.2_prot_CAR03647.1_2274	lcl|CP000038.1_prot_AAZ88924.1_2127	lcl|NC_017635.1_prot_WP_000876014.1_2394
9	9	0.904	lcl|FN554766.1_prot_CBG35815.1_2981	lcl|AP010953.1_prot_BAI27050.1_3859	lcl|NC_004337.2_prot_NP_708583.1_2529	lcl|NZ_CP022959.1_prot_WP_000097082.1_954	lcl|NC_011750.1_prot_WP_000097082.1_3188	lcl|CP003109.1_prot_AEZ41846.1_3211	lcl|CU928161.2_prot_CAR04299.1_2927	lcl|CP000038.1_prot_AAZ89545.1_2748	lcl|NC_017635.1_prot_WP_000097082.1_2954
9	9	0.904	lcl|FN554766.1_prot_CBG35836.1_3002	lcl|AP010953.1_prot_BAI27070.1_3879	lcl|NC_004337.2_prot_NP_708603.1_2549	lcl|NZ_CP022959.1_prot_WP_000750398.1_934	lcl|NC_011750.1_prot_WP_000750398.1_3208	lcl|CP003109.1_prot_AEZ41867.1_3232	lcl|CU928161.2_prot_CAR04319.1_2947	lcl|CP000038.1_prot_AAZ89564.1_2767	lcl|NC_017635.1_prot_WP_000750398.1_2974
9	9	0.904	lcl|FN554766.1_prot_CBG36415.1_3581	lcl|AP010953.1_prot_BAI27587.1_4417	lcl|NC_004337.2_prot_NP_709103.1_3034	lcl|NZ_CP022959.1_prot_WP_000447529.1_411	lcl|NC_011750.1_prot_WP_000447529.1_3777	lcl|CP003109.1_prot_AEZ42408.1_3773	lcl|CU928161.2_prot_CAR04919.1_3545	lcl|CP000038.1_prot_AAZ90018.1_3221	lcl|NC_017635.1_prot_WP_000447529.1_3517
9	9	0.904	lcl|FN554766.1_prot_CBG36584.1_3750	lcl|AP010953.1_prot_BAI27737.1_4567	lcl|NC_004337.2_prot_NP_709250.1_3177	lcl|NZ_CP022959.1_prot_WP_000173666.1_246	lcl|NC_011750.1_prot_WP_000173690.1_3928	lcl|CP003109.1_prot_AEZ42571.1_3936	lcl|CU928161.2_prot_CAR05095.1_3721	lcl|CP000038.1_prot_AAZ90264.1_3467	lcl|NC_017635.1_prot_WP_000173666.1_3673
9	9	0.904	lcl|FN554766.1_prot_CBG36599.1_3765	lcl|AP010953.1_prot_BAI27747.1_4579	lcl|NC_004337.2_prot_NP_709273.1_3200	lcl|NZ_CP022959.1_prot_WP_000439180.1_233	lcl|NC_011750.1_prot_WP_000439205.1_3947	lcl|CP003109.1_prot_AEZ42589.1_3954	lcl|CU928161.2_prot_CAR05108.1_3734	lcl|CP000038.1_prot_AAZ90273.1_3476	lcl|NC_017635.1_prot_WP_000439180.1_3684
9	9	0.904	lcl|FN554766.1_prot_CBG37532.1_4698	lcl|AP010953.1_prot_BAI28537.1_5401	lcl|NC_004337.2_prot_NP_709967.1_3879	lcl|NZ_CP022959.1_prot_WP_000166270.1_3930	lcl|NC_011750.1_prot_WP_000166273.1_4651	lcl|CP003109.1_prot_AEZ43393.1_4758	lcl|CU928161.2_prot_CAR05972.1_4596	lcl|CP000038.1_prot_AAZ90895.1_4098	lcl|NC_017635.1_prot_WP_000166270.1_4489
9	9	0.903	lcl|FN554766.1_prot_CBG32849.1_15	lcl|AP010953.1_prot_BAI23378.1_14	lcl|NC_004337.2_prot_NP_705974.2_14	lcl|NZ_CP022959.1_prot_WP_001118464.1_3786	lcl|NC_011750.1_prot_WP_001118464.1_14	lcl|CP003109.1_prot_AEZ38648.1_13	lcl|CU928161.2_prot_CAR01382.1_14	lcl|CP000038.1_prot_AAZ86812.1_14	lcl|NC_017635.1_prot_WP_001118464.1_15
