# Species	Genes	Alg.-Conn.	11128.fasta	2a301.fasta	MG1655.fasta	O55H7.fasta	SE11.fasta	SMS-3-5.fasta	Sb227.fasta	UMN026.fasta
8	9	0.617	lcl|AP010960.1_prot_BAI37347.1_3545	lcl|NC_004337.2_prot_NP_708608.1_2554	lcl|NC_000913.3_prot_NP_417294.4_2774	lcl|CP003109.1_prot_AEZ41872.1_3237	lcl|NC_011415.1_prot_WP_000016907.1_3080	lcl|NC_010498.1_prot_WP_000016907.1_2865,lcl|NC_010498.1_prot_WP_000961390.1_3042	lcl|CP000036.1_prot_ABB67237.1_2505	lcl|NC_011751.1_prot_WP_000016907.1_3102
8	8	0.905	lcl|AP010960.1_prot_BAI36974.1_3156	lcl|NC_004337.2_prot_NP_708279.1_2241	lcl|NC_000913.3_prot_NP_416922.1_2403	lcl|CP003109.1_prot_AEZ41500.1_2865	lcl|NC_011415.1_prot_WP_000966468.1_2731	lcl|NC_010498.1_prot_WP_000966459.1_2504	lcl|CP000036.1_prot_ABB67006.1_2274	lcl|NC_011751.1_prot_WP_000966447.1_2722
8	8	0.904	lcl|AP010960.1_prot_BAI38179.1_4418	lcl|NC_004337.2_prot_NP_709371.1_3299	lcl|NC_000913.3_prot_NP_418054.1_3538	lcl|CP003109.1_prot_AEZ42704.1_4069	lcl|NC_011415.1_prot_WP_000364939.1_3872	lcl|NC_010498.1_prot_WP_000364939.1_3787	lcl|CP000036.1_prot_ABB68076.1_3344	lcl|NC_011751.1_prot_WP_000364939.1_4040
8	8	0.903	lcl|AP010960.1_prot_BAI34428.1_449	lcl|NC_004337.2_prot_NP_706307.1_332	lcl|NC_000913.3_prot_NP_414953.2_411	lcl|CP003109.1_prot_AEZ39136.1_501	lcl|NC_011415.1_prot_WP_001199827.1_439	lcl|NC_010498.1_prot_WP_001199804.1_443	lcl|CP000036.1_prot_ABB65026.1_290	lcl|NC_011751.1_prot_WP_001199801.1_456
8	8	0.903	lcl|AP010960.1_prot_BAI38266.1_4511	lcl|NC_004337.2_prot_NP_709514.1_3437	lcl|NC_000913.3_prot_NP_418139.1_3631	lcl|CP003109.1_prot_AEZ42847.1_4212	lcl|NC_011415.1_prot_WP_001300779.1_3962	lcl|NC_010498.1_prot_WP_001300779.1_3905	lcl|CP000036.1_prot_ABB68165.1_3433	lcl|NC_011751.1_prot_WP_001300779.1_4144
8	8	0.901	lcl|AP010960.1_prot_BAI37941.1_4173	lcl|NC_004337.2_prot_NP_709138.1_3067	lcl|NC_000913.3_prot_NP_417822.1_3300	lcl|CP003109.1_prot_AEZ42443.1_3808	lcl|NC_011415.1_prot_WP_000477225.1_3624	lcl|NC_010498.1_prot_WP_000477225.1_3520	lcl|CP000036.1_prot_ABB67833.1_3101	lcl|NC_011751.1_prot_WP_000477220.1_3763
8	8	0.901	lcl|AP010960.1_prot_BAI38308.1_4555	lcl|NC_004337.2_prot_NP_709467.3_3391	lcl|NC_000913.3_prot_NP_418183.1_3676	lcl|CP003109.1_prot_AEZ42881.1_4246	lcl|NC_011415.1_prot_WP_000741620.1_4008	lcl|NC_010498.1_prot_WP_000741627.1_3946	lcl|CP000036.1_prot_ABB68134.1_3402	lcl|NC_011751.1_prot_WP_000741620.1_4185
8	8	0.9	lcl|AP010960.1_prot_BAI37675.1_3895	lcl|NC_004337.2_prot_NP_708880.4_2816	lcl|NC_000913.3_prot_NP_417544.5_3022	lcl|CP003109.1_prot_AEZ42180.1_3545	lcl|NC_011415.1_prot_WP_001297164.1_3360	lcl|NC_010498.1_prot_WP_032189062.1_3254	lcl|CP000036.1_prot_ABB67447.1_2715	lcl|NC_011751.1_prot_WP_001309772.1_3503
8	8	0.9	lcl|AP010960.1_prot_BAI38016.1_4248	lcl|NC_004337.2_prot_NP_709213.2_3140	lcl|NC_000913.3_prot_YP_026222.1_3373	lcl|CP003109.1_prot_AEZ42511.1_3876	lcl|NC_011415.1_prot_WP_000730263.1_3702	lcl|NC_010498.1_prot_WP_000730252.1_3594	lcl|CP000036.1_prot_ABB67922.1_3190	lcl|NC_011751.1_prot_WP_000730252.1_3839
8	8	0.899	lcl|AP010960.1_prot_BAI34383.1_398	lcl|NC_004337.2_prot_NP_706207.1_238	lcl|NC_000913.3_prot_NP_414899.2_359	lcl|CP003109.1_prot_AEZ39079.1_444	lcl|NC_011415.1_prot_WP_001297135.1_388	lcl|NC_010498.1_prot_WP_012311974.1_384	lcl|CP000036.1_prot_ABB64974.1_238	lcl|NC_011751.1_prot_WP_001018416.1_403
8	8	0.899	lcl|AP010960.1_prot_BAI38134.1_4372	lcl|NC_004337.2_prot_NP_709330.4_3259	lcl|NC_000913.3_prot_YP_026228.1_3489	lcl|CP003109.1_prot_AEZ42663.1_4028	lcl|NC_011415.1_prot_WP_000747625.1_3821	lcl|NC_010498.1_prot_WP_000747625.1_3730	lcl|CP000036.1_prot_ABB68036.1_3304	lcl|NC_011751.1_prot_WP_000747625.1_3997
8	8	0.898	lcl|AP010960.1_prot_BAI34826.1_869	lcl|NC_004337.2_prot_NP_706686.1_695	lcl|NC_000913.3_prot_NP_415329.4_783	lcl|CP003109.1_prot_AEZ39615.1_980	lcl|NC_011415.1_prot_WP_001267271.1_865	lcl|NC_010498.1_prot_WP_001267261.1_791	lcl|CP000036.1_prot_ABB65372.1_636	lcl|NC_011751.1_prot_WP_001267252.1_935
8	8	0.898	lcl|AP010960.1_prot_BAI37631.1_3849	lcl|NC_004337.2_prot_NP_708838.1_2775	lcl|NC_000913.3_prot_NP_417498.1_2974	lcl|CP003109.1_prot_AEZ42133.1_3498	lcl|NC_011415.1_prot_WP_000673354.1_3314	lcl|NC_010498.1_prot_WP_000673347.1_3203	lcl|CP000036.1_prot_ABB67403.1_2671	lcl|NC_011751.1_prot_WP_000673402.1_3458
8	8	0.898	lcl|AP010960.1_prot_BAI38255.1_4498	lcl|NC_004337.2_prot_NP_709522.1_3445	lcl|NC_000913.3_prot_NP_418129.2_3621	lcl|CP003109.1_prot_AEZ42837.1_4202	lcl|NC_011415.1_prot_WP_000828746.1_3952	lcl|NC_010498.1_prot_WP_001306726.1_3896	lcl|CP000036.1_prot_ABB68172.1_3440	lcl|NC_011751.1_prot_WP_001306726.1_4134
8	8	0.897	lcl|AP010960.1_prot_BAI34534.1_559	lcl|NC_004337.2_prot_NP_706405.1_426	lcl|NC_000913.3_prot_NP_415060.1_516	lcl|CP003109.1_prot_AEZ39249.1_614	lcl|NC_011415.1_prot_WP_001143552.1_549	lcl|NC_010498.1_prot_WP_001143518.1_552	lcl|CP000036.1_prot_ABB65124.1_388	lcl|NC_011751.1_prot_WP_001143546.1_563
8	8	0.897	lcl|AP010960.1_prot_BAI35037.1_1088	lcl|NC_004337.2_prot_NP_706899.1_907	lcl|NC_000913.3_prot_NP_415496.1_952	lcl|CP003109.1_prot_AEZ39788.1_1153	lcl|NC_011415.1_prot_WP_000004904.1_1035	lcl|NC_010498.1_prot_WP_000004894.1_2083	lcl|CP000036.1_prot_ABB66819.1_2087	lcl|NC_011751.1_prot_WP_000004926.1_1149
8	8	0.897	lcl|AP010960.1_prot_BAI35449.1_1522	lcl|NC_004337.2_prot_NP_707091.1_1092	lcl|NC_000913.3_prot_NP_415711.2_1169	lcl|CP003109.1_prot_AEZ40019.1_1384	lcl|NC_011415.1_prot_WP_001295616.1_1230	lcl|NC_010498.1_prot_WP_001295994.1_1899	lcl|CP000036.1_prot_ABB66476.1_1743	lcl|NC_011751.1_prot_WP_001295616.1_1470
8	8	0.897	lcl|AP010960.1_prot_BAI36658.1_2818	lcl|NC_004337.2_prot_NP_707988.2_1957	lcl|NC_000913.3_prot_NP_416605.2_2084	lcl|CP003109.1_prot_AEZ41116.1_2481	lcl|NC_011415.1_prot_WP_001297420.1_2382	lcl|NC_010498.1_prot_WP_012311759.1_921	lcl|CP000036.1_prot_ABB65588.1_852	lcl|NC_011751.1_prot_WP_001306379.1_2418
8	8	0.896	lcl|AP010960.1_prot_BAI35049.1_1100	lcl|NC_004337.2_prot_NP_706912.2_919	lcl|NC_000913.3_prot_NP_415510.1_967	lcl|CP003109.1_prot_AEZ39801.1_1166	lcl|NC_011415.1_prot_WP_000066490.1_1048	lcl|NC_010498.1_prot_WP_000066490.1_2077	lcl|CP000036.1_prot_ABB66806.1_2074	lcl|NC_011751.1_prot_WP_000066490.1_1155
8	8	0.896	lcl|AP010960.1_prot_BAI36882.1_3057	lcl|NC_004337.2_prot_NP_708191.1_2154	lcl|NC_000913.3_prot_NP_416812.1_2290	lcl|CP003109.1_prot_AEZ41395.1_2760	lcl|NC_011415.1_prot_WP_000737621.1_2632	lcl|NC_010498.1_prot_WP_000737621.1_2399	lcl|CP000036.1_prot_ABB66909.1_2177	lcl|NC_011751.1_prot_WP_000737631.1_2627
8	8	0.894	lcl|AP010960.1_prot_BAI35998.1_2125	lcl|NC_004337.2_prot_NP_707555.2_1543	lcl|NC_000913.3_prot_NP_416172.1_1648	lcl|CP003109.1_prot_AEZ40601.1_1966	lcl|NC_011415.1_prot_WP_000101194.1_1778	lcl|NC_010498.1_prot_WP_000101179.1_1484	lcl|CP000036.1_prot_ABB66094.1_1362	lcl|NC_011751.1_prot_WP_000101181.1_1929
8	8	0.894	lcl|AP010960.1_prot_BAI38252.1_4495	lcl|NC_004337.2_prot_NP_709523.1_3446	lcl|NC_000913.3_prot_NP_418127.1_3617	lcl|CP003109.1_prot_AEZ42835.1_4200	lcl|NC_011415.1_prot_WP_000168432.1_3948	lcl|NC_010498.1_prot_WP_000168456.1_3892	lcl|CP000036.1_prot_ABB68174.1_3442	lcl|NC_011751.1_prot_WP_000168467.1_4130
8	8	0.891	lcl|AP010960.1_prot_BAI36181.1_2317	lcl|NC_004337.2_prot_NP_707311.1_1305	lcl|NC_000913.3_prot_NP_416325.1_1805	lcl|CP003109.1_prot_AEZ40757.1_2122	lcl|NC_011415.1_prot_WP_000457334.1_1986	lcl|NC_010498.1_prot_WP_000457330.1_1323	lcl|CP000036.1_prot_ABB65901.1_1167	lcl|NC_011751.1_prot_WP_000457334.1_2086
8	8	0.891	lcl|AP010960.1_prot_BAI36829.1_3001	lcl|NC_004337.2_prot_NP_708138.2_2102	lcl|NC_000913.3_prot_NP_416755.1_2232	lcl|CP003109.1_prot_AEZ41340.1_2705	lcl|NC_011415.1_prot_WP_001297077.1_2523	lcl|NC_010498.1_prot_WP_001306469.1_2344	lcl|CP000036.1_prot_ABB66853.1_2121	lcl|NC_011751.1_prot_WP_001306469.1_2572
8	8	0.891	lcl|AP010960.1_prot_BAI38538.1_4792	lcl|NC_004337.2_prot_NP_709771.4_3684	lcl|NC_000913.3_prot_NP_418402.2_3895	lcl|CP003109.1_prot_AEZ43126.1_4491	lcl|NC_011415.1_prot_WP_000201827.1_4250	lcl|NC_010498.1_prot_WP_000201825.1_4245	lcl|CP000036.1_prot_ABB68436.1_3704	lcl|NC_011751.1_prot_WP_000201825.1_4416
8	8	0.89	lcl|AP010960.1_prot_BAI34745.1_782	lcl|NC_004337.2_prot_NP_706815.2_824	lcl|NC_000913.3_prot_NP_415292.2_745	lcl|CP003109.1_prot_AEZ39518.1_883	lcl|NC_011415.1_prot_WP_000593936.1_825	lcl|NC_010498.1_prot_WP_000593889.1_752	lcl|CP000036.1_prot_ABB65337.1_601	lcl|NC_011751.1_prot_WP_000593905.1_841
8	8	0.89	lcl|AP010960.1_prot_BAI36705.1_2869	lcl|NC_004337.2_prot_NP_708051.1_2017	lcl|NC_000913.3_prot_NP_416657.1_2133	lcl|CP003109.1_prot_AEZ41243.1_2608	lcl|NC_011415.1_prot_WP_000440895.1_2432	lcl|NC_010498.1_prot_WP_000440933.1_2239	lcl|CP000036.1_prot_ABB66748.1_2016	lcl|NC_011751.1_prot_WP_000440897.1_2469
8	8	0.889	lcl|AP010960.1_prot_BAI36099.1_2232	lcl|NC_004337.2_prot_NP_707392.2_1383	lcl|NC_000913.3_prot_NP_416236.1_1714	lcl|CP003109.1_prot_AEZ40667.1_2032	lcl|NC_011415.1_prot_WP_000771396.1_1893	lcl|NC_010498.1_prot_WP_000771396.1_1413	lcl|CP000036.1_prot_ABB65992.1_1259	lcl|NC_011751.1_prot_WP_000771396.1_1996
8	8	0.889	lcl|AP010960.1_prot_BAI36141.1_2276	lcl|NC_004337.2_prot_NP_707348.1_1341	lcl|NC_000913.3_prot_NP_416279.1_1757	lcl|CP003109.1_prot_AEZ40711.1_2076	lcl|NC_011415.1_prot_WP_000339283.1_1936	lcl|NC_010498.1_prot_WP_000339292.1_1371	lcl|CP000036.1_prot_ABB65949.1_1216	lcl|NC_011751.1_prot_WP_000339288.1_2038
8	8	0.889	lcl|AP010960.1_prot_BAI38014.1_4246	lcl|NC_004337.2_prot_NP_709211.2_3138	lcl|NC_000913.3_prot_YP_026221.1_3371	lcl|CP003109.1_prot_AEZ42509.1_3874	lcl|NC_011415.1_prot_WP_000210111.1_3700	lcl|NC_010498.1_prot_WP_000210111.1_3592	lcl|CP000036.1_prot_ABB67920.1_3188	lcl|NC_011751.1_prot_WP_000210111.1_3837
8	8	0.889	lcl|AP010960.1_prot_BAI38546.1_4800	lcl|NC_004337.2_prot_NP_709779.2_3692	lcl|NC_000913.3_prot_NP_418411.1_3903	lcl|CP003109.1_prot_AEZ43134.1_4499	lcl|NC_011415.1_prot_WP_001096684.1_4258	lcl|NC_010498.1_prot_WP_001096684.1_4253	lcl|CP000036.1_prot_ABB68445.1_3713	lcl|NC_011751.1_prot_WP_001096684.1_4424
8	8	0.888	lcl|AP010960.1_prot_BAI35566.1_1646	lcl|NC_004337.2_prot_NP_707175.1_1175	lcl|NC_000913.3_prot_NP_415782.1_1244	lcl|CP003109.1_prot_AEZ40157.1_1522	lcl|NC_011415.1_prot_WP_001285660.1_1304	lcl|NC_010498.1_prot_WP_001285697.1_1812	lcl|CP000036.1_prot_ABB66399.1_1667	lcl|NC_011751.1_prot_WP_001285692.1_1548
8	8	0.888	lcl|AP010960.1_prot_BAI38659.1_4923	lcl|NC_004337.2_prot_NP_709871.2_3784	lcl|NC_000913.3_prot_NP_418473.3_3965	lcl|CP003109.1_prot_AEZ43204.1_4569	lcl|NC_011415.1_prot_WP_001298868.1_4324	lcl|NC_010498.1_prot_WP_001298868.1_4322	lcl|CP000036.1_prot_ABB68501.1_3770	lcl|NC_011751.1_prot_WP_001298868.1_4491
8	8	0.887	lcl|AP010960.1_prot_BAI35597.1_1680	lcl|NC_004337.2_prot_NP_707206.2_1206	lcl|NC_000913.3_prot_NP_415813.4_1282	lcl|CP003109.1_prot_AEZ40197.1_1562	lcl|NC_011415.1_prot_WP_001298814.1_1341	lcl|NC_010498.1_prot_WP_001296746.1_1768	lcl|CP000036.1_prot_ABB66365.1_1633	lcl|NC_011751.1_prot_WP_001296746.1_1586
8	8	0.887	lcl|AP010960.1_prot_BAI38197.1_4438	lcl|NC_004337.2_prot_NP_709392.4_3321	lcl|NC_000913.3_prot_NP_418070.6_3555	lcl|CP003109.1_prot_AEZ42722.1_4087	lcl|NC_011415.1_prot_WP_000196256.1_3891	lcl|NC_010498.1_prot_WP_000196261.1_3806	lcl|CP000036.1_prot_ABB68100.1_3368	lcl|NC_011751.1_prot_WP_000196271.1_4061
8	8	0.886	lcl|AP010960.1_prot_BAI34662.1_693	lcl|NC_004337.2_prot_NP_706549.1_567	lcl|NC_000913.3_prot_NP_415200.1_654	lcl|CP003109.1_prot_AEZ39424.1_789	lcl|NC_011415.1_prot_WP_000337066.1_735	lcl|NC_010498.1_prot_WP_000337077.1_659	lcl|CP000036.1_prot_ABB65228.1_492	lcl|NC_011751.1_prot_WP_000337077.1_745
8	8	0.886	lcl|AP010960.1_prot_BAI38432.1_4685	lcl|NC_004337.2_prot_NP_709663.4_3583	lcl|NC_000913.3_prot_NP_418301.3_3794	lcl|CP003109.1_prot_AEZ43009.1_4374	lcl|NC_011415.1_prot_WP_000183349.1_4138	lcl|NC_010498.1_prot_WP_000183349.1_4085	lcl|CP000036.1_prot_ABB68328.1_3596	lcl|NC_011751.1_prot_WP_000183349.1_4309
8	8	0.885	lcl|AP010960.1_prot_BAI34593.1_621	lcl|NC_004337.2_prot_NP_706447.1_467	lcl|NC_000913.3_prot_NP_415123.1_583	lcl|CP003109.1_prot_AEZ39354.1_719	lcl|NC_011415.1_prot_WP_001041789.1_663	lcl|NC_010498.1_prot_WP_001041787.1_588	lcl|CP000036.1_prot_ABB65156.1_420	lcl|NC_011751.1_prot_WP_001041789.1_675
8	8	0.885	lcl|AP010960.1_prot_BAI37481.1_3691	lcl|NC_004337.2_prot_NP_708708.2_2653	lcl|NC_000913.3_prot_NP_417418.1_2894	lcl|CP003109.1_prot_AEZ41997.1_3362	lcl|NC_011415.1_prot_WP_001112301.1_3222	lcl|NC_010498.1_prot_WP_001112301.1_2987	lcl|CP000036.1_prot_ABB67553.1_2821	lcl|NC_011751.1_prot_WP_001112301.1_3257
8	8	0.884	lcl|AP010960.1_prot_BAI36122.1_2257	lcl|NC_004337.2_prot_NP_707366.3_1358	lcl|NC_000913.3_prot_NP_416260.1_1738	lcl|CP003109.1_prot_AEZ40691.1_2056	lcl|NC_011415.1_prot_WP_000177210.1_1917	lcl|NC_010498.1_prot_WP_000177225.1_1389	lcl|CP000036.1_prot_ABB65970.1_1237	lcl|NC_011751.1_prot_WP_000177316.1_2020
8	8	0.884	lcl|AP010960.1_prot_BAI36836.1_3010	lcl|NC_004337.2_prot_NP_708145.1_2108	lcl|NC_000913.3_prot_NP_416762.2_2240	lcl|CP003109.1_prot_AEZ41348.1_2713	lcl|NC_011415.1_prot_WP_001297080.1_2531	lcl|NC_010498.1_prot_WP_001295285.1_2352	lcl|CP000036.1_prot_ABB66860.1_2128	lcl|NC_011751.1_prot_WP_001297080.1_2580
8	8	0.884	lcl|AP010960.1_prot_BAI36887.1_3062	lcl|NC_004337.2_prot_NP_708196.4_2159	lcl|NC_000913.3_prot_NP_416817.2_2295	lcl|CP003109.1_prot_AEZ41400.1_2765	lcl|NC_011415.1_prot_WP_000146981.1_2637	lcl|NC_010498.1_prot_WP_000157003.1_2404	lcl|CP000036.1_prot_ABB66914.1_2182	lcl|NC_011751.1_prot_WP_000157001.1_2632
8	8	0.884	lcl|AP010960.1_prot_BAI36889.1_3064	lcl|NC_004337.2_prot_NP_708198.2_2161	lcl|NC_000913.3_prot_NP_416819.1_2297	lcl|CP003109.1_prot_AEZ41402.1_2767	lcl|NC_011415.1_prot_WP_000118404.1_2639	lcl|NC_010498.1_prot_WP_000118404.1_2406	lcl|CP000036.1_prot_ABB66916.1_2184	lcl|NC_011751.1_prot_WP_000118404.1_2634
