# Species	Genes	Alg.-Conn.	536.fasta	ABU83972.fasta	APEC01.fasta	CFT073.fasta	E2348:69.fasta	ED1a.fasta	S88.fasta	SE15.fasta	UTI89.fasta
9	10	0.771	lcl|NC_008253.1_prot_WP_001298645.1_63	lcl|CP001671.1_prot_ADN44684.1_65	lcl|NZ_CP028310.1_prot_WP_001300811.1_117	lcl|NZ_CP051263.1_prot_WP_001300811.1_764,lcl|NZ_CP051263.1_prot_WP_001350361.1_66	lcl|NC_011601.1_prot_WP_001298645.1_63	lcl|NC_011745.1_prot_WP_001350361.1_63	lcl|CU928161.2_prot_CAR01433.1_65	lcl|NC_013654.1_prot_WP_001545812.1_65	lcl|NC_007946.1_prot_WP_001350361.1_65
9	10	0.751	lcl|NC_008253.1_prot_WP_000405647.1_4263	lcl|CP001671.1_prot_ADN49072.1_4453	lcl|NZ_CP028310.1_prot_WP_000405651.1_4199	lcl|NZ_CP051263.1_prot_WP_000405647.1_4658	lcl|NC_011601.1_prot_WP_000405647.1_4607	lcl|NC_011745.1_prot_WP_000405647.1_4693	lcl|CU928161.2_prot_CAR05784.1_4410	lcl|NC_013654.1_prot_WP_000405643.1_4082,lcl|NC_013654.1_prot_WP_000405645.1_4075	lcl|NC_007946.1_prot_WP_000405646.1_4372
9	10	0.268	lcl|NC_008253.1_prot_WP_001218923.1_3687	lcl|CP001671.1_prot_ADN48559.1_3940,lcl|CP001671.1_prot_ADN44949.1_330	lcl|NZ_CP028310.1_prot_WP_000772656.1_316	lcl|NZ_CP051263.1_prot_WP_001218910.1_4087	lcl|NC_011601.1_prot_WP_000958685.1_2577	lcl|NC_011745.1_prot_WP_024185506.1_3233	lcl|CU928161.2_prot_CAR03773.1_2400	lcl|NC_013654.1_prot_WP_000926944.1_2282	lcl|NC_007946.1_prot_WP_000958671.1_2473
9	10	0.165	lcl|NC_008253.1_prot_WP_000382186.1_4082	lcl|CP001671.1_prot_ADN48885.1_4266	lcl|NZ_CP028310.1_prot_WP_000410144.1_8	lcl|NZ_CP051263.1_prot_WP_000382186.1_4472	lcl|NC_011601.1_prot_WP_000350554.1_4427	lcl|NC_011745.1_prot_WP_000382186.1_4515	lcl|CU928161.2_prot_CAR05596.1_4224,lcl|CU928161.2_prot_CAR06121.1_4744	lcl|NC_013654.1_prot_WP_000410144.1_4366	lcl|NC_007946.1_prot_WP_000382186.1_4218
9	9	0.954	lcl|NC_008253.1_prot_WP_000480495.1_1927	lcl|CP001671.1_prot_ADN46774.1_2155	lcl|NZ_CP028310.1_prot_WP_039023103.1_2002	lcl|NZ_CP051263.1_prot_WP_000480495.1_2223	lcl|NC_011601.1_prot_WP_000480510.1_2173	lcl|NC_011745.1_prot_ECED1_RS11595_2234	lcl|CU928161.2_prot_CAR03341.1_1969	lcl|NC_013654.1_prot_WP_000480517.1_1887	lcl|NC_007946.1_prot_WP_000480495.1_2053
9	9	0.953	lcl|NC_008253.1_prot_WP_000876285.1_1305	lcl|CP001671.1_prot_ADN46115.1_1496	lcl|NZ_CP028310.1_prot_WP_000876286.1_1347	lcl|NZ_CP051263.1_prot_WP_000876285.1_1571	lcl|NC_011601.1_prot_WP_000876274.1_1517	lcl|NC_011745.1_prot_WP_000876296.1_1446	lcl|CU928161.2_prot_CAR02741.1_1369	lcl|NC_013654.1_prot_WP_000876284.1_1287	lcl|NC_007946.1_prot_WP_000876285.1_1429
9	9	0.952	lcl|NC_008253.1_prot_WP_000270663.1_1842	lcl|CP001671.1_prot_ADN46714.1_2095	lcl|NZ_CP028310.1_prot_WP_000270663.1_1944	lcl|NZ_CP051263.1_prot_WP_000270663.1_2136	lcl|NC_011601.1_prot_WP_000270669.1_2129	lcl|NC_011745.1_prot_WP_000287768.1_2144	lcl|CU928161.2_prot_CAR03279.1_1907	lcl|NC_013654.1_prot_WP_000270663.1_1826	lcl|NC_007946.1_prot_WP_000270663.1_1993
9	9	0.951	lcl|NC_008253.1_prot_WP_000042886.1_3489	lcl|CP001671.1_prot_ADN48336.1_3717	lcl|NZ_CP028310.1_prot_WP_000042895.1_3469	lcl|NZ_CP051263.1_prot_WP_000042886.1_3881	lcl|NC_011601.1_prot_WP_000042886.1_3845	lcl|NC_011745.1_prot_WP_000042877.1_4007	lcl|CU928161.2_prot_CAR05082.1_3708	lcl|NC_013654.1_prot_WP_000042886.1_3361	lcl|NC_007946.1_prot_WP_000042886.1_3704
9	9	0.951	lcl|NC_008253.1_prot_WP_000108995.1_2024	lcl|CP001671.1_prot_ADN46864.1_2245	lcl|NZ_CP028310.1_prot_WP_000108945.1_2063	lcl|NZ_CP051263.1_prot_WP_000108995.1_2323	lcl|NC_011601.1_prot_WP_000108994.1_2249	lcl|NC_011745.1_prot_WP_000109001.1_2315	lcl|CU928161.2_prot_CAR03408.1_2036	lcl|NC_013654.1_prot_WP_000108941.1_1967	lcl|NC_007946.1_prot_WP_000108995.1_2153
9	9	0.95	lcl|NC_008253.1_prot_WP_000046660.1_1525	lcl|CP001671.1_prot_ADN46344.1_1725	lcl|NZ_CP028310.1_prot_WP_000046661.1_1613	lcl|NZ_CP051263.1_prot_WP_000046657.1_1810	lcl|NC_011601.1_prot_WP_000046661.1_1757	lcl|NC_011745.1_prot_WP_000046660.1_1730	lcl|CU928161.2_prot_CAR02959.1_1586	lcl|NC_013654.1_prot_WP_000046661.1_1501	lcl|NC_007946.1_prot_WP_000046661.1_1671
9	9	0.95	lcl|NC_008253.1_prot_WP_000773282.1_693	lcl|CP001671.1_prot_ADN45323.1_704	lcl|NZ_CP028310.1_prot_WP_000773288.1_688	lcl|NZ_CP051263.1_prot_WP_000773282.1_693	lcl|NC_011601.1_prot_WP_000773271.1_589	lcl|NC_011745.1_prot_WP_000773305.1_645	lcl|CU928161.2_prot_CAR02063.1_691	lcl|NC_013654.1_prot_WP_000773282.1_635	lcl|NC_007946.1_prot_WP_000773263.1_640
9	9	0.949	lcl|NC_008253.1_prot_WP_000203025.1_843	lcl|CP001671.1_prot_ADN45471.1_852	lcl|NZ_CP028310.1_prot_WP_000203025.1_853	lcl|NZ_CP051263.1_prot_WP_000203025.1_894	lcl|NC_011601.1_prot_WP_000203025.1_869	lcl|NC_011745.1_prot_WP_012601374.1_794	lcl|CU928161.2_prot_CAR02208.1_836	lcl|NC_013654.1_prot_WP_000203025.1_795	lcl|NC_007946.1_prot_WP_000203025.1_789
9	9	0.949	lcl|NC_008253.1_prot_WP_000741147.1_703	lcl|CP001671.1_prot_ADN45332.1_713	lcl|NZ_CP028310.1_prot_WP_000741131.1_701	lcl|NZ_CP051263.1_prot_WP_000741152.1_703	lcl|NC_011601.1_prot_WP_000741161.1_599	lcl|NC_011745.1_prot_WP_000741118.1_655	lcl|CU928161.2_prot_CAR02072.1_700	lcl|NC_013654.1_prot_WP_000741157.1_645	lcl|NC_007946.1_prot_WP_000730081.1_650
9	9	0.949	lcl|NC_008253.1_prot_WP_000838414.1_2818	lcl|CP001671.1_prot_ADN47637.1_3018	lcl|NZ_CP028310.1_prot_WP_000838428.1_2857	lcl|NZ_CP051263.1_prot_WP_000838415.1_3165	lcl|NC_011601.1_prot_WP_000838408.1_3257	lcl|NC_011745.1_prot_WP_012601698.1_3254	lcl|CU928161.2_prot_CAR04401.1_3029	lcl|NC_013654.1_prot_WP_000838415.1_2752	lcl|NC_007946.1_prot_WP_000838415.1_3058
9	9	0.949	lcl|NC_008253.1_prot_WP_000848523.1_3033	lcl|CP001671.1_prot_ADN47881.1_3262	lcl|NZ_CP028310.1_prot_WP_000848528.1_3021	lcl|NZ_CP051263.1_prot_WP_000848521.1_3423	lcl|NC_011601.1_prot_WP_000848528.1_3429	lcl|NC_011745.1_prot_WP_000848534.1_3556	lcl|CU928161.2_prot_CAR04626.1_3253	lcl|NC_013654.1_prot_WP_000848528.1_2914	lcl|NC_007946.1_prot_WP_000848521.1_3218
9	9	0.949	lcl|NC_008253.1_prot_WP_001295297.1_803	lcl|CP001671.1_prot_ADN45433.1_814	lcl|NZ_CP028310.1_prot_WP_001295297.1_812	lcl|NZ_CP051263.1_prot_WP_001295297.1_807	lcl|NC_011601.1_prot_WP_001340110.1_783	lcl|NC_011745.1_prot_ECED1_RS03940_754	lcl|CU928161.2_prot_CAR02169.1_797	lcl|NC_013654.1_prot_WP_001295297.1_755	lcl|NC_007946.1_prot_WP_001295297.1_749
9	9	0.949	lcl|NC_008253.1_prot_WP_001296197.1_1958	lcl|CP001671.1_prot_ADN46806.1_2187	lcl|NZ_CP028310.1_prot_WP_001518002.1_2014	lcl|NZ_CP051263.1_prot_WP_001296197.1_2254	lcl|NC_011601.1_prot_WP_001339741.1_2211	lcl|NC_011745.1_prot_WP_001326708.1_2273	lcl|CU928161.2_prot_CAR03350.1_1978	lcl|NC_013654.1_prot_WP_001296197.1_1897	lcl|NC_007946.1_prot_WP_001296197.1_2084
9	9	0.948	lcl|NC_008253.1_prot_WP_000228686.1_1875	lcl|CP001671.1_prot_ADN46747.1_2128	lcl|NZ_CP028310.1_prot_WP_000228686.1_1975	lcl|NZ_CP051263.1_prot_WP_000228684.1_2169	lcl|NC_011601.1_prot_WP_000786012.1_2159	lcl|NC_011745.1_prot_WP_000786009.1_2178	lcl|CU928161.2_prot_CAR03312.1_1940	lcl|NC_013654.1_prot_WP_000228686.1_1860	lcl|NC_007946.1_prot_WP_000228686.1_2026
9	9	0.948	lcl|NC_008253.1_prot_WP_000323849.1_4073	lcl|CP001671.1_prot_ADN48876.1_4257	lcl|NZ_CP028310.1_prot_WP_000323841.1_3964	lcl|NZ_CP051263.1_prot_WP_000323849.1_4463	lcl|NC_011601.1_prot_WP_000323846.1_4418	lcl|NC_011745.1_prot_WP_000323839.1_4506	lcl|CU928161.2_prot_CAR05587.1_4215	lcl|NC_013654.1_prot_WP_000323849.1_3885	lcl|NC_007946.1_prot_WP_000323849.1_4209
9	9	0.948	lcl|NC_008253.1_prot_WP_000693755.1_1193	lcl|CP001671.1_prot_ADN46002.1_1383	lcl|NZ_CP028310.1_prot_WP_000695215.1_1241	lcl|NZ_CP051263.1_prot_WP_000693755.1_1456	lcl|NC_011601.1_prot_WP_000693755.1_1331	lcl|NC_011745.1_prot_WP_000693756.1_1285	lcl|CU928161.2_prot_CAR02567.1_1195	lcl|NC_013654.1_prot_WP_000693755.1_1147	lcl|NC_007946.1_prot_WP_000693755.1_1259
9	9	0.948	lcl|NC_008253.1_prot_WP_001029013.1_3254	lcl|CP001671.1_prot_ADN48100.1_3481	lcl|NZ_CP028310.1_prot_WP_001029013.1_3251	lcl|NZ_CP051263.1_prot_WP_001029013.1_3647	lcl|NC_011601.1_prot_WP_001029013.1_3644	lcl|NC_011745.1_prot_WP_001029009.1_3779	lcl|CU928161.2_prot_CAR04841.1_3467	lcl|NC_013654.1_prot_WP_001029013.1_3137	lcl|NC_007946.1_prot_WP_001029013.1_3437
9	9	0.948	lcl|NC_008253.1_prot_WP_001058227.1_3151	lcl|CP001671.1_prot_ADN48000.1_3381	lcl|NZ_CP028310.1_prot_WP_001058209.1_3133	lcl|NZ_CP051263.1_prot_WP_001058223.1_3546	lcl|NC_011601.1_prot_WP_001058227.1_3545	lcl|NC_011745.1_prot_WP_001058237.1_3677	lcl|CU928161.2_prot_CAR04742.1_3368	lcl|NC_013654.1_prot_WP_001058227.1_3035	lcl|NC_007946.1_prot_WP_001058227.1_3337
9	9	0.948	lcl|NC_008253.1_prot_WP_001442062.1_3780	lcl|CP001671.1_prot_ADN48583.1_3964	lcl|NZ_CP028310.1_prot_WP_001403836.1_3677	lcl|NZ_CP051263.1_prot_WP_001525914.1_4168	lcl|NC_011601.1_prot_WP_012579024.1_4125	lcl|NC_011745.1_prot_WP_012601799.1_4218	lcl|CU928161.2_prot_CAR05296.1_3922	lcl|NC_013654.1_prot_WP_001527950.1_3583	lcl|NC_007946.1_prot_WP_001556060.1_3917
9	9	0.947	lcl|NC_008253.1_prot_WP_000267670.1_1652	lcl|CP001671.1_prot_ADN46520.1_1901	lcl|NZ_CP028310.1_prot_WP_000267650.1_1740	lcl|NZ_CP051263.1_prot_WP_000267670.1_1937	lcl|NC_011601.1_prot_WP_000267670.1_1932	lcl|NC_011745.1_prot_WP_000267676.1_1885	lcl|CU928161.2_prot_CAR03086.1_1714	lcl|NC_013654.1_prot_WP_000267670.1_1629	lcl|NC_007946.1_prot_WP_000267670.1_1798
9	9	0.947	lcl|NC_008253.1_prot_WP_000485012.1_1315	lcl|CP001671.1_prot_ADN46125.1_1506	lcl|NZ_CP028310.1_prot_WP_000484984.1_1357	lcl|NZ_CP051263.1_prot_WP_000485012.1_1581	lcl|NC_011601.1_prot_WP_000485010.1_1528	lcl|NC_011745.1_prot_WP_000485026.1_1456	lcl|CU928161.2_prot_CAR02749.1_1377	lcl|NC_013654.1_prot_WP_000485012.1_1297	lcl|NC_007946.1_prot_WP_000485005.1_1439
9	9	0.947	lcl|NC_008253.1_prot_WP_000617662.1_3577	lcl|CP001671.1_prot_ADN48431.1_3812	lcl|NZ_CP028310.1_prot_WP_000617473.1_3556	lcl|NZ_CP051263.1_prot_WP_000617493.1_3976	lcl|NC_011601.1_prot_WP_000617477.1_3944	lcl|NC_011745.1_prot_WP_000617903.1_4101	lcl|CU928161.2_prot_CAR05178.1_3804	lcl|NC_013654.1_prot_WP_000617494.1_3459	lcl|NC_007946.1_prot_WP_000617662.1_3799
9	9	0.947	lcl|NC_008253.1_prot_WP_000639875.1_2357	lcl|CP001671.1_prot_ADN47200.1_2581	lcl|NZ_CP028310.1_prot_WP_000639883.1_2398	lcl|NZ_CP051263.1_prot_WP_000639875.1_2657	lcl|NC_011601.1_prot_WP_000639875.1_2672	lcl|NC_011745.1_prot_WP_000639876.1_2762	lcl|CU928161.2_prot_CAR03846.1_2473	lcl|NC_013654.1_prot_WP_000639875.1_2306	lcl|NC_007946.1_prot_WP_000639874.1_2548
9	9	0.947	lcl|NC_008253.1_prot_WP_000875067.1_941	lcl|CP001671.1_prot_ADN45567.1_948	lcl|NZ_CP028310.1_prot_WP_000875058.1_961	lcl|NZ_CP051263.1_prot_WP_000875041.1_991	lcl|NC_011601.1_prot_WP_000875040.1_966	lcl|NC_011745.1_prot_WP_000875027.1_955	lcl|CU928161.2_prot_CAR02314.1_942	lcl|NC_013654.1_prot_WP_000875041.1_892	lcl|NC_007946.1_prot_WP_000875041.1_947
9	9	0.947	lcl|NC_008253.1_prot_WP_000944023.1_4320	lcl|CP001671.1_prot_ADN49128.1_4509	lcl|NZ_CP028310.1_prot_WP_000943964.1_4263	lcl|NZ_CP051263.1_prot_WP_000944004.1_4771	lcl|NC_011601.1_prot_WP_000944008.1_4664	lcl|NC_011745.1_prot_ECED1_RS25080_4796	lcl|CU928161.2_prot_CAR05921.1_4545	lcl|NC_013654.1_prot_WP_000944012.1_4141	lcl|NC_007946.1_prot_WP_000944015.1_4431
9	9	0.947	lcl|NC_008253.1_prot_WP_001009872.1_453	lcl|CP001671.1_prot_ADN45084.1_465	lcl|NZ_CP028310.1_prot_WP_001009885.1_447	lcl|NZ_CP051263.1_prot_WP_001009873.1_453	lcl|NC_011601.1_prot_WP_001009870.1_346	lcl|NC_011745.1_prot_WP_001009885.1_414	lcl|CU928161.2_prot_CAR01747.1_377	lcl|NC_013654.1_prot_WP_001009870.1_374	lcl|NC_007946.1_prot_WP_001009870.1_398
9	9	0.947	lcl|NC_008253.1_prot_WP_001041010.1_3134	lcl|CP001671.1_prot_ADN47985.1_3366	lcl|NZ_CP028310.1_prot_WP_001041009.1_3116	lcl|NZ_CP051263.1_prot_WP_001041010.1_3529	lcl|NC_011601.1_prot_WP_001041010.1_3528	lcl|NC_011745.1_prot_WP_001041007.1_3660	lcl|CU928161.2_prot_CAR04728.1_3354	lcl|NC_013654.1_prot_WP_001041010.1_3018	lcl|NC_007946.1_prot_WP_001041010.1_3320
9	9	0.947	lcl|NC_008253.1_prot_WP_001093891.1_2395	lcl|CP001671.1_prot_ADN47237.1_2618	lcl|NZ_CP028310.1_prot_WP_001336044.1_2438	lcl|NZ_CP051263.1_prot_WP_000105467.1_2695	lcl|NC_011601.1_prot_WP_001386355.1_2710	lcl|NC_011745.1_prot_WP_012601657.1_2802	lcl|CU928161.2_prot_CAR03882.1_2509	lcl|NC_013654.1_prot_WP_000105467.1_2344	lcl|NC_007946.1_prot_WP_000105467.1_2586
