# Species	Genes	Alg.-Conn.	11128.fasta	11368.fasta	12009.fasta	55989.fasta	ATCC8739.fasta	BW2952.fasta	DH10B.fasta	E24377A.fasta	HS.fasta	IAI1.fasta	MG1655.fasta	NCTC86.fasta	SE11.fasta	W3110.fasta
13	14	0.74	lcl|AP010960.1_prot_BAI34599.1_627	lcl|AP010953.1_prot_BAI24001.1_672	lcl|AP010958.1_prot_BAI29469.1_605	lcl|NZ_CP028304.1_prot_WP_000637953.1_746	lcl|NZ_CP022959.1_prot_WP_000637953.1_3172	lcl|NC_012759.1_prot_WP_000637953.1_511	lcl|NC_010473.1_prot_WP_000637953.1_554,lcl|NC_010473.1_prot_WP_000637953.1_662	lcl|CP000800.1_prot_ABV20484.1_591	*	lcl|NC_011741.1_prot_WP_000637953.1_559	lcl|NC_000913.3_prot_NP_415129.1_589	lcl|NZ_CP019778.1_prot_WP_000637953.1_670	lcl|NC_011415.1_prot_WP_000637953.1_669	lcl|AP009048.1_prot_BAE76352.1_589
13	14	0.74	lcl|AP010960.1_prot_BAI34615.1_646	lcl|AP010953.1_prot_BAI24019.1_690	lcl|AP010958.1_prot_BAI29486.1_623	lcl|NZ_CP028304.1_prot_WP_001295860.1_763	lcl|NZ_CP022959.1_prot_WP_000192245.1_3153	lcl|NC_012759.1_prot_WP_000192242.1_530	lcl|NC_010473.1_prot_WP_000192242.1_573,lcl|NC_010473.1_prot_WP_000192242.1_681	lcl|CP000800.1_prot_ABV18428.1_611	*	lcl|NC_011741.1_prot_WP_000192245.1_578	lcl|NC_000913.3_prot_NP_415148.1_608	lcl|NZ_CP019778.1_prot_WP_000192245.1_689	lcl|NC_011415.1_prot_WP_000192245.1_688	lcl|AP009048.1_prot_BAA35251.2_607
13	14	0.74	lcl|AP010960.1_prot_BAI34630.1_661	lcl|AP010953.1_prot_BAI24034.1_705	lcl|AP010958.1_prot_BAI29501.1_638	lcl|NZ_CP028304.1_prot_WP_000850550.1_778	lcl|NZ_CP022959.1_prot_WP_000850550.1_3138	lcl|NC_012759.1_prot_WP_000850550.1_545	lcl|NC_010473.1_prot_WP_000850550.1_588,lcl|NC_010473.1_prot_WP_000850550.1_696	lcl|CP000800.1_prot_ABV20139.1_629	*	lcl|NC_011741.1_prot_WP_000850550.1_593	lcl|NC_000913.3_prot_NP_415164.1_622	lcl|NZ_CP019778.1_prot_WP_000850550.1_704	lcl|NC_011415.1_prot_WP_000850550.1_703	lcl|AP009048.1_prot_BAA35274.1_625
13	14	0.74	lcl|AP010960.1_prot_BAI34640.1_671	lcl|AP010953.1_prot_BAI24044.1_715	lcl|AP010958.1_prot_BAI29511.1_648	lcl|NZ_CP028304.1_prot_WP_001269673.1_788	lcl|NZ_CP022959.1_prot_WP_001269665.1_3128	lcl|NC_012759.1_prot_WP_001269673.1_555	lcl|NC_010473.1_prot_WP_001269673.1_598,lcl|NC_010473.1_prot_WP_001269673.1_706	lcl|CP000800.1_prot_ABV20588.1_640	*	lcl|NC_011741.1_prot_WP_001269673.1_603	lcl|NC_000913.3_prot_NP_415174.1_632	lcl|NZ_CP019778.1_prot_WP_001269673.1_714	lcl|NC_011415.1_prot_WP_001269673.1_713	lcl|AP009048.1_prot_BAA35288.1_635
13	14	0.739	lcl|AP010960.1_prot_BAI34570.1_598	lcl|AP010953.1_prot_BAI23972.1_643	lcl|AP010958.1_prot_BAI29440.1_576	lcl|NZ_CP028304.1_prot_WP_000770953.1_708	lcl|NZ_CP022959.1_prot_WP_119809177.1_3200	lcl|NC_012759.1_prot_WP_000770953.1_483	lcl|NC_010473.1_prot_WP_000770953.1_526,lcl|NC_010473.1_prot_WP_000770953.1_634	lcl|CP000800.1_prot_ABV18488.1_564	*	lcl|NC_011741.1_prot_WP_000770941.1_530	lcl|NC_000913.3_prot_NP_415103.1_561	lcl|NZ_CP019778.1_prot_WP_000770953.1_641	lcl|NC_011415.1_prot_WP_000770953.1_640	lcl|AP009048.1_prot_BAA35205.1_561
13	14	0.739	lcl|AP010960.1_prot_BAI34574.1_602	lcl|AP010953.1_prot_BAI23976.1_647	lcl|AP010958.1_prot_BAI29444.1_580	lcl|NZ_CP028304.1_prot_WP_000574008.1_712	lcl|NZ_CP022959.1_prot_WP_000573945.1_3196	lcl|NC_012759.1_prot_WP_000573945.1_487	lcl|NC_010473.1_prot_WP_000573945.1_530,lcl|NC_010473.1_prot_WP_000573945.1_638	lcl|CP000800.1_prot_ABV21096.1_568	*	lcl|NC_011741.1_prot_WP_000573945.1_534	lcl|NC_000913.3_prot_NP_415107.1_565	lcl|NZ_CP019778.1_prot_WP_000573945.1_645	lcl|NC_011415.1_prot_WP_000573940.1_644	lcl|AP009048.1_prot_BAA35215.1_565
13	14	0.739	lcl|AP010960.1_prot_BAI34617.1_648	lcl|AP010953.1_prot_BAI24021.1_692	lcl|AP010958.1_prot_BAI29488.1_625	lcl|NZ_CP028304.1_prot_WP_000700703.1_765	lcl|NZ_CP022959.1_prot_WP_000700703.1_3151	lcl|NC_012759.1_prot_WP_000700703.1_532	lcl|NC_010473.1_prot_WP_000700703.1_575,lcl|NC_010473.1_prot_WP_000700703.1_683	lcl|CP000800.1_prot_ABV17355.1_613	*	lcl|NC_011741.1_prot_WP_000700703.1_580	lcl|NC_000913.3_prot_NP_415150.1_610	lcl|NZ_CP019778.1_prot_WP_000700703.1_691	lcl|NC_011415.1_prot_WP_000700703.1_690	lcl|AP009048.1_prot_BAA35253.1_609
13	14	0.739	lcl|AP010960.1_prot_BAI34636.1_667	lcl|AP010953.1_prot_BAI24040.1_711	lcl|AP010958.1_prot_BAI29507.1_644	lcl|NZ_CP028304.1_prot_WP_001161664.1_784	lcl|NZ_CP022959.1_prot_WP_001161664.1_3132	lcl|NC_012759.1_prot_WP_001161664.1_551	lcl|NC_010473.1_prot_WP_001161664.1_594,lcl|NC_010473.1_prot_WP_001161664.1_702	lcl|CP000800.1_prot_ABV19652.1_636	*	lcl|NC_011741.1_prot_WP_001161664.1_599	lcl|NC_000913.3_prot_NP_415170.4_628	lcl|NZ_CP019778.1_prot_WP_001161664.1_710	lcl|NC_011415.1_prot_WP_001161664.1_709	lcl|AP009048.1_prot_BAA35284.2_631
13	14	0.738	lcl|AP010960.1_prot_BAI34578.1_606	lcl|AP010953.1_prot_BAI23980.1_651	lcl|AP010958.1_prot_BAI29448.1_584	lcl|NZ_CP028304.1_prot_WP_000360948.1_716	lcl|NZ_CP022959.1_prot_WP_000360951.1_3192	lcl|NC_012759.1_prot_WP_000360951.1_491	lcl|NC_010473.1_prot_WP_000360951.1_534,lcl|NC_010473.1_prot_WP_000360951.1_642	lcl|CP000800.1_prot_ABV17399.1_573	*	lcl|NC_011741.1_prot_WP_000360951.1_538	lcl|NC_000913.3_prot_NP_415111.1_569	lcl|NZ_CP019778.1_prot_WP_000360951.1_649	lcl|NC_011415.1_prot_WP_000360963.1_648	lcl|AP009048.1_prot_BAA35219.2_569
13	14	0.738	lcl|AP010960.1_prot_BAI34590.1_618	lcl|AP010953.1_prot_BAI23992.1_663	lcl|AP010958.1_prot_BAI29460.1_596	lcl|NZ_CP028304.1_prot_WP_000140634.1_737	lcl|NZ_CP022959.1_prot_WP_000140647.1_3181	lcl|NC_012759.1_prot_WP_000140647.1_502	lcl|NC_010473.1_prot_WP_000140647.1_545,lcl|NC_010473.1_prot_WP_000140647.1_653	lcl|CP000800.1_prot_ABV20637.1_582	*	lcl|NC_011741.1_prot_WP_000140647.1_550	lcl|NC_000913.3_prot_NP_415120.1_580	lcl|NZ_CP019778.1_prot_WP_000140647.1_661	lcl|NC_011415.1_prot_WP_000140647.1_660	lcl|AP009048.1_prot_BAE76343.1_580
13	14	0.738	lcl|AP010960.1_prot_BAI34616.1_647	lcl|AP010953.1_prot_BAI24020.1_691	lcl|AP010958.1_prot_BAI29487.1_624	lcl|NZ_CP028304.1_prot_WP_000622357.1_764	lcl|NZ_CP022959.1_prot_WP_000622357.1_3152	lcl|NC_012759.1_prot_WP_000622357.1_531	lcl|NC_010473.1_prot_WP_000622357.1_574,lcl|NC_010473.1_prot_WP_000622357.1_682	lcl|CP000800.1_prot_ABV20502.1_612	*	lcl|NC_011741.1_prot_WP_000622357.1_579	lcl|NC_000913.3_prot_NP_415149.4_609	lcl|NZ_CP019778.1_prot_WP_000622357.1_690	lcl|NC_011415.1_prot_WP_000622357.1_689	lcl|AP009048.1_prot_BAA35252.1_608
13	14	0.738	lcl|AP010960.1_prot_BAI34620.1_651	lcl|AP010953.1_prot_BAI24024.1_695	lcl|AP010958.1_prot_BAI29491.1_628	lcl|NZ_CP028304.1_prot_WP_000126500.1_768	lcl|NZ_CP022959.1_prot_WP_000126500.1_3148	lcl|NC_012759.1_prot_WP_000126500.1_535	lcl|NC_010473.1_prot_WP_000126500.1_578,lcl|NC_010473.1_prot_WP_000126500.1_686	lcl|CP000800.1_prot_ABV17868.1_616	*	lcl|NC_011741.1_prot_WP_000126500.1_583	lcl|NC_000913.3_prot_NP_415153.1_613	lcl|NZ_CP019778.1_prot_WP_000126500.1_694	lcl|NC_011415.1_prot_WP_000126500.1_693	lcl|AP009048.1_prot_BAA35256.1_612
13	14	0.738	lcl|AP010960.1_prot_BAI34622.1_653	lcl|AP010953.1_prot_BAI24026.1_697	lcl|AP010958.1_prot_BAI29493.1_630	lcl|NZ_CP028304.1_prot_WP_001103088.1_770	lcl|NZ_CP022959.1_prot_WP_001314557.1_3146	lcl|NC_012759.1_prot_WP_001103094.1_537	lcl|NC_010473.1_prot_WP_001103094.1_580,lcl|NC_010473.1_prot_WP_001103094.1_688	lcl|CP000800.1_prot_ABV19988.1_620	*	lcl|NC_011741.1_prot_WP_001103094.1_585	lcl|NC_000913.3_prot_NP_415155.1_615	lcl|NZ_CP019778.1_prot_WP_001103094.1_696	lcl|NC_011415.1_prot_WP_001314557.1_695	lcl|AP009048.1_prot_BAA35265.2_616
13	14	0.738	lcl|AP010960.1_prot_BAI34631.1_662	lcl|AP010953.1_prot_BAI24035.1_706	lcl|AP010958.1_prot_BAI29502.1_639	lcl|NZ_CP028304.1_prot_WP_001092082.1_779	lcl|NZ_CP022959.1_prot_WP_001092082.1_3137	lcl|NC_012759.1_prot_WP_001092082.1_546	lcl|NC_010473.1_prot_WP_001092082.1_589,lcl|NC_010473.1_prot_WP_001092082.1_697	lcl|CP000800.1_prot_ABV20995.1_630	*	lcl|NC_011741.1_prot_WP_001092082.1_594	lcl|NC_000913.3_prot_NP_415165.1_623	lcl|NZ_CP019778.1_prot_WP_001092082.1_705	lcl|NC_011415.1_prot_WP_001092082.1_704	lcl|AP009048.1_prot_BAA35275.1_626
13	14	0.738	lcl|AP010960.1_prot_BAI34634.1_665	lcl|AP010953.1_prot_BAI24038.1_709	lcl|AP010958.1_prot_BAI29505.1_642	lcl|NZ_CP028304.1_prot_WP_000776191.1_782	lcl|NZ_CP022959.1_prot_WP_000776191.1_3134	lcl|NC_012759.1_prot_WP_000776191.1_549	lcl|NC_010473.1_prot_WP_000776191.1_592,lcl|NC_010473.1_prot_WP_000776191.1_700	lcl|CP000800.1_prot_ABV17701.1_634	*	lcl|NC_011741.1_prot_WP_000776191.1_597	lcl|NC_000913.3_prot_NP_415168.1_626	lcl|NZ_CP019778.1_prot_WP_000776191.1_708	lcl|NC_011415.1_prot_WP_000776191.1_707	lcl|AP009048.1_prot_BAA35282.1_629
13	14	0.738	lcl|AP010960.1_prot_BAI34638.1_669	lcl|AP010953.1_prot_BAI24042.1_713	lcl|AP010958.1_prot_BAI29509.1_646	lcl|NZ_CP028304.1_prot_WP_000838881.1_786	lcl|NZ_CP022959.1_prot_WP_000838889.1_3130	lcl|NC_012759.1_prot_WP_000838889.1_553	lcl|NC_010473.1_prot_WP_000838889.1_596,lcl|NC_010473.1_prot_WP_000838889.1_704	lcl|CP000800.1_prot_ABV16461.1_638	*	lcl|NC_011741.1_prot_WP_000838889.1_601	lcl|NC_000913.3_prot_NP_415172.1_630	lcl|NZ_CP019778.1_prot_WP_000838889.1_712	lcl|NC_011415.1_prot_WP_000838889.1_711	lcl|AP009048.1_prot_BAA35286.1_633
13	14	0.738	lcl|AP010960.1_prot_BAI34646.1_677	lcl|AP010953.1_prot_BAI24049.1_722	lcl|AP010958.1_prot_BAI29517.1_654	lcl|NZ_CP028304.1_prot_WP_001295868.1_792	lcl|NZ_CP022959.1_prot_WP_001035673.1_3122	lcl|NC_012759.1_prot_WP_001035674.1_561	lcl|NC_010473.1_prot_WP_001035674.1_604,lcl|NC_010473.1_prot_WP_001035674.1_712	lcl|CP000800.1_prot_ABV20998.1_648	*	lcl|NC_011741.1_prot_WP_001035677.1_609	lcl|NC_000913.3_prot_NP_415180.1_638	lcl|NZ_CP019778.1_prot_WP_001035673.1_720	lcl|NC_011415.1_prot_WP_001035673.1_719	lcl|AP009048.1_prot_BAA35294.1_641
13	14	0.738	lcl|AP010960.1_prot_BAI34651.1_682	lcl|AP010953.1_prot_BAI24054.1_727	lcl|AP010958.1_prot_BAI29522.1_659	lcl|NZ_CP028304.1_prot_WP_000631387.1_797	lcl|NZ_CP022959.1_prot_WP_000631384.1_3117	lcl|NC_012759.1_prot_WP_000631384.1_566	lcl|NC_010473.1_prot_WP_000631384.1_609,lcl|NC_010473.1_prot_WP_000631384.1_717	lcl|CP000800.1_prot_ABV18240.1_653	*	lcl|NC_011741.1_prot_WP_000631384.1_614	lcl|NC_000913.3_prot_NP_415185.1_643	lcl|NZ_CP019778.1_prot_WP_066008968.1_725	lcl|NC_011415.1_prot_WP_000631384.1_724	lcl|AP009048.1_prot_BAA35304.1_646
13	14	0.738	lcl|AP010960.1_prot_BAI34652.1_683	lcl|AP010953.1_prot_BAI24055.1_728	lcl|AP010958.1_prot_BAI29523.1_660	lcl|NZ_CP028304.1_prot_WP_000272824.1_798	lcl|NZ_CP022959.1_prot_WP_000272830.1_3116	lcl|NC_012759.1_prot_WP_000272824.1_567	lcl|NC_010473.1_prot_WP_000272824.1_610,lcl|NC_010473.1_prot_WP_000272824.1_718	lcl|CP000800.1_prot_ABV17410.1_654	*	lcl|NC_011741.1_prot_WP_000272824.1_615	lcl|NC_000913.3_prot_NP_415186.1_644	lcl|NZ_CP019778.1_prot_WP_000272824.1_726	lcl|NC_011415.1_prot_WP_000272824.1_725	lcl|AP009048.1_prot_BAA35305.1_647
13	14	0.738	lcl|AP010960.1_prot_BAI36611.1_2765	lcl|AP010953.1_prot_BAI26187.1_2964	lcl|AP010958.1_prot_BAI31308.1_2532	lcl|NZ_CP028304.1_prot_WP_000048190.1_2426	lcl|NZ_CP022959.1_prot_WP_000048190.1_1636	lcl|NC_012759.1_prot_WP_000048190.1_1970	lcl|NC_010473.1_prot_WP_000048190.1_2175	lcl|CP000800.1_prot_ABV17239.1_2237	*	lcl|NC_011741.1_prot_WP_000048190.1_2075	lcl|NC_000913.3_prot_NP_416557.1_2037	lcl|NZ_CP019778.1_prot_WP_078046024.1_2336	lcl|NC_011415.1_prot_WP_000048154.1_2318,lcl|NC_011415.1_prot_WP_000048190.1_2334	lcl|AP009048.1_prot_BAA15909.1_2047
