# Species	Genes	Alg.-Conn.	D:SotonD1.fasta	E:11023.fasta	E:150.fasta	E:Bour.fasta	E:SW3.fasta	E:SotonE4.fasta	E:SotonE8.fasta	F:SW4.fasta	F:SW5.fasta	F:SotonF3.fasta
10	10	0.978	lcl|NC_020967.1_prot_WP_009872573.1_346	lcl|CP001890.1_prot_ADH20802.1_348	lcl|CP001886.1_prot_ADH17107.1_346	lcl|NC_020971.1_prot_WP_009872573.1_347	lcl|NC_017952.1_prot_WP_009872573.1_345	lcl|NC_020969.1_prot_WP_009872573.1_346	lcl|NC_020942.1_prot_WP_009872573.1_349	lcl|NC_017951.1_prot_WP_009872573.1_346	lcl|NC_017953.1_prot_WP_009872573.1_346	lcl|NC_020964.1_prot_WP_009872573.1_345
10	10	0.978	lcl|NC_020967.1_prot_WP_009872656.1_456	lcl|CP001890.1_prot_ADH20910.1_456	lcl|CP001886.1_prot_ADH17215.1_454	lcl|NC_020971.1_prot_WP_009872656.1_457	lcl|NC_017952.1_prot_WP_009872656.1_455	lcl|NC_020969.1_prot_WP_009872656.1_456	lcl|NC_020942.1_prot_WP_009872656.1_459	lcl|NC_017951.1_prot_WP_009872656.1_456	lcl|NC_017953.1_prot_WP_009872656.1_456	lcl|NC_020964.1_prot_WP_009872656.1_455
10	10	0.978	lcl|NC_020967.1_prot_WP_009872735.1_559	lcl|CP001890.1_prot_ADH21017.1_563	lcl|CP001886.1_prot_ADH17322.1_561	lcl|NC_020971.1_prot_WP_009872735.1_560	lcl|NC_017952.1_prot_WP_009872735.1_558	lcl|NC_020969.1_prot_WP_009872735.1_559	lcl|NC_020942.1_prot_WP_009872735.1_562	lcl|NC_017951.1_prot_WP_009872735.1_559	lcl|NC_017953.1_prot_WP_009872735.1_559	lcl|NC_020964.1_prot_WP_009872735.1_558
10	10	0.977	lcl|NC_020967.1_prot_WP_009871407.1_61	lcl|CP001890.1_prot_ADH20516.1_62	lcl|CP001886.1_prot_ADH16824.1_63	lcl|NC_020971.1_prot_WP_009871407.1_61	lcl|NC_017952.1_prot_WP_009871407.1_61	lcl|NC_020969.1_prot_WP_009871407.1_61	lcl|NC_020942.1_prot_WP_009871407.1_61	lcl|NC_017951.1_prot_WP_009871407.1_61	lcl|NC_017953.1_prot_WP_009871407.1_61	lcl|NC_020964.1_prot_WP_009871407.1_61
10	10	0.977	lcl|NC_020967.1_prot_WP_009871579.1_237	lcl|CP001890.1_prot_ADH20692.1_238	lcl|CP001886.1_prot_ADH16997.1_236	lcl|NC_020971.1_prot_WP_009871579.1_238	lcl|NC_017952.1_prot_WP_009871579.1_236	lcl|NC_020969.1_prot_WP_009871579.1_237	lcl|NC_020942.1_prot_WP_009871579.1_240	lcl|NC_017951.1_prot_WP_009871579.1_237	lcl|NC_017953.1_prot_WP_009871579.1_237	lcl|NC_020964.1_prot_WP_009871579.1_236
10	10	0.977	lcl|NC_020967.1_prot_WP_009871904.1_560	lcl|CP001890.1_prot_ADH21018.1_564	lcl|CP001886.1_prot_ADH17323.1_562	lcl|NC_020971.1_prot_WP_009871904.1_561	lcl|NC_017952.1_prot_WP_009871904.1_559	lcl|NC_020969.1_prot_WP_009871904.1_560	lcl|NC_020942.1_prot_WP_009871904.1_563	lcl|NC_017951.1_prot_WP_009871904.1_560	lcl|NC_017953.1_prot_WP_009871904.1_560	lcl|NC_020964.1_prot_WP_009871904.1_559
10	10	0.977	lcl|NC_020967.1_prot_WP_009872454.1_203	lcl|CP001890.1_prot_ADH20658.1_204	lcl|CP001886.1_prot_ADH16963.1_202	lcl|NC_020971.1_prot_WP_009871545.1_204	lcl|NC_017952.1_prot_WP_009872454.1_202	lcl|NC_020969.1_prot_WP_009872454.1_203	lcl|NC_020942.1_prot_WP_009872454.1_206	lcl|NC_017951.1_prot_WP_009872454.1_203	lcl|NC_017953.1_prot_WP_009872454.1_203	lcl|NC_020964.1_prot_WP_009872454.1_202
10	10	0.976	lcl|NC_020967.1_prot_WP_009871513.1_171	lcl|CP001890.1_prot_ADH20627.1_173	lcl|CP001886.1_prot_ADH16933.1_172	lcl|NC_020971.1_prot_WP_009871513.1_172	lcl|NC_017952.1_prot_WP_009871513.1_171	lcl|NC_020969.1_prot_WP_009871513.1_171	lcl|NC_020942.1_prot_WP_009871513.1_175	lcl|NC_017951.1_prot_WP_009871513.1_171	lcl|NC_017953.1_prot_WP_009871513.1_171	lcl|NC_020964.1_prot_WP_009871513.1_170
10	10	0.976	lcl|NC_020967.1_prot_WP_009871967.1_620	lcl|CP001890.1_prot_ADH21078.1_624	lcl|CP001886.1_prot_ADH17384.1_623	lcl|NC_020971.1_prot_WP_009871967.1_621	lcl|NC_017952.1_prot_WP_009871967.1_619	lcl|NC_020969.1_prot_WP_009871967.1_620	lcl|NC_020942.1_prot_WP_009871967.1_623	lcl|NC_017951.1_prot_WP_009871967.1_620	lcl|NC_017953.1_prot_WP_009871967.1_620	lcl|NC_020964.1_prot_WP_009871967.1_619
10	10	0.976	lcl|NC_020967.1_prot_WP_009872015.1_666	lcl|CP001890.1_prot_ADH21128.1_674	lcl|CP001886.1_prot_ADH17434.1_673	lcl|NC_020971.1_prot_WP_009872015.1_667	lcl|NC_017952.1_prot_WP_009872015.1_665	lcl|NC_020969.1_prot_WP_009872015.1_666	lcl|NC_020942.1_prot_WP_009872015.1_669	lcl|NC_017951.1_prot_WP_009872015.1_666	lcl|NC_017953.1_prot_WP_009872015.1_666	lcl|NC_020964.1_prot_WP_009872015.1_665
10	10	0.976	lcl|NC_020967.1_prot_WP_009872309.1_9	lcl|CP001890.1_prot_ADH20464.1_10	lcl|CP001886.1_prot_ADH16770.1_9	lcl|NC_020971.1_prot_WP_009872309.1_9	lcl|NC_017952.1_prot_WP_009871354.1_9	lcl|NC_020969.1_prot_WP_009871354.1_9	lcl|NC_020942.1_prot_WP_009871354.1_9	lcl|NC_017951.1_prot_WP_009872309.1_9	lcl|NC_017953.1_prot_WP_009872309.1_9	lcl|NC_020964.1_prot_WP_009872309.1_9
10	10	0.976	lcl|NC_020967.1_prot_WP_009872541.1_308	lcl|CP001890.1_prot_ADH20765.1_311	lcl|CP001886.1_prot_ADH17070.1_309	lcl|NC_020971.1_prot_WP_014541248.1_309	lcl|NC_017952.1_prot_WP_009872541.1_307	lcl|NC_020969.1_prot_WP_009872541.1_308	lcl|NC_020942.1_prot_WP_009872541.1_311	lcl|NC_017951.1_prot_WP_009872541.1_308	lcl|NC_017953.1_prot_WP_009872541.1_308	lcl|NC_020964.1_prot_WP_009872541.1_307
10	10	0.976	lcl|NC_020967.1_prot_WP_009872744.1_570	lcl|CP001890.1_prot_ADH21028.1_574	lcl|CP001886.1_prot_ADH17333.1_572	lcl|NC_020971.1_prot_WP_009872744.1_571	lcl|NC_017952.1_prot_WP_009872744.1_569	lcl|NC_020969.1_prot_WP_009872744.1_570	lcl|NC_020942.1_prot_WP_009872744.1_573	lcl|NC_017951.1_prot_WP_009872744.1_570	lcl|NC_017953.1_prot_WP_009872744.1_570	lcl|NC_020964.1_prot_WP_009872744.1_569
10	10	0.976	lcl|NC_020967.1_prot_WP_009872893.1_765	lcl|CP001890.1_prot_ADH21233.1_779	lcl|CP001886.1_prot_ADH17541.1_780	lcl|NC_020971.1_prot_WP_009872893.1_766	lcl|NC_017952.1_prot_WP_009872893.1_764	lcl|NC_020969.1_prot_WP_009872893.1_765	lcl|NC_020942.1_prot_WP_009872893.1_769	lcl|NC_017951.1_prot_WP_009872893.1_765	lcl|NC_017953.1_prot_WP_009872893.1_765	lcl|NC_020964.1_prot_WP_009872893.1_764
10	10	0.976	lcl|NC_020967.1_prot_WP_009873077.1_228	lcl|CP001890.1_prot_ADH20683.1_229	lcl|CP001886.1_prot_ADH16988.1_227	lcl|NC_020971.1_prot_WP_010725128.1_229	lcl|NC_017952.1_prot_WP_009873077.1_227	lcl|NC_020969.1_prot_WP_009873077.1_228	lcl|NC_020942.1_prot_WP_009873077.1_231	lcl|NC_017951.1_prot_WP_009873077.1_228	lcl|NC_017953.1_prot_WP_009873077.1_228	lcl|NC_020964.1_prot_WP_009873077.1_227
10	10	0.976	lcl|NC_020967.1_prot_WP_009873130.1_447	lcl|CP001890.1_prot_ADH20900.1_446	lcl|CP001886.1_prot_ADH17205.1_444	lcl|NC_020971.1_prot_WP_009873130.1_448	lcl|NC_017952.1_prot_WP_009873130.1_446	lcl|NC_020969.1_prot_WP_009873130.1_447	lcl|NC_020942.1_prot_WP_009873130.1_450	lcl|NC_017951.1_prot_WP_009873130.1_447	lcl|NC_017953.1_prot_WP_009873130.1_447	lcl|NC_020964.1_prot_WP_009873130.1_446
10	10	0.976	lcl|NC_020967.1_prot_WP_009873239.1_891	lcl|CP001890.1_prot_ADH21367.1_913	lcl|CP001886.1_prot_ADH17675.1_914	lcl|NC_020971.1_prot_WP_009873239.1_891	lcl|NC_017952.1_prot_WP_014541780.1_889	lcl|NC_020969.1_prot_WP_014541780.1_890	lcl|NC_020942.1_prot_WP_014541780.1_895	lcl|NC_017951.1_prot_WP_009873239.1_890	lcl|NC_017953.1_prot_WP_009873239.1_890	lcl|NC_020964.1_prot_WP_015506376.1_890
10	10	0.976	lcl|NC_020967.1_prot_WP_014736636.1_903	lcl|CP001890.1_prot_ADH21379.1_925	lcl|CP001886.1_prot_ADH17687.1_926	lcl|NC_020971.1_prot_WP_014541314.1_903	lcl|NC_017952.1_prot_WP_010725381.1_901	lcl|NC_020969.1_prot_WP_010725381.1_902	lcl|NC_020942.1_prot_WP_010725381.1_907	lcl|NC_017951.1_prot_WP_014736636.1_902	lcl|NC_017953.1_prot_WP_014736636.1_902	lcl|NC_020964.1_prot_WP_014736636.1_902
10	10	0.975	lcl|NC_020967.1_prot_WP_009871600.1_258	lcl|CP001890.1_prot_ADH20714.1_260	lcl|CP001886.1_prot_ADH17019.1_258	lcl|NC_020971.1_prot_WP_009871600.1_259	lcl|NC_017952.1_prot_WP_014541757.1_257	lcl|NC_020969.1_prot_WP_009871600.1_258	lcl|NC_020942.1_prot_WP_009871600.1_261	lcl|NC_017951.1_prot_WP_009871600.1_258	lcl|NC_017953.1_prot_WP_009871600.1_258	lcl|NC_020964.1_prot_WP_009871600.1_257
10	10	0.975	lcl|NC_020967.1_prot_WP_009871618.1_276	lcl|CP001890.1_prot_ADH20733.1_279	lcl|CP001886.1_prot_ADH17038.1_277	lcl|NC_020971.1_prot_WP_009871618.1_277	lcl|NC_017952.1_prot_WP_009871618.1_275	lcl|NC_020969.1_prot_WP_009871618.1_276	lcl|NC_020942.1_prot_WP_009871618.1_279	lcl|NC_017951.1_prot_WP_009871618.1_276	lcl|NC_017953.1_prot_WP_009871618.1_276	lcl|NC_020964.1_prot_WP_009871618.1_275
10	10	0.975	lcl|NC_020967.1_prot_WP_009871638.1_295	lcl|CP001890.1_prot_ADH20753.1_299	lcl|CP001886.1_prot_ADH17058.1_297	lcl|NC_020971.1_prot_WP_009871638.1_296	lcl|NC_017952.1_prot_WP_009871638.1_294	lcl|NC_020969.1_prot_WP_009871638.1_295	lcl|NC_020942.1_prot_WP_009871638.1_298	lcl|NC_017951.1_prot_WP_009871638.1_295	lcl|NC_017953.1_prot_WP_009871638.1_295	lcl|NC_020964.1_prot_WP_009871638.1_294
10	10	0.975	lcl|NC_020967.1_prot_WP_009871708.1_367	lcl|CP001890.1_prot_ADH20823.1_369	lcl|CP001886.1_prot_ADH17128.1_367	lcl|NC_020971.1_prot_WP_009871708.1_368	lcl|NC_017952.1_prot_WP_009871708.1_366	lcl|NC_020969.1_prot_WP_009871708.1_367	lcl|NC_020942.1_prot_WP_009871708.1_370	lcl|NC_017951.1_prot_WP_009871708.1_367	lcl|NC_017953.1_prot_WP_009871708.1_367	lcl|NC_020964.1_prot_WP_009871708.1_366
10	10	0.975	lcl|NC_020967.1_prot_WP_009871799.1_460	lcl|CP001890.1_prot_ADH20914.1_460	lcl|CP001886.1_prot_ADH17219.1_458	lcl|NC_020971.1_prot_WP_009871799.1_461	lcl|NC_017952.1_prot_WP_009871799.1_459	lcl|NC_020969.1_prot_WP_009871799.1_460	lcl|NC_020942.1_prot_WP_009871799.1_463	lcl|NC_017951.1_prot_WP_009871799.1_460	lcl|NC_017953.1_prot_WP_009871799.1_460	lcl|NC_020964.1_prot_WP_009871799.1_459
10	10	0.975	lcl|NC_020967.1_prot_WP_009871835.1_493	lcl|CP001890.1_prot_ADH20950.1_496	lcl|CP001886.1_prot_ADH17255.1_494	lcl|NC_020971.1_prot_WP_009871835.1_494	lcl|NC_017952.1_prot_WP_009871835.1_492	lcl|NC_020969.1_prot_WP_009871835.1_493	lcl|NC_020942.1_prot_WP_009871835.1_496	lcl|NC_017951.1_prot_WP_009871835.1_493	lcl|NC_017953.1_prot_WP_009871835.1_493	lcl|NC_020964.1_prot_WP_009871835.1_492
10	10	0.975	lcl|NC_020967.1_prot_WP_009871950.1_604	lcl|CP001890.1_prot_ADH21063.1_609	lcl|CP001886.1_prot_ADH17369.1_608	lcl|NC_020971.1_prot_WP_009871950.1_605	lcl|NC_017952.1_prot_WP_009871950.1_603	lcl|NC_020969.1_prot_WP_009871950.1_604	lcl|NC_020942.1_prot_WP_009871950.1_607	lcl|NC_017951.1_prot_WP_009871950.1_604	lcl|NC_017953.1_prot_WP_009871950.1_604	lcl|NC_020964.1_prot_WP_009871950.1_603
10	10	0.975	lcl|NC_020967.1_prot_WP_009872102.1_747	lcl|CP001890.1_prot_ADH21214.1_760	lcl|CP001886.1_prot_ADH17522.1_761	lcl|NC_020971.1_prot_WP_009872102.1_748	lcl|NC_017952.1_prot_WP_009872102.1_746	lcl|NC_020969.1_prot_WP_009872102.1_747	lcl|NC_020942.1_prot_WP_009872102.1_751	lcl|NC_017951.1_prot_WP_009872102.1_747	lcl|NC_017953.1_prot_WP_009872102.1_747	lcl|NC_020964.1_prot_WP_009872102.1_746
10	10	0.975	lcl|NC_020967.1_prot_WP_009872198.1_838	lcl|CP001890.1_prot_ADH21313.1_859	lcl|CP001886.1_prot_ADH17621.1_860	lcl|NC_020971.1_prot_WP_009872198.1_839	lcl|NC_017952.1_prot_WP_009872198.1_837	lcl|NC_020969.1_prot_WP_009872198.1_838	lcl|NC_020942.1_prot_WP_009872198.1_842	lcl|NC_017951.1_prot_WP_009872198.1_838	lcl|NC_017953.1_prot_WP_009872198.1_838	lcl|NC_020964.1_prot_WP_009872198.1_837
10	10	0.975	lcl|NC_020967.1_prot_WP_009872314.1_15	lcl|CP001890.1_prot_ADH20470.1_16	lcl|CP001886.1_prot_ADH16776.1_15	lcl|NC_020971.1_prot_WP_009872314.1_15	lcl|NC_017952.1_prot_WP_009871360.1_15	lcl|NC_020969.1_prot_WP_009871360.1_15	lcl|NC_020942.1_prot_WP_009871360.1_15	lcl|NC_017951.1_prot_WP_009872314.1_15	lcl|NC_017953.1_prot_WP_009872314.1_15	lcl|NC_020964.1_prot_WP_009872314.1_15
10	10	0.975	lcl|NC_020967.1_prot_WP_009872315.1_16	lcl|CP001890.1_prot_ADH20471.1_17	lcl|CP001886.1_prot_ADH16777.1_16	lcl|NC_020971.1_prot_WP_009872315.1_16	lcl|NC_017952.1_prot_WP_010724983.1_16	lcl|NC_020969.1_prot_WP_010724983.1_16	lcl|NC_020942.1_prot_WP_010724983.1_16	lcl|NC_017951.1_prot_WP_009872315.1_16	lcl|NC_017953.1_prot_WP_009872315.1_16	lcl|NC_020964.1_prot_WP_009872315.1_16
10	10	0.975	lcl|NC_020967.1_prot_WP_009872317.1_18	lcl|CP001890.1_prot_ADH20473.1_19	lcl|CP001886.1_prot_ADH16779.1_18	lcl|NC_020971.1_prot_WP_009872317.1_18	lcl|NC_017952.1_prot_WP_010724985.1_18	lcl|NC_020969.1_prot_WP_041199509.1_18	lcl|NC_020942.1_prot_WP_010724985.1_18	lcl|NC_017951.1_prot_WP_009872317.1_18	lcl|NC_017953.1_prot_WP_009872317.1_18	lcl|NC_020964.1_prot_WP_009872317.1_18
10	10	0.975	lcl|NC_020967.1_prot_WP_009872377.1_105	lcl|CP001890.1_prot_ADH20561.1_107	lcl|CP001886.1_prot_ADH16868.1_107	lcl|NC_020971.1_prot_WP_015430205.1_105	lcl|NC_017952.1_prot_WP_009872377.1_105	lcl|NC_020969.1_prot_WP_009872377.1_105	lcl|NC_020942.1_prot_WP_009872377.1_106	lcl|NC_017951.1_prot_WP_009872377.1_105	lcl|NC_017953.1_prot_WP_009872377.1_105	lcl|NC_020964.1_prot_WP_009872377.1_105
10	10	0.975	lcl|NC_020967.1_prot_WP_009872382.1_113	lcl|CP001890.1_prot_ADH20569.1_115	lcl|CP001886.1_prot_ADH16876.1_115	lcl|NC_020971.1_prot_WP_009872382.1_113	lcl|NC_017952.1_prot_WP_009872382.1_113	lcl|NC_020969.1_prot_WP_009872382.1_113	lcl|NC_020942.1_prot_WP_009872382.1_114	lcl|NC_017951.1_prot_WP_009872382.1_113	lcl|NC_017953.1_prot_WP_009872382.1_113	lcl|NC_020964.1_prot_WP_009872382.1_113
10	10	0.975	lcl|NC_020967.1_prot_WP_009872457.1_206	lcl|CP001890.1_prot_ADH20661.1_207	lcl|CP001886.1_prot_ADH16966.1_205	lcl|NC_020971.1_prot_WP_009871548.1_207	lcl|NC_017952.1_prot_WP_009872457.1_205	lcl|NC_020969.1_prot_WP_009872457.1_206	lcl|NC_020942.1_prot_WP_009872457.1_209	lcl|NC_017951.1_prot_WP_009872457.1_206	lcl|NC_017953.1_prot_WP_009872457.1_206	lcl|NC_020964.1_prot_WP_009872457.1_205
10	10	0.975	lcl|NC_020967.1_prot_WP_009872716.1_534	lcl|CP001890.1_prot_ADH20992.1_538	lcl|CP001886.1_prot_ADH17297.1_536	lcl|NC_020971.1_prot_WP_009872716.1_535	lcl|NC_017952.1_prot_WP_009872716.1_533	lcl|NC_020969.1_prot_WP_009872716.1_534	lcl|NC_020942.1_prot_WP_009872716.1_537	lcl|NC_017951.1_prot_WP_009872716.1_534	lcl|NC_017953.1_prot_WP_009872716.1_534	lcl|NC_020964.1_prot_WP_009872716.1_533
10	10	0.975	lcl|NC_020967.1_prot_WP_009872721.1_541	lcl|CP001890.1_prot_ADH20999.1_545	lcl|CP001886.1_prot_ADH17304.1_543	lcl|NC_020971.1_prot_WP_009872721.1_542	lcl|NC_017952.1_prot_WP_009872721.1_540	lcl|NC_020969.1_prot_WP_009872721.1_541	lcl|NC_020942.1_prot_WP_009872721.1_544	lcl|NC_017951.1_prot_WP_009872721.1_541	lcl|NC_017953.1_prot_WP_009872721.1_541	lcl|NC_020964.1_prot_WP_009872721.1_540
10	10	0.975	lcl|NC_020967.1_prot_WP_009872729.1_550	lcl|CP001890.1_prot_ADH21008.1_554	lcl|CP001886.1_prot_ADH17313.1_552	lcl|NC_020971.1_prot_WP_009872729.1_551	lcl|NC_017952.1_prot_WP_009872729.1_549	lcl|NC_020969.1_prot_WP_009872729.1_550	lcl|NC_020942.1_prot_WP_009872729.1_553	lcl|NC_017951.1_prot_WP_009872729.1_550	lcl|NC_017953.1_prot_WP_009872729.1_550	lcl|NC_020964.1_prot_WP_009872729.1_549
10	10	0.975	lcl|NC_020967.1_prot_WP_009872852.1_710	lcl|CP001890.1_prot_ADH21174.1_720	lcl|CP001886.1_prot_ADH17481.1_720	lcl|NC_020971.1_prot_WP_009872852.1_711	lcl|NC_017952.1_prot_WP_009872852.1_709	lcl|NC_020969.1_prot_WP_009872852.1_710	lcl|NC_020942.1_prot_WP_009872852.1_713	lcl|NC_017951.1_prot_WP_009872852.1_710	lcl|NC_017953.1_prot_WP_009872852.1_710	lcl|NC_020964.1_prot_WP_009872852.1_709
10	10	0.975	lcl|NC_020967.1_prot_WP_009872907.1_781	lcl|CP001890.1_prot_ADH21251.1_797	lcl|CP001886.1_prot_ADH17559.1_798	lcl|NC_020971.1_prot_WP_009872907.1_782	lcl|NC_017952.1_prot_WP_009872907.1_780	lcl|NC_020969.1_prot_WP_009872907.1_781	lcl|NC_020942.1_prot_WP_009872907.1_785	lcl|NC_017951.1_prot_WP_009872907.1_781	lcl|NC_017953.1_prot_WP_009872907.1_781	lcl|NC_020964.1_prot_WP_009872907.1_780
