# Species	Genes	Alg.-Conn.	ATCC17978.fasta	ATCC19606.fasta	MDR-TJ.fasta	MDR-ZJ06.fasta	NCGM237.fasta	PKAB07.fasta	TCDC-AB0715.fasta	TYTH-1.fasta	UNVERIFIED_AC12.fasta	ZW85-1.fasta
10	14	0.169	lcl|NZ_CP033110.1_prot_WP_001185604.1_1490	lcl|NZ_CP058289.1_prot_WP_025079739.1_901	lcl|NC_017847.1_prot_WP_001185585.1_2636	lcl|NC_017171.2_prot_WP_001185585.1_2318,lcl|NC_017171.2_prot_WP_001185608.1_3415	lcl|NZ_AP013357.1_prot_WP_001185585.1_1168,lcl|NZ_AP013357.1_prot_WP_025465400.1_1563,lcl|NZ_AP013357.1_prot_WP_025465400.1_2720	lcl|CP006963.1_prot_AHJ92616.1_1155	lcl|CP002522.2_prot_ADX91616.1_1188	lcl|NC_018706.1_prot_WP_001185585.1_1389	lcl|CP007549.3_prot_AHX29745.1_2777,lcl|CP007549.3_prot_AHX28756.1_1787	lcl|NC_023028.1_prot_WP_023897114.1_2432
10	14	0.16	lcl|NZ_CP033110.1_prot_WP_000368392.1_1498	lcl|NZ_CP058289.1_prot_WP_000368364.1_912	lcl|NC_017847.1_prot_WP_000368388.1_2628	lcl|NC_017171.2_prot_WP_000368388.1_2326,lcl|NC_017171.2_prot_WP_000368373.1_3402	lcl|NZ_AP013357.1_prot_WP_000368375.1_1577,lcl|NZ_AP013357.1_prot_WP_000368388.1_1177,lcl|NZ_AP013357.1_prot_WP_000368364.1_2711	lcl|CP006963.1_prot_AHJ92623.1_1162,lcl|CP006963.1_prot_AHJ93667.1_2214	lcl|CP002522.2_prot_ADX91624.1_1196	lcl|NC_018706.1_prot_WP_000368388.1_1397	lcl|CP007549.3_prot_AHX27644.1_675	lcl|NC_023028.1_prot_WP_000368382.1_2426
10	14	0.104	lcl|NZ_CP033110.1_prot_WP_000094261.1_1489	lcl|NZ_CP058289.1_prot_WP_002055478.1_900	lcl|NC_017847.1_prot_WP_000094278.1_2637	lcl|NC_017171.2_prot_WP_000094278.1_2317,lcl|NC_017171.2_prot_WP_000094250.1_3416	lcl|NZ_AP013357.1_prot_WP_000094270.1_1562,lcl|NZ_AP013357.1_prot_WP_000094278.1_1167,lcl|NZ_AP013357.1_prot_WP_041114808.1_2721	lcl|CP006963.1_prot_AHJ92615.1_1154	lcl|CP002522.2_prot_ADX91615.1_1187	lcl|NC_018706.1_prot_WP_000094278.1_1388	lcl|CP007549.3_prot_AHX28757.1_1788,lcl|CP007549.3_prot_AHX29744.1_2776	lcl|NC_023028.1_prot_WP_023897115.1_2433
10	12	0.683	lcl|NZ_CP033110.1_prot_WP_001060970.1_3499	lcl|NZ_CP058289.1_prot_WP_001060987.1_3259	lcl|NC_017847.1_prot_WP_001060965.1_3573	lcl|NC_017171.2_prot_ABZJ_RS06595_1266	lcl|NZ_AP013357.1_prot_AB237_RS18785_3696	lcl|CP006963.1_prot_AHJ91616.1_148	lcl|CP002522.2_prot_ADX90580.1_141	lcl|NC_018706.1_prot_M3Q_RS01755_346,lcl|NC_018706.1_prot_M3Q_RS01870_366,lcl|NC_018706.1_prot_M3Q_RS09365_1852	lcl|CP007549.3_prot_AHX27637.1_668	lcl|NC_023028.1_prot_WP_023897437.1_3298
10	12	0.668	lcl|NZ_CP033110.1_prot_WP_000051228.1_3494	lcl|NZ_CP058289.1_prot_WP_000051228.1_3254	lcl|NC_017847.1_prot_WP_000051228.1_3568	lcl|NC_017171.2_prot_WP_000051231.1_1271	lcl|NZ_AP013357.1_prot_WP_000051231.1_3691	lcl|CP006963.1_prot_AHJ91621.1_153	lcl|CP002522.2_prot_ADX90585.1_146	lcl|NC_018706.1_prot_WP_000051231.1_1857,lcl|NC_018706.1_prot_WP_000051231.1_351,lcl|NC_018706.1_prot_WP_000051231.1_361	lcl|CP007549.3_prot_AHX26970.1_1	lcl|NC_023028.1_prot_WP_000051227.1_3293
10	12	0.667	lcl|NZ_CP033110.1_prot_WP_000369410.1_3496	lcl|NZ_CP058289.1_prot_WP_000369415.1_3256	lcl|NC_017847.1_prot_WP_000369421.1_3570	lcl|NC_017171.2_prot_WP_000369418.1_1269	lcl|NZ_AP013357.1_prot_WP_000369418.1_3693	lcl|CP006963.1_prot_AHJ91619.1_151	lcl|CP002522.2_prot_ADX90583.1_144	lcl|NC_018706.1_prot_WP_000369418.1_1855,lcl|NC_018706.1_prot_WP_000369418.1_349,lcl|NC_018706.1_prot_WP_000369418.1_363	lcl|CP007549.3_prot_AHX27640.1_671	lcl|NC_023028.1_prot_WP_023897435.1_3295
10	12	0.666	lcl|NZ_CP033110.1_prot_WP_000256268.1_3498	lcl|NZ_CP058289.1_prot_WP_000256265.1_3258	lcl|NC_017847.1_prot_WP_000256264.1_3572	lcl|NC_017171.2_prot_WP_000256275.1_1267	lcl|NZ_AP013357.1_prot_WP_000256275.1_3695	lcl|CP006963.1_prot_AHJ91617.1_149	lcl|CP002522.2_prot_ADX90581.1_142	lcl|NC_018706.1_prot_WP_000256275.1_1853,lcl|NC_018706.1_prot_WP_000256275.1_347,lcl|NC_018706.1_prot_WP_000256275.1_365	lcl|CP007549.3_prot_AHX27638.1_669	lcl|NC_023028.1_prot_WP_023897436.1_3297
10	12	0.663	lcl|NZ_CP033110.1_prot_WP_000191717.1_3497	lcl|NZ_CP058289.1_prot_WP_000191725.1_3257	lcl|NC_017847.1_prot_WP_000191710.1_3571	lcl|NC_017171.2_prot_WP_000191723.1_1268	lcl|NZ_AP013357.1_prot_WP_000191723.1_3694	lcl|CP006963.1_prot_AHJ91618.1_150	lcl|CP002522.2_prot_ADX90582.1_143	lcl|NC_018706.1_prot_WP_000191723.1_1854,lcl|NC_018706.1_prot_WP_000191723.1_348,lcl|NC_018706.1_prot_WP_000191723.1_364	lcl|CP007549.3_prot_AHX27639.1_670	lcl|NC_023028.1_prot_WP_002059317.1_3296
10	12	0.663	lcl|NZ_CP033110.1_prot_WP_001279798.1_3495	lcl|NZ_CP058289.1_prot_WP_001286027.1_3255	lcl|NC_017847.1_prot_WP_001286034.1_3569	lcl|NC_017171.2_prot_WP_001286029.1_1270	lcl|NZ_AP013357.1_prot_WP_001286029.1_3692	lcl|CP006963.1_prot_AHJ91620.1_152	lcl|CP002522.2_prot_ADX90584.1_145	lcl|NC_018706.1_prot_WP_001286029.1_1856,lcl|NC_018706.1_prot_WP_001286029.1_350,lcl|NC_018706.1_prot_WP_001286029.1_362	lcl|CP007549.3_prot_AHX27641.1_672	lcl|NC_023028.1_prot_WP_001286036.1_3294
10	12	0.627	lcl|NZ_CP033110.1_prot_WP_049594825.1_1500	lcl|NZ_CP058289.1_prot_WP_005143863.1_914	lcl|NC_017847.1_prot_WP_000598554.1_2626	lcl|NC_017171.2_prot_WP_000598554.1_2328,lcl|NC_017171.2_prot_WP_000590506.1_3400	lcl|NZ_AP013357.1_prot_WP_041114803.1_2709,lcl|NZ_AP013357.1_prot_WP_000598554.1_1179	lcl|CP006963.1_prot_AHJ93665.1_2212	lcl|CP002522.2_prot_ADX91626.1_1198	lcl|NC_018706.1_prot_WP_000598554.1_1399	lcl|CP007549.3_prot_AHX30238.1_3271	lcl|NC_023028.1_prot_WP_023897108.1_2424
10	12	0.559	lcl|NZ_CP033110.1_prot_WP_000654848.1_1443,lcl|NZ_CP033110.1_prot_WP_049594847.1_2543	lcl|NZ_CP058289.1_prot_WP_000654845.1_2274	lcl|NC_017847.1_prot_WP_000654846.1_2689	lcl|NC_017171.2_prot_WP_000654846.1_2265	lcl|NZ_AP013357.1_prot_WP_000654844.1_1117,lcl|NZ_AP013357.1_prot_WP_000654846.1_2770	lcl|CP006963.1_prot_AHJ92563.1_1102	lcl|CP002522.2_prot_ADX91564.1_1136	lcl|NC_018706.1_prot_WP_000654846.1_1341	lcl|CP007549.3_prot_AHX29693.1_2725	lcl|NC_023028.1_prot_WP_000654845.1_2477
10	11	0.769	lcl|NZ_CP033110.1_prot_WP_002019666.1_288	lcl|NZ_CP058289.1_prot_WP_001990541.1_81	lcl|NC_017847.1_prot_WP_002019666.1_280	lcl|NC_017171.2_prot_WP_002019666.1_847	lcl|NZ_AP013357.1_prot_WP_002022249.1_294	lcl|CP006963.1_prot_AHJ94818.1_3371,lcl|CP006963.1_prot_AHJ94993.1_3546	lcl|CP002522.2_prot_ADX94026.1_3594	lcl|NC_018706.1_prot_WP_002019666.1_3628	lcl|CP007549.3_prot_AHX29502.1_2533	lcl|NC_023028.1_prot_WP_023896133.1_281
10	11	0.763	lcl|NZ_CP033110.1_prot_WP_085943440.1_325	lcl|NZ_CP058289.1_prot_WP_085916958.1_119	lcl|NC_017847.1_prot_WP_085916958.1_318	lcl|NC_017171.2_prot_WP_085916958.1_809	lcl|NZ_AP013357.1_prot_WP_085916958.1_333	lcl|CP006963.1_prot_AHJ94783.1_3336,lcl|CP006963.1_prot_AHJ94957.1_3510	lcl|CP002522.2_prot_ADX93989.1_3557	lcl|NC_018706.1_prot_WP_085916958.1_3590	lcl|CP007549.3_prot_AHX29466.1_2497	lcl|NC_023028.1_prot_WP_138149879.1_319
10	11	0.762	lcl|NZ_CP033110.1_prot_WP_000849088.1_424	lcl|NZ_CP058289.1_prot_WP_000849088.1_215	lcl|NC_017847.1_prot_WP_000849088.1_415	lcl|NC_017171.2_prot_WP_000849088.1_712	lcl|NZ_AP013357.1_prot_WP_000849088.1_432	lcl|CP006963.1_prot_AHJ94685.1_3238,lcl|CP006963.1_prot_AHJ94859.1_3412	lcl|CP002522.2_prot_ADX93891.1_3459	lcl|NC_018706.1_prot_WP_000849088.1_3493	lcl|CP007549.3_prot_AHX29370.1_2401	lcl|NC_023028.1_prot_WP_000849088.1_417
10	11	0.762	lcl|NZ_CP033110.1_prot_WP_000849928.1_414	lcl|NZ_CP058289.1_prot_WP_000849928.1_205	lcl|NC_017847.1_prot_WP_000849928.1_405	lcl|NC_017171.2_prot_WP_000849928.1_722	lcl|NZ_AP013357.1_prot_WP_000849928.1_422	lcl|CP006963.1_prot_AHJ94695.1_3248,lcl|CP006963.1_prot_AHJ94869.1_3422	lcl|CP002522.2_prot_ADX93901.1_3469	lcl|NC_018706.1_prot_WP_000849928.1_3503	lcl|CP007549.3_prot_AHX29380.1_2411	lcl|NC_023028.1_prot_WP_000849928.1_407
10	11	0.761	lcl|NZ_CP033110.1_prot_WP_000218805.1_297	lcl|NZ_CP058289.1_prot_WP_000218797.1_90	lcl|NC_017847.1_prot_WP_000218802.1_289	lcl|NC_017171.2_prot_WP_000218802.1_838	lcl|NZ_AP013357.1_prot_WP_000218808.1_303	lcl|CP006963.1_prot_AHJ94809.1_3362,lcl|CP006963.1_prot_AHJ94984.1_3537	lcl|CP002522.2_prot_ADX94017.1_3585	lcl|NC_018706.1_prot_WP_000218802.1_3619	lcl|CP007549.3_prot_AHX29493.1_2524	lcl|NC_023028.1_prot_WP_000218807.1_290
10	11	0.761	lcl|NZ_CP033110.1_prot_WP_001988040.1_280	lcl|NZ_CP058289.1_prot_WP_002135158.1_73	lcl|NC_017847.1_prot_WP_001988040.1_272	lcl|NC_017171.2_prot_WP_001988040.1_855	lcl|NZ_AP013357.1_prot_WP_000820793.1_286	lcl|CP006963.1_prot_AHJ94826.1_3379,lcl|CP006963.1_prot_AHJ95001.1_3554	lcl|CP002522.2_prot_ADX94034.1_3602	lcl|NC_018706.1_prot_WP_001988040.1_3636	lcl|CP007549.3_prot_AHX29510.1_2541	lcl|NC_023028.1_prot_WP_001988040.1_273
10	11	0.76	lcl|NZ_CP033110.1_prot_WP_000557503.1_285	lcl|NZ_CP058289.1_prot_WP_000557502.1_78	lcl|NC_017847.1_prot_WP_000557492.1_277	lcl|NC_017171.2_prot_WP_000557492.1_850	lcl|NZ_AP013357.1_prot_WP_000557517.1_291	lcl|CP006963.1_prot_AHJ94821.1_3374,lcl|CP006963.1_prot_AHJ94996.1_3549	lcl|CP002522.2_prot_ADX94029.1_3597	lcl|NC_018706.1_prot_WP_000557492.1_3631	lcl|CP007549.3_prot_AHX29505.1_2536	lcl|NC_023028.1_prot_WP_023896131.1_278
10	11	0.76	lcl|NZ_CP033110.1_prot_WP_002000592.1_426	lcl|NZ_CP058289.1_prot_WP_002000592.1_217	lcl|NC_017847.1_prot_WP_002000592.1_417	lcl|NC_017171.2_prot_WP_002000592.1_710	lcl|NZ_AP013357.1_prot_WP_002000592.1_434	lcl|CP006963.1_prot_AHJ94683.1_3236,lcl|CP006963.1_prot_AHJ94857.1_3410	lcl|CP002522.2_prot_ADX93889.1_3457	lcl|NC_018706.1_prot_WP_002000592.1_3491	lcl|CP007549.3_prot_AHX29368.1_2399	lcl|NC_023028.1_prot_WP_002000592.1_419
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_000062616.1_420	lcl|NZ_CP058289.1_prot_WP_000062616.1_211	lcl|NC_017847.1_prot_WP_000062616.1_411	lcl|NC_017171.2_prot_WP_000062616.1_716	lcl|NZ_AP013357.1_prot_WP_000062616.1_428	lcl|CP006963.1_prot_AHJ94689.1_3242,lcl|CP006963.1_prot_AHJ94863.1_3416	lcl|CP002522.2_prot_ADX93895.1_3463	lcl|NC_018706.1_prot_WP_000062616.1_3497	lcl|CP007549.3_prot_AHX29374.1_2405	lcl|NC_023028.1_prot_WP_000062616.1_413
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_000070912.1_405	lcl|NZ_CP058289.1_prot_WP_000070912.1_196	lcl|NC_017847.1_prot_WP_000070912.1_396	lcl|NC_017171.2_prot_WP_000070912.1_731	lcl|NZ_AP013357.1_prot_WP_000070912.1_413	lcl|CP006963.1_prot_AHJ94704.1_3257,lcl|CP006963.1_prot_AHJ94878.1_3431	lcl|CP002522.2_prot_ADX93910.1_3478	lcl|NC_018706.1_prot_WP_000070912.1_3512	lcl|CP007549.3_prot_AHX29389.1_2420	lcl|NC_023028.1_prot_WP_000070912.1_398
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_000169602.1_287	lcl|NZ_CP058289.1_prot_WP_000169602.1_80	lcl|NC_017847.1_prot_WP_000169594.1_279	lcl|NC_017171.2_prot_WP_000169594.1_848	lcl|NZ_AP013357.1_prot_WP_000169602.1_293	lcl|CP006963.1_prot_AHJ94819.1_3372,lcl|CP006963.1_prot_AHJ94994.1_3547	lcl|CP002522.2_prot_ADX94027.1_3595	lcl|NC_018706.1_prot_WP_000169594.1_3629	lcl|CP007549.3_prot_AHX29503.1_2534	lcl|NC_023028.1_prot_WP_000169602.1_280
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_000508762.1_273	lcl|NZ_CP058289.1_prot_WP_000508757.1_66	lcl|NC_017847.1_prot_WP_000508762.1_265	lcl|NC_017171.2_prot_WP_000508762.1_862	lcl|NZ_AP013357.1_prot_WP_000508760.1_279	lcl|CP006963.1_prot_AHJ94834.1_3387,lcl|CP006963.1_prot_AHJ95009.1_3562	lcl|CP002522.2_prot_ADX94041.1_3609	lcl|NC_018706.1_prot_WP_000508762.1_3643	lcl|CP007549.3_prot_AHX30363.1_3396	lcl|NC_023028.1_prot_WP_000508762.1_266
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_000941215.1_413	lcl|NZ_CP058289.1_prot_WP_000941215.1_204	lcl|NC_017847.1_prot_WP_000941215.1_404	lcl|NC_017171.2_prot_WP_000941215.1_723	lcl|NZ_AP013357.1_prot_WP_000941215.1_421	lcl|CP006963.1_prot_AHJ94696.1_3249,lcl|CP006963.1_prot_AHJ94870.1_3423	lcl|CP002522.2_prot_ADX93902.1_3470	lcl|NC_018706.1_prot_WP_000941215.1_3504	lcl|CP007549.3_prot_AHX29381.1_2412	lcl|NC_023028.1_prot_WP_000941215.1_406
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_001117590.1_309	lcl|NZ_CP058289.1_prot_WP_001117590.1_103	lcl|NC_017847.1_prot_WP_001117590.1_302	lcl|NC_017171.2_prot_WP_001117590.1_825	lcl|NZ_AP013357.1_prot_WP_041114736.1_317	lcl|CP006963.1_prot_AHJ94798.1_3351,lcl|CP006963.1_prot_AHJ94972.1_3525	lcl|CP002522.2_prot_ADX94004.1_3572	lcl|NC_018706.1_prot_WP_001117590.1_3606	lcl|CP007549.3_prot_AHX29481.1_2512	lcl|NC_023028.1_prot_WP_001117590.1_303
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_001281781.1_349	lcl|NZ_CP058289.1_prot_WP_001281781.1_143	lcl|NC_017847.1_prot_WP_001281781.1_342	lcl|NC_017171.2_prot_WP_001281781.1_785	lcl|NZ_AP013357.1_prot_WP_041114738.1_359	lcl|CP006963.1_prot_AHJ94758.1_3311,lcl|CP006963.1_prot_AHJ94932.1_3485	lcl|CP002522.2_prot_ADX93964.1_3532	lcl|NC_018706.1_prot_WP_001281781.1_3566	lcl|CP007549.3_prot_AHX29442.1_2473	lcl|NC_023028.1_prot_WP_023896153.1_343
10	11	0.759	lcl|NZ_CP033110.1_prot_WP_001288210.1_435	lcl|NZ_CP058289.1_prot_WP_001288210.1_226	lcl|NC_017847.1_prot_WP_001288210.1_426	lcl|NC_017171.2_prot_WP_001288210.1_701	lcl|NZ_AP013357.1_prot_WP_001288210.1_443	lcl|CP006963.1_prot_AHJ94675.1_3228,lcl|CP006963.1_prot_AHJ94848.1_3401	lcl|CP002522.2_prot_ADX93881.1_3449	lcl|NC_018706.1_prot_WP_001288210.1_3482	lcl|CP007549.3_prot_AHX29359.1_2390	lcl|NC_023028.1_prot_WP_001288210.1_428
10	11	0.758	lcl|NZ_CP033110.1_prot_EAV54_RS02125_412	lcl|NZ_CP058289.1_prot_HTZ92_RS01055_203	lcl|NC_017847.1_prot_ABTJ_RS02065_403	lcl|NC_017171.2_prot_ABZJ_RS03775_724	lcl|NZ_AP013357.1_prot_AB237_RS02145_420	lcl|CP006963.1_prot_AHJ94697.1_3250,lcl|CP006963.1_prot_AHJ94871.1_3424	lcl|CP002522.2_prot_ADX93903.1_3471	lcl|NC_018706.1_prot_M3Q_RS17785_3505	lcl|CP007549.3_prot_AHX29382.1_2413	lcl|NC_023028.1_prot_P795_RS02075_405
