# Species	Genes	Alg.-Conn.	11128.fasta	11368.fasta	12009.fasta	E24377A.fasta	IAI1.fasta	SE11.fasta	Sb227.fasta	Ss046.fasta	W.fasta
9	9	0.863	lcl|AP010960.1_prot_BAI36629.1_2789	lcl|AP010953.1_prot_BAI26201.1_2980	lcl|AP010958.1_prot_BAI31323.1_2547	lcl|CP000800.1_prot_ABV19674.1_2252	lcl|NC_011741.1_prot_WP_000288389.1_2091	lcl|NC_011415.1_prot_WP_000288389.1_2350	lcl|CP000036.1_prot_ABB65562.1_826	lcl|CP000038.1_prot_AAZ88777.1_1980	lcl|NC_017635.1_prot_WP_000288410.1_2202
9	9	0.862	lcl|AP010960.1_prot_BAI38046.1_4278	lcl|AP010953.1_prot_BAI27727.1_4557	lcl|AP010958.1_prot_BAI32898.1_4190	lcl|CP000800.1_prot_ABV16567.1_3766	lcl|NC_011741.1_prot_WP_000130621.1_3478	lcl|NC_011415.1_prot_WP_000130621.1_3733	lcl|CP000036.1_prot_ABB67952.1_3220	lcl|CP000038.1_prot_AAZ90254.1_3457	lcl|NC_017635.1_prot_WP_000130621.1_3663
9	9	0.861	lcl|AP010960.1_prot_BAI36409.1_2547	lcl|AP010953.1_prot_BAI26088.1_2852	lcl|AP010958.1_prot_BAI31008.1_2216	lcl|CP000800.1_prot_ABV16750.1_2099	lcl|NC_011741.1_prot_WP_000826746.1_1998	lcl|NC_011415.1_prot_WP_000826769.1_2200	lcl|CP000036.1_prot_ABB65691.1_956	lcl|CP000038.1_prot_AAZ88690.1_1893	lcl|NC_017635.1_prot_WP_000826770.1_2118
9	9	0.861	lcl|AP010960.1_prot_BAI36582.1_2734	lcl|AP010953.1_prot_BAI26144.1_2921	lcl|AP010958.1_prot_BAI31265.1_2489	lcl|CP000800.1_prot_ABV17596.1_2193	lcl|NC_011741.1_prot_WP_000980633.1_2025	lcl|NC_011415.1_prot_WP_000980607.1_2289	lcl|CP000036.1_prot_ABB65506.1_770	lcl|CP000038.1_prot_AAZ88737.1_1940	lcl|NC_017635.1_prot_WP_000980597.1_2143
9	9	0.86	lcl|AP010960.1_prot_BAI36245.1_2381	lcl|AP010953.1_prot_BAI25950.1_2711	lcl|AP010958.1_prot_BAI30847.1_2049	lcl|CP000800.1_prot_ABV17117.1_1993	lcl|NC_011741.1_prot_WP_000571479.1_1899	lcl|NC_011415.1_prot_WP_000571479.1_2036	lcl|CP000036.1_prot_ABB65811.1_1076	lcl|CP000038.1_prot_AAZ87995.1_1198	lcl|NC_017635.1_prot_WP_000571465.1_2013
9	9	0.86	lcl|AP010960.1_prot_BAI36373.1_2510	lcl|AP010953.1_prot_BAI26059.1_2820	lcl|AP010958.1_prot_BAI30976.1_2184	lcl|CP000800.1_prot_ABV17669.1_2064	lcl|NC_011741.1_prot_WP_001295642.1_1966	lcl|NC_011415.1_prot_WP_001295642.1_2162	lcl|CP000036.1_prot_ABB65724.1_989	lcl|CP000038.1_prot_AAZ88650.1_1853	lcl|NC_017635.1_prot_WP_001295642.1_2081
9	9	0.86	lcl|AP010960.1_prot_BAI36413.1_2551	lcl|AP010953.1_prot_BAI26092.1_2856	lcl|AP010958.1_prot_BAI31012.1_2220	lcl|CP000800.1_prot_ABV18855.1_2103	lcl|NC_011741.1_prot_WP_001240105.1_2002	lcl|NC_011415.1_prot_WP_001240105.1_2204	lcl|CP000036.1_prot_ABB65689.1_954	lcl|CP000038.1_prot_AAZ88695.1_1898	lcl|NC_017635.1_prot_WP_001240105.1_2122
9	9	0.86	lcl|AP010960.1_prot_BAI37256.1_3450	lcl|AP010953.1_prot_BAI26988.1_3795	lcl|AP010958.1_prot_BAI32017.1_3268	lcl|CP000800.1_prot_ABV19339.1_2873	lcl|NC_011741.1_prot_WP_001059930.1_2726	lcl|NC_011415.1_prot_WP_001059931.1_2990	lcl|CP000036.1_prot_ABB67316.1_2584	lcl|CP000038.1_prot_AAZ89481.1_2684	lcl|NC_017635.1_prot_WP_001059931.1_2889
9	9	0.86	lcl|AP010960.1_prot_BAI38243.1_4484	lcl|AP010953.1_prot_BAI28078.1_4922	lcl|AP010958.1_prot_BAI33197.1_4496	lcl|CP000800.1_prot_ABV17821.1_3976	lcl|NC_011741.1_prot_WP_000805509.1_3685	lcl|NC_011415.1_prot_WP_000805509.1_3938	lcl|CP000036.1_prot_ABB68185.1_3453	lcl|CP000038.1_prot_AAZ90165.1_3368	lcl|NC_017635.1_prot_WP_000805509.1_3889
9	9	0.86	lcl|AP010960.1_prot_BAI38659.1_4923	lcl|AP010953.1_prot_BAI28310.1_5165	lcl|AP010958.1_prot_BAI33487.1_4798	lcl|CP000800.1_prot_ABV18882.1_4380	lcl|NC_011741.1_prot_WP_001298868.1_4066	lcl|NC_011415.1_prot_WP_001298868.1_4324	lcl|CP000036.1_prot_ABB68501.1_3770	lcl|CP000038.1_prot_AAZ90727.1_3930	lcl|NC_017635.1_prot_WP_001298868.1_4309
9	9	0.859	lcl|AP010960.1_prot_BAI34586.1_614	lcl|AP010953.1_prot_BAI23988.1_659	lcl|AP010958.1_prot_BAI29456.1_592	lcl|CP000800.1_prot_ABV18744.1_578	lcl|NC_011741.1_prot_WP_000125810.1_546	lcl|NC_011415.1_prot_WP_000125810.1_656	lcl|CP000036.1_prot_ABB65149.1_413	lcl|CP000038.1_prot_AAZ87303.1_505	lcl|NC_017635.1_prot_WP_000125810.1_636
9	9	0.859	lcl|AP010960.1_prot_BAI35304.1_1367	lcl|AP010953.1_prot_BAI24724.1_1423	lcl|AP010958.1_prot_BAI29974.1_1135	lcl|CP000800.1_prot_ABV18316.1_1153	lcl|NC_011741.1_prot_WP_000197578.1_1097	lcl|NC_011415.1_prot_WP_000197585.1_1144	lcl|CP000036.1_prot_ABB66563.1_1831	lcl|CP000038.1_prot_AAZ87835.1_1038	lcl|NC_017635.1_prot_WP_000197578.1_1177
9	9	0.859	lcl|AP010960.1_prot_BAI36623.1_2781	lcl|AP010953.1_prot_BAI26195.1_2972	lcl|AP010958.1_prot_BAI31316.1_2540	lcl|CP000800.1_prot_ABV20275.1_2245	lcl|NC_011741.1_prot_WP_000482901.1_2083	lcl|NC_011415.1_prot_WP_000482901.1_2342	lcl|CP000036.1_prot_ABB65556.1_820	lcl|CP000038.1_prot_AAZ88770.1_1973	lcl|NC_017635.1_prot_WP_000482901.1_2192
9	9	0.859	lcl|AP010960.1_prot_BAI36817.1_2988	lcl|AP010953.1_prot_BAI26437.1_3229	lcl|AP010958.1_prot_BAI31476.1_2705	lcl|CP000800.1_prot_ABV17064.1_2416	lcl|NC_011741.1_prot_WP_000135040.1_2250	lcl|NC_011415.1_prot_WP_000135040.1_2509	lcl|CP000036.1_prot_ABB66638.1_1906	lcl|CP000038.1_prot_AAZ88940.1_2143	lcl|NC_017635.1_prot_WP_000135040.1_2407
9	9	0.858	lcl|AP010960.1_prot_BAI34018.1_14	lcl|AP010953.1_prot_BAI23378.1_14	lcl|AP010958.1_prot_BAI28898.1_15	lcl|CP000800.1_prot_ABV18170.1_15	lcl|NC_011741.1_prot_WP_001118464.1_14	lcl|NC_011415.1_prot_WP_001118464.1_14	lcl|CP000036.1_prot_ABB64752.1_15	lcl|CP000038.1_prot_AAZ86812.1_14	lcl|NC_017635.1_prot_WP_001118464.1_15
9	9	0.858	lcl|AP010960.1_prot_BAI34164.1_165	lcl|AP010953.1_prot_BAI23525.1_166	lcl|AP010958.1_prot_BAI29041.1_163	lcl|CP000800.1_prot_ABV17949.1_165	lcl|NC_011741.1_prot_WP_000272188.1_163	lcl|NC_011415.1_prot_WP_000272188.1_163	lcl|CP000036.1_prot_ABB64882.1_146	lcl|CP000038.1_prot_AAZ86968.1_170	lcl|NC_017635.1_prot_WP_000272188.1_163
9	9	0.858	lcl|AP010960.1_prot_BAI34821.1_864	lcl|AP010953.1_prot_BAI24246.1_930	lcl|AP010958.1_prot_BAI29690.1_839	lcl|CP000800.1_prot_ABV17907.1_827	lcl|NC_011741.1_prot_WP_000146343.1_820	lcl|NC_011415.1_prot_WP_000146343.1_860	lcl|CP000036.1_prot_ABB65367.1_631	lcl|CP000038.1_prot_AAZ87530.1_732	lcl|NC_017635.1_prot_WP_000146343.1_844
9	9	0.858	lcl|AP010960.1_prot_BAI35440.1_1511	lcl|AP010953.1_prot_BAI24995.1_1696	lcl|AP010958.1_prot_BAI30119.1_1285	lcl|CP000800.1_prot_ABV21137.1_1264	lcl|NC_011741.1_prot_WP_000897378.1_1172	lcl|NC_011415.1_prot_WP_000897378.1_1220	lcl|CP000036.1_prot_ABB66483.1_1751	lcl|CP000038.1_prot_AAZ87897.1_1100	lcl|NC_017635.1_prot_WP_000897378.1_1252
9	9	0.858	lcl|AP010960.1_prot_BAI36494.1_2638	lcl|AP010953.1_prot_BAI26113.1_2882	lcl|AP010958.1_prot_BAI31235.1_2453	lcl|CP000800.1_prot_ABV19680.1_2166	lcl|NC_011741.1_prot_WP_001297350.1_2017	lcl|NC_011415.1_prot_WP_001297350.1_2281	lcl|CP000036.1_prot_ABB65845.1_1110	lcl|CP000038.1_prot_AAZ88709.1_1912	lcl|NC_017635.1_prot_WP_001297350.1_2136
9	9	0.857	lcl|AP010960.1_prot_BAI34087.1_86	lcl|AP010953.1_prot_BAI23447.1_86	lcl|AP010958.1_prot_BAI28963.1_85	lcl|CP000800.1_prot_ABV18551.1_84	lcl|NC_011741.1_prot_WP_000625658.1_81	lcl|NC_011415.1_prot_WP_000625658.1_82	lcl|CP000036.1_prot_ABB64806.1_70	lcl|CP000038.1_prot_AAZ86886.1_88	lcl|NC_017635.1_prot_WP_000625658.1_82
9	9	0.857	lcl|AP010960.1_prot_BAI34737.1_772	lcl|AP010953.1_prot_BAI24141.1_816	lcl|AP010958.1_prot_BAI29605.1_750	lcl|CP000800.1_prot_ABV19679.1_747	lcl|NC_011741.1_prot_WP_000891515.1_706	lcl|NC_011415.1_prot_WP_000891515.1_816	lcl|CP000036.1_prot_ABB65301.1_565	lcl|CP000038.1_prot_AAZ87464.1_666	lcl|NC_017635.1_prot_WP_000891515.1_800
9	9	0.857	lcl|AP010960.1_prot_BAI35480.1_1553	lcl|AP010953.1_prot_BAI25037.1_1738	lcl|AP010958.1_prot_BAI30161.1_1327	lcl|CP000800.1_prot_ABV18407.1_1308	lcl|NC_011741.1_prot_WP_000918073.1_1212	lcl|NC_011415.1_prot_WP_000918073.1_1262	lcl|CP000036.1_prot_ABB66442.1_1710	lcl|CP000038.1_prot_AAZ88622.1_1825	lcl|NC_017635.1_prot_WP_000918073.1_1294
9	9	0.857	lcl|AP010960.1_prot_BAI36395.1_2533	lcl|AP010953.1_prot_BAI26077.1_2838	lcl|AP010958.1_prot_BAI30994.1_2202	lcl|CP000800.1_prot_ABV19049.1_2084	lcl|NC_011741.1_prot_WP_000103987.1_1984	lcl|NC_011415.1_prot_WP_000103987.1_2185	lcl|CP000036.1_prot_ABB65707.1_972	lcl|CP000038.1_prot_AAZ88675.1_1878	lcl|NC_017635.1_prot_WP_000103987.1_2104
9	9	0.857	lcl|AP010960.1_prot_BAI36414.1_2552	lcl|AP010953.1_prot_BAI26093.1_2857	lcl|AP010958.1_prot_BAI31013.1_2221	lcl|CP000800.1_prot_ABV20884.1_2104	lcl|NC_011741.1_prot_WP_001007759.1_2003	lcl|NC_011415.1_prot_WP_001007759.1_2205	lcl|CP000036.1_prot_ABB65688.1_953	lcl|CP000038.1_prot_AAZ88696.1_1899	lcl|NC_017635.1_prot_WP_001007749.1_2123
9	9	0.857	lcl|AP010960.1_prot_BAI36592.1_2744	lcl|AP010953.1_prot_BAI26154.1_2931	lcl|AP010958.1_prot_BAI31275.1_2499	lcl|CP000800.1_prot_ABV19868.1_2202	lcl|NC_011741.1_prot_WP_001317939.1_2036	lcl|NC_011415.1_prot_WP_001317939.1_2300	lcl|CP000036.1_prot_ABB65516.1_780	lcl|CP000038.1_prot_AAZ88747.1_1950	lcl|NC_017635.1_prot_WP_001349967.1_2154
9	9	0.857	lcl|AP010960.1_prot_BAI36626.1_2786	lcl|AP010953.1_prot_BAI26199.1_2976	lcl|AP010958.1_prot_BAI31320.1_2544	lcl|CP000800.1_prot_ABV18835.1_2249	lcl|NC_011741.1_prot_WP_001234767.1_2088	lcl|NC_011415.1_prot_WP_001234767.1_2347	lcl|CP000036.1_prot_ABB65560.1_824	lcl|CP000038.1_prot_AAZ88774.1_1977	lcl|NC_017635.1_prot_WP_001234767.1_2199
9	9	0.857	lcl|AP010960.1_prot_BAI36637.1_2797	lcl|AP010953.1_prot_BAI26208.1_2989	lcl|AP010958.1_prot_BAI31331.1_2555	lcl|CP000800.1_prot_ABV19139.1_2260	lcl|NC_011741.1_prot_WP_000130898.1_2102	lcl|NC_011415.1_prot_WP_000130897.1_2361	lcl|CP000036.1_prot_ABB65570.1_834	lcl|CP000038.1_prot_AAZ88785.1_1988	lcl|NC_017635.1_prot_WP_000130893.1_2214
9	9	0.857	lcl|AP010960.1_prot_BAI36786.1_2955	lcl|AP010953.1_prot_BAI26357.1_3145	lcl|AP010958.1_prot_BAI31465.1_2694	lcl|CP000800.1_prot_ABV16562.1_2402	lcl|NC_011741.1_prot_WP_000876014.1_2238	lcl|NC_011415.1_prot_WP_000875989.1_2497	lcl|CP000036.1_prot_ABB66667.1_1935	lcl|CP000038.1_prot_AAZ88924.1_2127	lcl|NC_017635.1_prot_WP_000876014.1_2394
9	9	0.857	lcl|AP010960.1_prot_BAI37129.1_3318	lcl|AP010953.1_prot_BAI26837.1_3639	lcl|AP010958.1_prot_BAI31922.1_3171	lcl|CP000800.1_prot_ABV17282.1_2748	lcl|NC_011741.1_prot_WP_000178456.1_2629	lcl|NC_011415.1_prot_WP_000178456.1_2896	lcl|CP000036.1_prot_ABB67172.1_2440	lcl|CP000038.1_prot_AAZ89365.1_2568	lcl|NC_017635.1_prot_WP_000178456.1_2792
9	9	0.857	lcl|AP010960.1_prot_BAI37636.1_3854	lcl|AP010953.1_prot_BAI27315.1_4132	lcl|AP010958.1_prot_BAI32429.1_3709	lcl|CP000800.1_prot_ABV20053.1_3323	lcl|NC_011741.1_prot_WP_000105733.1_3062	lcl|NC_011415.1_prot_WP_000105733.1_3319	lcl|CP000036.1_prot_ABB67407.1_2675	lcl|CP000038.1_prot_AAZ89753.1_2956	lcl|NC_017635.1_prot_WP_000105733.1_3247
9	9	0.857	lcl|AP010960.1_prot_BAI38945.1_5230	lcl|AP010953.1_prot_BAI28696.1_5576	lcl|AP010958.1_prot_BAI33831.1_5155	lcl|CP000800.1_prot_ABV18231.1_4720	lcl|NC_011741.1_prot_WP_001272319.1_4366	lcl|NC_011415.1_prot_WP_001272319.1_4621	lcl|CP000036.1_prot_ABB68840.1_4109	lcl|CP000038.1_prot_AAZ90989.1_4192	lcl|NC_017635.1_prot_WP_001272319.1_4627
9	9	0.857	lcl|AP010960.1_prot_BAI38972.1_5260	lcl|AP010953.1_prot_BAI28724.1_5605	lcl|AP010958.1_prot_BAI33933.1_5260	lcl|CP000800.1_prot_ABV21026.1_4751	lcl|NC_011741.1_prot_WP_001219604.1_4396	lcl|NC_011415.1_prot_WP_001219611.1_4651	lcl|CP000036.1_prot_ABB68869.1_4138	lcl|CP000038.1_prot_AAZ91017.1_4220	lcl|NC_017635.1_prot_WP_001219604.1_4656
9	9	0.856	lcl|AP010960.1_prot_BAI34427.1_448	lcl|AP010953.1_prot_BAI23789.1_450	lcl|AP010958.1_prot_BAI29260.1_392	lcl|CP000800.1_prot_ABV21025.1_431	lcl|NC_011741.1_prot_WP_000154044.1_398	lcl|NC_011415.1_prot_WP_000154044.1_438	lcl|CP000036.1_prot_ABB65025.1_289	lcl|CP000038.1_prot_AAZ87171.1_373	lcl|NC_017635.1_prot_WP_000154044.1_485
9	9	0.856	lcl|AP010960.1_prot_BAI34856.1_899	lcl|AP010953.1_prot_BAI24274.1_958	lcl|AP010958.1_prot_BAI29726.1_875	lcl|CP000800.1_prot_ABV20285.1_858	lcl|NC_011741.1_prot_WP_000936043.1_850	lcl|NC_011415.1_prot_WP_000936043.1_890	lcl|CP000036.1_prot_ABB65395.1_659	lcl|CP000038.1_prot_AAZ87560.1_762	lcl|NC_017635.1_prot_WP_000936043.1_874
9	9	0.856	lcl|AP010960.1_prot_BAI35968.1_2095	lcl|AP010953.1_prot_BAI25601.1_2354	lcl|AP010958.1_prot_BAI30575.1_1766	lcl|CP000800.1_prot_ABV20529.1_1745	lcl|NC_011741.1_prot_WP_000217950.1_1645	lcl|NC_011415.1_prot_WP_000217950.1_1748	lcl|CP000036.1_prot_ABB66126.1_1394	lcl|CP000038.1_prot_AAZ88232.1_1435	lcl|NC_017635.1_prot_WP_000217950.1_1773
9	9	0.856	lcl|AP010960.1_prot_BAI36357.1_2494	lcl|AP010953.1_prot_BAI26045.1_2806	lcl|AP010958.1_prot_BAI30962.1_2170	lcl|CP000800.1_prot_ABV17861.1_2048	lcl|NC_011741.1_prot_WP_000611335.1_1951	lcl|NC_011415.1_prot_WP_000611335.1_2147	lcl|CP000036.1_prot_ABB65737.1_1002	lcl|CP000038.1_prot_AAZ87924.1_1127	lcl|NC_017635.1_prot_WP_000611335.1_2066
9	9	0.856	lcl|AP010960.1_prot_BAI36398.1_2536	lcl|AP010953.1_prot_BAI26080.1_2841	lcl|AP010958.1_prot_BAI30997.1_2205	lcl|CP000800.1_prot_ABV20086.1_2087	lcl|NC_011741.1_prot_WP_000491501.1_1987	lcl|NC_011415.1_prot_WP_000491500.1_2188	lcl|CP000036.1_prot_ABB65705.1_970	lcl|CP000038.1_prot_AAZ88678.1_1881	lcl|NC_017635.1_prot_WP_000491505.1_2107
9	9	0.856	lcl|AP010960.1_prot_BAI36487.1_2631	lcl|AP010953.1_prot_BAI26108.1_2876	lcl|AP010958.1_prot_BAI31229.1_2447	lcl|CP000800.1_prot_ABV19213.1_2160	lcl|NC_011741.1_prot_WP_000532912.1_2011	lcl|NC_011415.1_prot_WP_000532923.1_2274	lcl|CP000036.1_prot_ABB65848.1_1113	lcl|CP000038.1_prot_AAZ88704.1_1907	lcl|NC_017635.1_prot_WP_000532912.1_2130
9	9	0.856	lcl|AP010960.1_prot_BAI37137.1_3326	lcl|AP010953.1_prot_BAI26845.1_3647	lcl|AP010958.1_prot_BAI31930.1_3179	lcl|CP000800.1_prot_ABV19885.1_2755	lcl|NC_011741.1_prot_WP_000589828.1_2637	lcl|NC_011415.1_prot_WP_000589828.1_2904	lcl|CP000036.1_prot_ABB67268.1_2536	lcl|CP000038.1_prot_AAZ89379.1_2582	lcl|NC_017635.1_prot_WP_000589828.1_2800
9	9	0.856	lcl|AP010960.1_prot_BAI37139.1_3328	lcl|AP010953.1_prot_BAI26847.1_3649	lcl|AP010958.1_prot_BAI31932.1_3181	lcl|CP000800.1_prot_ABV18301.1_2757	lcl|NC_011741.1_prot_WP_000264777.1_2639	lcl|NC_011415.1_prot_WP_000264777.1_2906	lcl|CP000036.1_prot_ABB67270.1_2538	lcl|CP000038.1_prot_AAZ89381.1_2584	lcl|NC_017635.1_prot_WP_000264777.1_2802
9	9	0.856	lcl|AP010960.1_prot_BAI38132.1_4370	lcl|AP010953.1_prot_BAI28205.1_5051	lcl|AP010958.1_prot_BAI33379.1_4684	lcl|CP000800.1_prot_ABV19897.1_3856	lcl|NC_011741.1_prot_WP_000617478.1_3569	lcl|NC_011415.1_prot_WP_000617478.1_3819	lcl|CP000036.1_prot_ABB68034.1_3302	lcl|CP000038.1_prot_AAZ90382.1_3585	lcl|NC_017635.1_prot_WP_000617478.1_3754
9	9	0.856	lcl|AP010960.1_prot_BAI38947.1_5232	lcl|AP010953.1_prot_BAI28698.1_5578	lcl|AP010958.1_prot_BAI33833.1_5157	lcl|CP000800.1_prot_ABV18839.1_4722	lcl|NC_011741.1_prot_WP_001092465.1_4368	lcl|NC_011415.1_prot_WP_001092461.1_4623	lcl|CP000036.1_prot_ABB68842.1_4111	lcl|CP000038.1_prot_AAZ90991.1_4194	lcl|NC_017635.1_prot_WP_001092465.1_4629
