# Species	Genes	Alg.-Conn.	AC30.fasta	ATCC17978.fasta	ATCC19606.fasta	BJAB0715.fasta	D1279779.fasta	MDR-TJ.fasta	NCGM237.fasta	PKAB07.fasta	TYTH-1.fasta
9	14	0.186	lcl|CP007577.1_prot_AHX66252.1_2586,lcl|CP007577.1_prot_AHX66257.1_2591	lcl|NZ_CP033110.1_prot_WP_000064603.1_1487	lcl|NZ_CP058289.1_prot_WP_002134788.1_898	lcl|NC_021733.1_prot_WP_015451444.1_1182,lcl|NC_021733.1_prot_WP_000064593.1_2418	lcl|NC_020547.2_prot_WP_015451444.1_1046,lcl|NC_020547.2_prot_WP_015451462.1_1184	lcl|NC_017847.1_prot_WP_000064593.1_2639	lcl|NZ_AP013357.1_prot_WP_000064593.1_1165,lcl|NZ_AP013357.1_prot_WP_017725546.1_2723,lcl|NZ_AP013357.1_prot_WP_000064602.1_1560	lcl|CP006963.1_prot_AHJ92613.1_1152	lcl|NC_018706.1_prot_WP_000064593.1_1386
9	14	0.104	lcl|CP007577.1_prot_AHX67146.1_3480	lcl|NZ_CP033110.1_prot_WP_000835157.1_1499	lcl|NZ_CP058289.1_prot_WP_000835166.1_913	lcl|NC_021733.1_prot_WP_000835160.1_1194,lcl|NC_021733.1_prot_WP_000835170.1_2407	lcl|NC_020547.2_prot_WP_000835169.1_1063,lcl|NC_020547.2_prot_WP_000835167.1_1196	lcl|NC_017847.1_prot_WP_000835160.1_2627	lcl|NZ_AP013357.1_prot_WP_000835160.1_1178,lcl|NZ_AP013357.1_prot_WP_000835169.1_2710,lcl|NZ_AP013357.1_prot_WP_000835168.1_1578	lcl|CP006963.1_prot_AHJ92624.1_1163,lcl|CP006963.1_prot_AHJ93666.1_2213	lcl|NC_018706.1_prot_WP_000835160.1_1398
9	13	0.607	lcl|CP007577.1_prot_AHX67154.1_3488	lcl|NZ_CP033110.1_prot_WP_000181031.1_2540	lcl|NZ_CP058289.1_prot_WP_000064475.1_2270	lcl|NC_021733.1_prot_WP_000064463.1_1138	lcl|NC_020547.2_prot_WP_000064476.1_1143,lcl|NC_020547.2_prot_WP_043961180.1_1010	lcl|NC_017847.1_prot_WP_000064463.1_2686	lcl|NZ_AP013357.1_prot_WP_000064463.1_1488,lcl|NZ_AP013357.1_prot_WP_000064463.1_1522,lcl|NZ_AP013357.1_prot_WP_000064463.1_2767,lcl|NZ_AP013357.1_prot_WP_002134806.1_1120	lcl|CP006963.1_prot_AHJ92566.1_1105	lcl|NC_018706.1_prot_WP_000064463.1_1344
9	13	0.417	lcl|CP007577.1_prot_AHX66900.1_3234	lcl|NZ_CP033110.1_prot_WP_049594825.1_1500	lcl|NZ_CP058289.1_prot_WP_005143863.1_914	lcl|NC_021733.1_prot_WP_000598554.1_1195,lcl|NC_021733.1_prot_WP_038346590.1_2406	lcl|NC_020547.2_prot_WP_000590491.1_1197,lcl|NC_020547.2_prot_WP_000590472.1_1064	lcl|NC_017847.1_prot_WP_000598554.1_2626	lcl|NZ_AP013357.1_prot_WP_041114803.1_2709,lcl|NZ_AP013357.1_prot_WP_000598554.1_1179,lcl|NZ_AP013357.1_prot_WP_000590505.1_1579	lcl|CP006963.1_prot_AHJ93665.1_2212	lcl|NC_018706.1_prot_WP_000598554.1_1399
9	11	0.737	lcl|CP007577.1_prot_AHX65438.1_1771	lcl|NZ_CP033110.1_prot_WP_001281781.1_349	lcl|NZ_CP058289.1_prot_WP_001281781.1_143	lcl|NC_021733.1_prot_WP_001281781.1_3430	lcl|NC_020547.2_prot_WP_001281781.1_3090,lcl|NC_020547.2_prot_WP_001281785.1_553	lcl|NC_017847.1_prot_WP_001281781.1_342	lcl|NZ_AP013357.1_prot_WP_041114738.1_359	lcl|CP006963.1_prot_AHJ94758.1_3311,lcl|CP006963.1_prot_AHJ94932.1_3485	lcl|NC_018706.1_prot_WP_001281781.1_3566
9	11	0.716	lcl|CP007577.1_prot_AHX65435.1_1768	lcl|NZ_CP033110.1_prot_WP_000071645.1_352	lcl|NZ_CP058289.1_prot_WP_000071652.1_146	lcl|NC_021733.1_prot_WP_000071644.1_3427	lcl|NC_020547.2_prot_WP_000071643.1_3087,lcl|NC_020547.2_prot_WP_000471477.1_556	lcl|NC_017847.1_prot_WP_000071649.1_345	lcl|NZ_AP013357.1_prot_WP_000071649.1_362	lcl|CP006963.1_prot_AHJ94755.1_3308,lcl|CP006963.1_prot_AHJ94929.1_3482	lcl|NC_018706.1_prot_WP_000071649.1_3563
9	11	0.652	lcl|CP007577.1_prot_AHX64587.1_920	lcl|NZ_CP033110.1_prot_WP_000051228.1_3494	lcl|NZ_CP058289.1_prot_WP_000051228.1_3254	lcl|NC_021733.1_prot_WP_000051228.1_162	lcl|NC_020547.2_prot_WP_000051228.1_130	lcl|NC_017847.1_prot_WP_000051228.1_3568	lcl|NZ_AP013357.1_prot_WP_000051231.1_3691	lcl|CP006963.1_prot_AHJ91621.1_153	lcl|NC_018706.1_prot_WP_000051231.1_1857,lcl|NC_018706.1_prot_WP_000051231.1_351,lcl|NC_018706.1_prot_WP_000051231.1_361
9	11	0.651	lcl|CP007577.1_prot_AHX64591.1_924	lcl|NZ_CP033110.1_prot_WP_000256268.1_3498	lcl|NZ_CP058289.1_prot_WP_000256265.1_3258	lcl|NC_021733.1_prot_WP_020752700.1_158	lcl|NC_020547.2_prot_WP_000256264.1_126	lcl|NC_017847.1_prot_WP_000256264.1_3572	lcl|NZ_AP013357.1_prot_WP_000256275.1_3695	lcl|CP006963.1_prot_AHJ91617.1_149	lcl|NC_018706.1_prot_WP_000256275.1_1853,lcl|NC_018706.1_prot_WP_000256275.1_347,lcl|NC_018706.1_prot_WP_000256275.1_365
9	11	0.648	lcl|CP007577.1_prot_AHX64589.1_922	lcl|NZ_CP033110.1_prot_WP_000369410.1_3496	lcl|NZ_CP058289.1_prot_WP_000369415.1_3256	lcl|NC_021733.1_prot_WP_020752702.1_160	lcl|NC_020547.2_prot_WP_000369421.1_128	lcl|NC_017847.1_prot_WP_000369421.1_3570	lcl|NZ_AP013357.1_prot_WP_000369418.1_3693	lcl|CP006963.1_prot_AHJ91619.1_151	lcl|NC_018706.1_prot_WP_000369418.1_1855,lcl|NC_018706.1_prot_WP_000369418.1_349,lcl|NC_018706.1_prot_WP_000369418.1_363
9	11	0.648	lcl|CP007577.1_prot_AHX64590.1_923	lcl|NZ_CP033110.1_prot_WP_000191717.1_3497	lcl|NZ_CP058289.1_prot_WP_000191725.1_3257	lcl|NC_021733.1_prot_WP_020752701.1_159	lcl|NC_020547.2_prot_WP_000191710.1_127	lcl|NC_017847.1_prot_WP_000191710.1_3571	lcl|NZ_AP013357.1_prot_WP_000191723.1_3694	lcl|CP006963.1_prot_AHJ91618.1_150	lcl|NC_018706.1_prot_WP_000191723.1_1854,lcl|NC_018706.1_prot_WP_000191723.1_348,lcl|NC_018706.1_prot_WP_000191723.1_364
9	11	0.642	lcl|CP007577.1_prot_AHX64588.1_921	lcl|NZ_CP033110.1_prot_WP_001279798.1_3495	lcl|NZ_CP058289.1_prot_WP_001286027.1_3255	lcl|NC_021733.1_prot_WP_020752703.1_161	lcl|NC_020547.2_prot_WP_001286034.1_129	lcl|NC_017847.1_prot_WP_001286034.1_3569	lcl|NZ_AP013357.1_prot_WP_001286029.1_3692	lcl|CP006963.1_prot_AHJ91620.1_152	lcl|NC_018706.1_prot_WP_001286029.1_1856,lcl|NC_018706.1_prot_WP_001286029.1_350,lcl|NC_018706.1_prot_WP_001286029.1_362
9	11	0.124	lcl|CP007577.1_prot_AHX66253.1_2587	lcl|NZ_CP033110.1_prot_WP_000002414.1_1488	lcl|NZ_CP058289.1_prot_WP_000002408.1_899	lcl|NC_021733.1_prot_WP_000002408.1_2417,lcl|NC_021733.1_prot_WP_020752911.1_1183	lcl|NC_020547.2_prot_WP_015451445.1_1047,lcl|NC_020547.2_prot_WP_015451463.1_1185	lcl|NC_017847.1_prot_WP_000002408.1_2638	lcl|NZ_AP013357.1_prot_WP_000002408.1_1166	lcl|CP006963.1_prot_AHJ92614.1_1153	lcl|NC_018706.1_prot_WP_000002408.1_1387
9	11	0.118	lcl|CP007577.1_prot_AHX66503.1_2837	lcl|NZ_CP033110.1_prot_WP_000042000.1_1278	lcl|NZ_CP058289.1_prot_WP_000042009.1_1044	lcl|NC_021733.1_prot_WP_038346677.1_2547	lcl|NC_020547.2_prot_WP_000042001.1_2250	lcl|NC_017847.1_prot_WP_000042002.1_1254,lcl|NC_017847.1_prot_WP_000089890.1_1056	lcl|NZ_AP013357.1_prot_WP_000089890.1_1064	lcl|CP006963.1_prot_AHJ94060.1_2610	lcl|NC_018706.1_prot_WP_000042002.1_2672,lcl|NC_018706.1_prot_WP_000089890.1_2871
9	10	0.753	lcl|CP007577.1_prot_AHX65506.1_1839	lcl|NZ_CP033110.1_prot_WP_001988040.1_280	lcl|NZ_CP058289.1_prot_WP_002135158.1_73	lcl|NC_021733.1_prot_WP_001988040.1_3500	lcl|NC_020547.2_prot_WP_001981590.1_3160	lcl|NC_017847.1_prot_WP_001988040.1_272	lcl|NZ_AP013357.1_prot_WP_000820793.1_286	lcl|CP006963.1_prot_AHJ94826.1_3379,lcl|CP006963.1_prot_AHJ95001.1_3554	lcl|NC_018706.1_prot_WP_001988040.1_3636
9	10	0.752	lcl|CP007577.1_prot_AHX65701.1_2035	lcl|NZ_CP033110.1_prot_WP_000849088.1_424	lcl|NZ_CP058289.1_prot_WP_000849088.1_215	lcl|NC_021733.1_prot_WP_000849088.1_3355	lcl|NC_020547.2_prot_WP_000849088.1_3017	lcl|NC_017847.1_prot_WP_000849088.1_415	lcl|NZ_AP013357.1_prot_WP_000849088.1_432	lcl|CP006963.1_prot_AHJ94685.1_3238,lcl|CP006963.1_prot_AHJ94859.1_3412	lcl|NC_018706.1_prot_WP_000849088.1_3493
9	10	0.752	lcl|CP007577.1_prot_AHX65711.1_2045	lcl|NZ_CP033110.1_prot_WP_000849928.1_414	lcl|NZ_CP058289.1_prot_WP_000849928.1_205	lcl|NC_021733.1_prot_WP_000849927.1_3365	lcl|NC_020547.2_prot_WP_000849928.1_3027	lcl|NC_017847.1_prot_WP_000849928.1_405	lcl|NZ_AP013357.1_prot_WP_000849928.1_422	lcl|CP006963.1_prot_AHJ94695.1_3248,lcl|CP006963.1_prot_AHJ94869.1_3422	lcl|NC_018706.1_prot_WP_000849928.1_3503
9	10	0.751	lcl|CP007577.1_prot_AHX65388.1_1721	lcl|NZ_CP033110.1_prot_WP_001200011.1_274	lcl|NZ_CP058289.1_prot_WP_001200011.1_67	lcl|NC_021733.1_prot_WP_001200011.1_3506	lcl|NC_020547.2_prot_WP_001200011.1_3166	lcl|NC_017847.1_prot_WP_001200011.1_266	lcl|NZ_AP013357.1_prot_WP_001200011.1_280	lcl|CP006963.1_prot_AHJ94833.1_3386,lcl|CP006963.1_prot_AHJ95008.1_3561	lcl|NC_018706.1_prot_WP_001200011.1_3642
9	10	0.751	lcl|CP007577.1_prot_AHX65462.1_1795	lcl|NZ_CP033110.1_prot_WP_085943440.1_325	lcl|NZ_CP058289.1_prot_WP_085916958.1_119	lcl|NC_021733.1_prot_WP_085916958.1_3454	lcl|NC_020547.2_prot_WP_104133477.1_3114	lcl|NC_017847.1_prot_WP_085916958.1_318	lcl|NZ_AP013357.1_prot_WP_085916958.1_333	lcl|CP006963.1_prot_AHJ94783.1_3336,lcl|CP006963.1_prot_AHJ94957.1_3510	lcl|NC_018706.1_prot_WP_085916958.1_3590
9	10	0.75	lcl|CP007577.1_prot_AHX65498.1_1831	lcl|NZ_CP033110.1_prot_WP_002019666.1_288	lcl|NZ_CP058289.1_prot_WP_001990541.1_81	lcl|NC_021733.1_prot_WP_002019666.1_3492	lcl|NC_020547.2_prot_WP_001990541.1_3152	lcl|NC_017847.1_prot_WP_002019666.1_280	lcl|NZ_AP013357.1_prot_WP_002022249.1_294	lcl|CP006963.1_prot_AHJ94818.1_3371,lcl|CP006963.1_prot_AHJ94993.1_3546	lcl|NC_018706.1_prot_WP_002019666.1_3628
9	10	0.75	lcl|CP007577.1_prot_AHX65501.1_1834	lcl|NZ_CP033110.1_prot_WP_000557503.1_285	lcl|NZ_CP058289.1_prot_WP_000557502.1_78	lcl|NC_021733.1_prot_WP_020753502.1_3495	lcl|NC_020547.2_prot_WP_000557510.1_3155	lcl|NC_017847.1_prot_WP_000557492.1_277	lcl|NZ_AP013357.1_prot_WP_000557517.1_291	lcl|CP006963.1_prot_AHJ94821.1_3374,lcl|CP006963.1_prot_AHJ94996.1_3549	lcl|NC_018706.1_prot_WP_000557492.1_3631
9	10	0.75	lcl|CP007577.1_prot_AHX65699.1_2033	lcl|NZ_CP033110.1_prot_WP_002000592.1_426	lcl|NZ_CP058289.1_prot_WP_002000592.1_217	lcl|NC_021733.1_prot_WP_171068464.1_3353	lcl|NC_020547.2_prot_WP_002000592.1_3015	lcl|NC_017847.1_prot_WP_002000592.1_417	lcl|NZ_AP013357.1_prot_WP_002000592.1_434	lcl|CP006963.1_prot_AHJ94683.1_3236,lcl|CP006963.1_prot_AHJ94857.1_3410	lcl|NC_018706.1_prot_WP_002000592.1_3491
9	10	0.75	lcl|CP007577.1_prot_AHX65705.1_2039	lcl|NZ_CP033110.1_prot_WP_000062616.1_420	lcl|NZ_CP058289.1_prot_WP_000062616.1_211	lcl|NC_021733.1_prot_WP_000062616.1_3359	lcl|NC_020547.2_prot_WP_000062616.1_3021	lcl|NC_017847.1_prot_WP_000062616.1_411	lcl|NZ_AP013357.1_prot_WP_000062616.1_428	lcl|CP006963.1_prot_AHJ94689.1_3242,lcl|CP006963.1_prot_AHJ94863.1_3416	lcl|NC_018706.1_prot_WP_000062616.1_3497
9	10	0.75	lcl|CP007577.1_prot_AHX65720.1_2054	lcl|NZ_CP033110.1_prot_WP_000070912.1_405	lcl|NZ_CP058289.1_prot_WP_000070912.1_196	lcl|NC_021733.1_prot_WP_000070912.1_3374	lcl|NC_020547.2_prot_WP_000070912.1_3036	lcl|NC_017847.1_prot_WP_000070912.1_396	lcl|NZ_AP013357.1_prot_WP_000070912.1_413	lcl|CP006963.1_prot_AHJ94704.1_3257,lcl|CP006963.1_prot_AHJ94878.1_3431	lcl|NC_018706.1_prot_WP_000070912.1_3512
9	10	0.749	lcl|CP007577.1_prot_AHX63865.1_198	lcl|NZ_CP033110.1_prot_WP_000357090.1_1032	lcl|NZ_CP058289.1_prot_WP_000357090.1_734	lcl|NC_021733.1_prot_WP_000357090.1_2795	lcl|NC_020547.2_prot_WP_000357090.1_2494	lcl|NC_017847.1_prot_WP_000357090.1_1004	lcl|NZ_AP013357.1_prot_WP_000357090.1_955	lcl|CP006963.1_prot_AHJ94113.1_2663,lcl|CP006963.1_prot_AHJ94174.1_2725	lcl|NC_018706.1_prot_WP_000357090.1_2961
9	10	0.749	lcl|CP007577.1_prot_AHX65389.1_1722	lcl|NZ_CP033110.1_prot_WP_000508762.1_273	lcl|NZ_CP058289.1_prot_WP_000508757.1_66	lcl|NC_021733.1_prot_WP_020753505.1_3507	lcl|NC_020547.2_prot_WP_000508762.1_3167	lcl|NC_017847.1_prot_WP_000508762.1_265	lcl|NZ_AP013357.1_prot_WP_000508760.1_279	lcl|CP006963.1_prot_AHJ94834.1_3387,lcl|CP006963.1_prot_AHJ95009.1_3562	lcl|NC_018706.1_prot_WP_000508762.1_3643
9	10	0.749	lcl|CP007577.1_prot_AHX65429.1_1762	lcl|NZ_CP033110.1_prot_WP_001088069.1_358	lcl|NZ_CP058289.1_prot_WP_001088069.1_152	lcl|NC_021733.1_prot_WP_001088069.1_3421	lcl|NC_020547.2_prot_WP_001088069.1_3081	lcl|NC_017847.1_prot_WP_001088069.1_351	lcl|NZ_AP013357.1_prot_WP_001088069.1_368	lcl|CP006963.1_prot_AHJ94749.1_3302,lcl|CP006963.1_prot_AHJ94923.1_3476	lcl|NC_018706.1_prot_WP_001088069.1_3557
9	10	0.749	lcl|CP007577.1_prot_AHX65489.1_1822	lcl|NZ_CP033110.1_prot_WP_000218805.1_297	lcl|NZ_CP058289.1_prot_WP_000218797.1_90	lcl|NC_021733.1_prot_WP_020753498.1_3483	lcl|NC_020547.2_prot_WP_000218807.1_3143	lcl|NC_017847.1_prot_WP_000218802.1_289	lcl|NZ_AP013357.1_prot_WP_000218808.1_303	lcl|CP006963.1_prot_AHJ94809.1_3362,lcl|CP006963.1_prot_AHJ94984.1_3537	lcl|NC_018706.1_prot_WP_000218802.1_3619
9	10	0.749	lcl|CP007577.1_prot_AHX65497.1_1830	lcl|NZ_CP033110.1_prot_WP_000736677.1_289	lcl|NZ_CP058289.1_prot_WP_000736672.1_82	lcl|NC_021733.1_prot_WP_000736683.1_3491	lcl|NC_020547.2_prot_WP_000736674.1_3151	lcl|NC_017847.1_prot_WP_000736677.1_281	lcl|NZ_AP013357.1_prot_WP_041114734.1_295	lcl|CP006963.1_prot_AHJ94817.1_3370,lcl|CP006963.1_prot_AHJ94992.1_3545	lcl|NC_018706.1_prot_WP_000736677.1_3627
9	10	0.749	lcl|CP007577.1_prot_AHX65504.1_1837	lcl|NZ_CP033110.1_prot_WP_000842465.1_282	lcl|NZ_CP058289.1_prot_WP_000842465.1_75	lcl|NC_021733.1_prot_WP_000842465.1_3498	lcl|NC_020547.2_prot_WP_000842465.1_3158	lcl|NC_017847.1_prot_WP_000842465.1_274	lcl|NZ_AP013357.1_prot_WP_000842465.1_288	lcl|CP006963.1_prot_AHJ94824.1_3377,lcl|CP006963.1_prot_AHJ94999.1_3552	lcl|NC_018706.1_prot_WP_000842465.1_3634
9	10	0.749	lcl|CP007577.1_prot_AHX65703.1_2037	lcl|NZ_CP033110.1_prot_WP_001003194.1_422	lcl|NZ_CP058289.1_prot_WP_001003194.1_213	lcl|NC_021733.1_prot_WP_001003194.1_3357	lcl|NC_020547.2_prot_WP_001003194.1_3019	lcl|NC_017847.1_prot_WP_001003194.1_413	lcl|NZ_AP013357.1_prot_WP_001003194.1_430	lcl|CP006963.1_prot_AHJ94687.1_3240,lcl|CP006963.1_prot_AHJ94861.1_3414	lcl|NC_018706.1_prot_WP_001003194.1_3495
