# Species	Genes	Alg.-Conn.	A:5291.fasta	B_TZ1A828_OT.fasta	E:SW3.fasta	F:SW5.fasta	G:11222.fasta	L1:115.fasta	L1:440:LN.fasta	L2b:UCH-2.fasta
8	8	0.996	lcl|NC_020939.1_prot_WP_009871772.1_429	lcl|NC_012687.1_prot_WP_009871772.1_431	lcl|NC_017952.1_prot_WP_009871772.1_432	lcl|NC_017953.1_prot_WP_009871772.1_433	lcl|CP001888.1_prot_ADH19038.1_430	lcl|NC_020929.1_prot_WP_009871772.1_428	lcl|NC_020937.1_prot_WP_009871772.1_428	lcl|NC_020931.1_prot_WP_009871772.1_428
8	8	0.996	lcl|NC_020939.1_prot_WP_009872081.1_725	lcl|NC_012687.1_prot_WP_009872081.1_727	lcl|NC_017952.1_prot_WP_009872081.1_727	lcl|NC_017953.1_prot_WP_009872081.1_728	lcl|CP001888.1_prot_ADH19349.1_741	lcl|NC_020929.1_prot_WP_009872081.1_724	lcl|NC_020937.1_prot_WP_009872081.1_723	lcl|NC_020931.1_prot_WP_009872081.1_724
8	8	0.996	lcl|NC_020939.1_prot_WP_009872132.1_771	lcl|NC_012687.1_prot_WP_009872132.1_774	lcl|NC_017952.1_prot_WP_009872132.1_773	lcl|NC_017953.1_prot_WP_009872132.1_774	lcl|CP001888.1_prot_ADH19400.1_792	lcl|NC_020929.1_prot_WP_009873381.1_770	lcl|NC_020937.1_prot_WP_009873381.1_769	lcl|NC_020931.1_prot_WP_009873381.1_770
8	8	0.996	lcl|NC_020939.1_prot_WP_009873649.1_221	lcl|NC_012687.1_prot_WP_009873649.1_223	lcl|NC_017952.1_prot_WP_009871566.1_223	lcl|NC_017953.1_prot_WP_009871566.1_224	lcl|CP001888.1_prot_ADH18829.1_221	lcl|NC_020929.1_prot_WP_009873649.1_221	lcl|NC_020937.1_prot_WP_009873649.1_220	lcl|NC_020931.1_prot_WP_009873649.1_221
8	8	0.996	lcl|NC_020939.1_prot_WP_011324876.1_829	lcl|NC_012687.1_prot_WP_011324876.1_832	lcl|NC_017952.1_prot_WP_009872945.1_831	lcl|NC_017953.1_prot_WP_009872945.1_832	lcl|CP001888.1_prot_ADH19461.1_853	lcl|NC_020929.1_prot_WP_009873419.1_828	lcl|NC_020937.1_prot_WP_009873419.1_827	lcl|NC_020931.1_prot_WP_009873419.1_828
8	8	0.996	lcl|NC_020939.1_prot_WP_012727855.1_239	lcl|NC_012687.1_prot_WP_012727855.1_241	lcl|NC_017952.1_prot_WP_009872488.1_241	lcl|NC_017953.1_prot_WP_009872488.1_242	lcl|CP001888.1_prot_ADH18847.1_239	lcl|NC_020929.1_prot_WP_009872488.1_239	lcl|NC_020937.1_prot_WP_009872488.1_238	lcl|NC_020931.1_prot_WP_009872488.1_239
8	8	0.996	lcl|NC_020939.1_prot_WP_012727879.1_332	lcl|NC_012687.1_prot_WP_012727879.1_334	lcl|NC_017952.1_prot_WP_009873107.1_335	lcl|NC_017953.1_prot_WP_009873107.1_336	lcl|CP001888.1_prot_ADH18941.1_333	lcl|NC_020929.1_prot_WP_009873730.1_331	lcl|NC_020937.1_prot_WP_009873730.1_331	lcl|NC_020931.1_prot_WP_009873730.1_331
8	8	0.996	lcl|NC_020939.1_prot_WP_012728038.1_55	lcl|NC_012687.1_prot_WP_012728038.1_55	lcl|NC_017952.1_prot_WP_009872349.1_55	lcl|NC_017953.1_prot_WP_009872349.1_55	lcl|CP001888.1_prot_ADH18664.1_56	lcl|NC_020929.1_prot_WP_009872349.1_55	lcl|NC_020937.1_prot_WP_009872349.1_55	lcl|NC_020931.1_prot_WP_009872349.1_55
8	8	0.996	lcl|NC_020939.1_prot_WP_012728138.1_497	lcl|NC_012687.1_prot_WP_012728138.1_499	lcl|NC_017952.1_prot_WP_009872695.1_500	lcl|NC_017953.1_prot_WP_009872695.1_501	lcl|CP001888.1_prot_ADH19110.1_502	lcl|NC_020929.1_prot_WP_009873846.1_496	lcl|NC_020937.1_prot_WP_009873846.1_496	lcl|NC_020931.1_prot_WP_009873846.1_496
8	8	0.996	lcl|NC_020939.1_prot_WP_014316018.1_346	lcl|NC_012687.1_prot_WP_012728110.1_348	lcl|NC_017952.1_prot_WP_009871691.1_349	lcl|NC_017953.1_prot_WP_009871691.1_350	lcl|CP001888.1_prot_ADH18955.1_347	lcl|NC_020929.1_prot_WP_009873739.1_345	lcl|NC_020937.1_prot_WP_009873739.1_345	lcl|NC_020931.1_prot_WP_009873739.1_345
8	8	0.995	lcl|NC_020939.1_prot_WP_009871607.1_262	lcl|NC_012687.1_prot_WP_009871607.1_264	lcl|NC_017952.1_prot_WP_009871607.1_264	lcl|NC_017953.1_prot_WP_009871607.1_265	lcl|CP001888.1_prot_ADH18871.1_263	lcl|NC_020929.1_prot_WP_009871607.1_262	lcl|NC_020937.1_prot_WP_009871607.1_261	lcl|NC_020931.1_prot_WP_009871607.1_262
8	8	0.995	lcl|NC_020939.1_prot_WP_009871608.1_263	lcl|NC_012687.1_prot_WP_009871608.1_265	lcl|NC_017952.1_prot_WP_009871608.1_265	lcl|NC_017953.1_prot_WP_009871608.1_266	lcl|CP001888.1_prot_ADH18872.1_264	lcl|NC_020929.1_prot_WP_009871608.1_263	lcl|NC_020937.1_prot_WP_009871608.1_262	lcl|NC_020931.1_prot_WP_009871608.1_263
8	8	0.995	lcl|NC_020939.1_prot_WP_009871631.1_286	lcl|NC_012687.1_prot_WP_009871631.1_288	lcl|NC_017952.1_prot_WP_009871631.1_288	lcl|NC_017953.1_prot_WP_009871631.1_289	lcl|CP001888.1_prot_ADH18895.1_287	lcl|NC_020929.1_prot_WP_009871631.1_286	lcl|NC_020937.1_prot_WP_009871631.1_285	lcl|NC_020931.1_prot_WP_009871631.1_286
8	8	0.995	lcl|NC_020939.1_prot_WP_009871647.1_301	lcl|NC_012687.1_prot_WP_009871647.1_303	lcl|NC_017952.1_prot_WP_009872538.1_303	lcl|NC_017953.1_prot_WP_009871647.1_304	lcl|CP001888.1_prot_ADH18911.1_303	lcl|NC_020929.1_prot_WP_009871647.1_301	lcl|NC_020937.1_prot_WP_009871647.1_300	lcl|NC_020931.1_prot_WP_009871647.1_301
8	8	0.995	lcl|NC_020939.1_prot_WP_009871708.1_363	lcl|NC_012687.1_prot_WP_009871708.1_365	lcl|NC_017952.1_prot_WP_009871708.1_366	lcl|NC_017953.1_prot_WP_009871708.1_367	lcl|CP001888.1_prot_ADH18972.1_364	lcl|NC_020929.1_prot_WP_009871708.1_362	lcl|NC_020937.1_prot_WP_009871708.1_362	lcl|NC_020931.1_prot_WP_009871708.1_362
8	8	0.995	lcl|NC_020939.1_prot_WP_009871863.1_515	lcl|NC_012687.1_prot_WP_009871863.1_517	lcl|NC_017952.1_prot_WP_009871863.1_518	lcl|NC_017953.1_prot_WP_009871863.1_519	lcl|CP001888.1_prot_ADH19130.1_522	lcl|NC_020929.1_prot_WP_009871863.1_514	lcl|NC_020937.1_prot_WP_009871863.1_514	lcl|NC_020931.1_prot_WP_009871863.1_514
8	8	0.995	lcl|NC_020939.1_prot_WP_009871866.1_518	lcl|NC_012687.1_prot_WP_009871866.1_520	lcl|NC_017952.1_prot_WP_009871866.1_521	lcl|NC_017953.1_prot_WP_009871866.1_522	lcl|CP001888.1_prot_ADH19133.1_525	lcl|NC_020929.1_prot_WP_009871866.1_517	lcl|NC_020937.1_prot_WP_009871866.1_517	lcl|NC_020931.1_prot_WP_009871866.1_517
8	8	0.995	lcl|NC_020939.1_prot_WP_009871948.1_598	lcl|NC_012687.1_prot_WP_009871948.1_600	lcl|NC_017952.1_prot_WP_009872766.1_601	lcl|NC_017953.1_prot_WP_009872766.1_602	lcl|CP001888.1_prot_ADH19215.1_607	lcl|NC_020929.1_prot_WP_009871948.1_597	lcl|NC_020937.1_prot_WP_009871948.1_597	lcl|NC_020931.1_prot_WP_009871948.1_597
8	8	0.995	lcl|NC_020939.1_prot_WP_009871967.1_617	lcl|NC_012687.1_prot_WP_009871967.1_619	lcl|NC_017952.1_prot_WP_009871967.1_619	lcl|NC_017953.1_prot_WP_009871967.1_620	lcl|CP001888.1_prot_ADH19233.1_625	lcl|NC_020929.1_prot_WP_009871967.1_616	lcl|NC_020937.1_prot_WP_009871967.1_615	lcl|NC_020931.1_prot_WP_009871967.1_616
8	8	0.995	lcl|NC_020939.1_prot_WP_009871983.1_633	lcl|NC_012687.1_prot_WP_012728162.1_635	lcl|NC_017952.1_prot_WP_009871983.1_635	lcl|NC_017953.1_prot_WP_009871983.1_636	lcl|CP001888.1_prot_ADH19249.1_641	lcl|NC_020929.1_prot_WP_009871983.1_632	lcl|NC_020937.1_prot_WP_009871983.1_631	lcl|NC_020931.1_prot_WP_009871983.1_632
8	8	0.995	lcl|NC_020939.1_prot_WP_009872072.1_716	lcl|NC_012687.1_prot_WP_009872072.1_718	lcl|NC_017952.1_prot_WP_009872072.1_718	lcl|NC_017953.1_prot_WP_009872072.1_719	lcl|CP001888.1_prot_ADH19340.1_732	lcl|NC_020929.1_prot_WP_009872072.1_715	lcl|NC_020937.1_prot_WP_009872072.1_714	lcl|NC_020931.1_prot_WP_009872072.1_715
8	8	0.995	lcl|NC_020939.1_prot_WP_009872114.1_756	lcl|NC_012687.1_prot_WP_009872114.1_758	lcl|NC_017952.1_prot_WP_009872114.1_758	lcl|NC_017953.1_prot_WP_009872114.1_759	lcl|CP001888.1_prot_ADH19382.1_774	lcl|NC_020929.1_prot_WP_009872114.1_755	lcl|NC_020937.1_prot_WP_009872114.1_754	lcl|NC_020931.1_prot_WP_009872114.1_755
8	8	0.995	lcl|NC_020939.1_prot_WP_009872152.1_791	lcl|NC_012687.1_prot_WP_009872152.1_794	lcl|NC_017952.1_prot_WP_009872152.1_793	lcl|NC_017953.1_prot_WP_009872152.1_794	lcl|CP001888.1_prot_ADH19420.1_812	lcl|NC_020929.1_prot_WP_009872152.1_790	lcl|NC_020937.1_prot_WP_009872152.1_789	lcl|NC_020931.1_prot_WP_009872152.1_790
8	8	0.995	lcl|NC_020939.1_prot_WP_009872184.1_822	lcl|NC_012687.1_prot_WP_009872184.1_825	lcl|NC_017952.1_prot_WP_009872184.1_824	lcl|NC_017953.1_prot_WP_009872184.1_825	lcl|CP001888.1_prot_ADH19454.1_846	lcl|NC_020929.1_prot_WP_009872184.1_821	lcl|NC_020937.1_prot_WP_009872184.1_820	lcl|NC_020931.1_prot_WP_009872184.1_821
8	8	0.995	lcl|NC_020939.1_prot_WP_009872956.1_842	lcl|NC_012687.1_prot_WP_009872956.1_845	lcl|NC_017952.1_prot_WP_009872956.1_844	lcl|NC_017953.1_prot_WP_009872956.1_845	lcl|CP001888.1_prot_ADH19475.1_867	lcl|NC_020929.1_prot_WP_009872956.1_841	lcl|NC_020937.1_prot_WP_009872956.1_840	lcl|NC_020931.1_prot_WP_009872956.1_841
8	8	0.995	lcl|NC_020939.1_prot_WP_009873324.1_740	lcl|NC_012687.1_prot_WP_009873324.1_742	lcl|NC_017952.1_prot_WP_009872877.1_742	lcl|NC_017953.1_prot_WP_009872877.1_743	lcl|CP001888.1_prot_ADH19365.1_757	lcl|NC_020929.1_prot_WP_009873324.1_739	lcl|NC_020937.1_prot_WP_009873324.1_738	lcl|NC_020931.1_prot_WP_009873324.1_739
8	8	0.995	lcl|NC_020939.1_prot_WP_011324573.1_112	lcl|NC_012687.1_prot_WP_011324573.1_112	lcl|NC_017952.1_prot_WP_009871457.1_112	lcl|NC_017953.1_prot_WP_009871457.1_112	lcl|CP001888.1_prot_ADH18719.1_111	lcl|NC_020929.1_prot_WP_009873565.1_112	lcl|NC_020937.1_prot_WP_009873565.1_112	lcl|NC_020931.1_prot_WP_009873565.1_112
8	8	0.995	lcl|NC_020939.1_prot_WP_011324575.1_115	lcl|NC_012687.1_prot_WP_011324575.1_116	lcl|NC_017952.1_prot_WP_009871460.1_115	lcl|NC_017953.1_prot_WP_009871460.1_115	lcl|CP001888.1_prot_ADH18722.1_114	lcl|NC_020929.1_prot_WP_012263598.1_115	lcl|NC_020937.1_prot_WP_012263598.1_115	lcl|NC_020931.1_prot_WP_012263598.1_115
8	8	0.995	lcl|NC_020939.1_prot_WP_011324589.1_140	lcl|NC_012687.1_prot_WP_011324589.1_141	lcl|NC_017952.1_prot_WP_009872404.1_140	lcl|NC_017953.1_prot_WP_009872404.1_140	lcl|CP001888.1_prot_ADH18747.1_139	lcl|NC_020929.1_prot_WP_009873588.1_140	lcl|NC_020937.1_prot_WP_009873588.1_140	lcl|NC_020931.1_prot_WP_009873588.1_140
8	8	0.995	lcl|NC_020939.1_prot_WP_011324645.1_217	lcl|NC_012687.1_prot_WP_011324645.1_219	lcl|NC_017952.1_prot_WP_009873075.1_219	lcl|NC_017953.1_prot_WP_009873075.1_220	lcl|CP001888.1_prot_ADH18825.1_217	lcl|NC_020929.1_prot_WP_009872471.1_217	lcl|NC_020937.1_prot_WP_009872471.1_216	lcl|NC_020931.1_prot_WP_009872471.1_217
8	8	0.995	lcl|NC_020939.1_prot_WP_012728150.1_561	lcl|NC_012687.1_prot_WP_012728150.1_563	lcl|NC_017952.1_prot_WP_009872739.1_564	lcl|NC_017953.1_prot_WP_009872739.1_565	lcl|CP001888.1_prot_ADH19176.1_568	lcl|NC_020929.1_prot_WP_009873889.1_560	lcl|NC_020937.1_prot_WP_009873889.1_560	lcl|NC_020931.1_prot_WP_009873889.1_560
8	8	0.995	lcl|NC_020939.1_prot_WP_014541646.1_492	lcl|NC_012687.1_prot_WP_014541646.1_494	lcl|NC_017952.1_prot_WP_009871838.1_495	lcl|NC_017953.1_prot_WP_009871838.1_496	lcl|CP001888.1_prot_ADH19105.1_497	lcl|NC_020929.1_prot_WP_009872692.1_491	lcl|NC_020937.1_prot_WP_009872692.1_491	lcl|NC_020931.1_prot_WP_009872692.1_491
8	8	0.994	lcl|NC_020939.1_prot_WP_009871355.1_10	lcl|NC_012687.1_prot_WP_009871355.1_10	lcl|NC_017952.1_prot_WP_009871355.1_10	lcl|NC_017953.1_prot_WP_009871355.1_10	lcl|CP001888.1_prot_ADH18618.1_10	lcl|NC_020929.1_prot_WP_009871355.1_10	lcl|NC_020937.1_prot_WP_009871355.1_10	lcl|NC_020931.1_prot_WP_009871355.1_10
8	8	0.994	lcl|NC_020939.1_prot_WP_009871356.1_11	lcl|NC_012687.1_prot_WP_009871356.1_11	lcl|NC_017952.1_prot_WP_010724981.1_11	lcl|NC_017953.1_prot_WP_009872310.1_11	lcl|CP001888.1_prot_ADH18619.1_11	lcl|NC_020929.1_prot_WP_009872310.1_11	lcl|NC_020937.1_prot_WP_009872310.1_11	lcl|NC_020931.1_prot_WP_009872310.1_11
8	8	0.994	lcl|NC_020939.1_prot_WP_009871377.1_31	lcl|NC_012687.1_prot_WP_009871377.1_31	lcl|NC_017952.1_prot_WP_009872328.1_31	lcl|NC_017953.1_prot_WP_009872328.1_31	lcl|CP001888.1_prot_ADH18640.1_32	lcl|NC_020929.1_prot_WP_009871377.1_31	lcl|NC_020937.1_prot_WP_009871377.1_31	lcl|NC_020931.1_prot_WP_009871377.1_31
8	8	0.994	lcl|NC_020939.1_prot_WP_009871427.1_80	lcl|NC_012687.1_prot_WP_009871427.1_80	lcl|NC_017952.1_prot_WP_009872364.1_80	lcl|NC_017953.1_prot_WP_009872364.1_80	lcl|CP001888.1_prot_ADH18690.1_82	lcl|NC_020929.1_prot_WP_009871427.1_80	lcl|NC_020937.1_prot_WP_009871427.1_80	lcl|NC_020931.1_prot_WP_009871427.1_80
8	8	0.994	lcl|NC_020939.1_prot_WP_009871439.1_93	lcl|NC_012687.1_prot_WP_009871439.1_93	lcl|NC_017952.1_prot_WP_009871439.1_93	lcl|NC_017953.1_prot_WP_009873043.1_93	lcl|CP001888.1_prot_ADH18701.1_93	lcl|NC_020929.1_prot_WP_009873548.1_93	lcl|NC_020937.1_prot_WP_009873548.1_93	lcl|NC_020931.1_prot_WP_009873548.1_93
8	8	0.994	lcl|NC_020939.1_prot_WP_009871522.1_177	lcl|NC_012687.1_prot_WP_009871522.1_179	lcl|NC_017952.1_prot_WP_009871522.1_179	lcl|NC_017953.1_prot_WP_009871522.1_180	lcl|CP001888.1_prot_ADH18785.1_177	lcl|NC_020929.1_prot_WP_009871522.1_177	lcl|NC_020937.1_prot_WP_009871522.1_176	lcl|NC_020931.1_prot_WP_009871522.1_177
8	8	0.994	lcl|NC_020939.1_prot_WP_009871551.1_206	lcl|NC_012687.1_prot_WP_012728076.1_208	lcl|NC_017952.1_prot_WP_009873069.1_208	lcl|NC_017953.1_prot_WP_009873069.1_209	lcl|CP001888.1_prot_ADH18814.1_206	lcl|NC_020929.1_prot_WP_009873636.1_206	lcl|NC_020937.1_prot_WP_009873636.1_205	lcl|NC_020931.1_prot_WP_009873636.1_206
8	8	0.994	lcl|NC_020939.1_prot_WP_009871593.1_248	lcl|NC_012687.1_prot_WP_012728085.1_250	lcl|NC_017952.1_prot_WP_009872497.1_250	lcl|NC_017953.1_prot_WP_009873084.1_251	lcl|CP001888.1_prot_ADH18856.1_248	lcl|NC_020929.1_prot_WP_009872497.1_248	lcl|NC_020937.1_prot_WP_009872497.1_247	lcl|NC_020931.1_prot_WP_009872497.1_248
8	8	0.994	lcl|NC_020939.1_prot_WP_009871651.1_306	lcl|NC_012687.1_prot_WP_009871651.1_308	lcl|NC_017952.1_prot_WP_009872542.1_308	lcl|NC_017953.1_prot_WP_009871651.1_309	lcl|CP001888.1_prot_ADH18915.1_307	lcl|NC_020929.1_prot_WP_009871651.1_306	lcl|NC_020937.1_prot_WP_009871651.1_305	lcl|NC_020931.1_prot_WP_009871651.1_306
8	8	0.994	lcl|NC_020939.1_prot_WP_009871751.1_408	lcl|NC_012687.1_prot_WP_012728120.1_410	lcl|NC_017952.1_prot_WP_009872629.1_411	lcl|NC_017953.1_prot_WP_009872629.1_412	lcl|CP001888.1_prot_ADH19016.1_408	lcl|NC_020929.1_prot_WP_012263649.1_407	lcl|NC_020937.1_prot_WP_012263649.1_407	lcl|NC_020931.1_prot_WP_012263649.1_407
8	8	0.994	lcl|NC_020939.1_prot_WP_009871874.1_526	lcl|NC_012687.1_prot_WP_012728144.1_528	lcl|NC_017952.1_prot_WP_009872713.1_529	lcl|NC_017953.1_prot_WP_009872713.1_530	lcl|CP001888.1_prot_ADH19141.1_533	lcl|NC_020929.1_prot_WP_009873867.1_525	lcl|NC_020937.1_prot_WP_009873867.1_525	lcl|NC_020931.1_prot_WP_009873867.1_525
8	8	0.994	lcl|NC_020939.1_prot_WP_009871889.1_541	lcl|NC_012687.1_prot_WP_009871889.1_543	lcl|NC_017952.1_prot_WP_009872724.1_544	lcl|NC_017953.1_prot_WP_009872724.1_545	lcl|CP001888.1_prot_ADH19156.1_548	lcl|NC_020929.1_prot_WP_009871889.1_540	lcl|NC_020937.1_prot_WP_015505901.1_540	lcl|NC_020931.1_prot_WP_009871889.1_540
8	8	0.994	lcl|NC_020939.1_prot_WP_009871980.1_630	lcl|NC_012687.1_prot_WP_009871980.1_632	lcl|NC_017952.1_prot_WP_009871980.1_632	lcl|NC_017953.1_prot_WP_009871980.1_633	lcl|CP001888.1_prot_ADH19246.1_638	lcl|NC_020929.1_prot_WP_009873944.1_629	lcl|NC_020937.1_prot_WP_009873944.1_628	lcl|NC_020931.1_prot_WP_009873944.1_629
8	8	0.994	lcl|NC_020939.1_prot_WP_009872071.1_715	lcl|NC_012687.1_prot_WP_012728179.1_717	lcl|NC_017952.1_prot_WP_009872071.1_717	lcl|NC_017953.1_prot_WP_009872071.1_718	lcl|CP001888.1_prot_ADH19339.1_731	lcl|NC_020929.1_prot_WP_009872071.1_714	lcl|NC_020937.1_prot_WP_009872071.1_713	lcl|NC_020931.1_prot_WP_009872071.1_714
8	8	0.994	lcl|NC_020939.1_prot_WP_009872107.1_749	lcl|NC_012687.1_prot_WP_009872107.1_751	lcl|NC_017952.1_prot_WP_009872883.1_751	lcl|NC_017953.1_prot_WP_009872883.1_752	lcl|CP001888.1_prot_ADH19375.1_767	lcl|NC_020929.1_prot_WP_012263551.1_748	lcl|NC_020937.1_prot_WP_012263551.1_747	lcl|NC_020931.1_prot_WP_012263551.1_748
8	8	0.994	lcl|NC_020939.1_prot_WP_009872137.1_776	lcl|NC_012687.1_prot_WP_009872137.1_779	lcl|NC_017952.1_prot_WP_009872137.1_778	lcl|NC_017953.1_prot_WP_009872137.1_779	lcl|CP001888.1_prot_ADH19405.1_797	lcl|NC_020929.1_prot_WP_009872137.1_775	lcl|NC_020937.1_prot_WP_009872137.1_774	lcl|NC_020931.1_prot_WP_009872137.1_775
8	8	0.994	lcl|NC_020939.1_prot_WP_009872215.1_852	lcl|NC_012687.1_prot_WP_009872215.1_855	lcl|NC_017952.1_prot_WP_009872215.1_854	lcl|NC_017953.1_prot_WP_009872215.1_855	lcl|CP001888.1_prot_ADH19485.1_877	lcl|NC_020929.1_prot_WP_009872215.1_851	lcl|NC_020937.1_prot_WP_009872215.1_850	lcl|NC_020931.1_prot_WP_009872215.1_851
8	8	0.994	lcl|NC_020939.1_prot_WP_009872247.1_882	lcl|NC_012687.1_prot_WP_009872247.1_885	lcl|NC_017952.1_prot_WP_009872247.1_884	lcl|NC_017953.1_prot_WP_009872247.1_885	lcl|CP001888.1_prot_ADH19517.1_909	lcl|NC_020929.1_prot_WP_009873463.1_881	lcl|NC_020937.1_prot_WP_009873463.1_880	lcl|NC_020931.1_prot_WP_009873463.1_881
8	8	0.994	lcl|NC_020939.1_prot_WP_009872617.1_393	lcl|NC_012687.1_prot_WP_009872617.1_395	lcl|NC_017952.1_prot_WP_009872617.1_396	lcl|NC_017953.1_prot_WP_009871736.1_397	lcl|CP001888.1_prot_ADH19001.1_393	lcl|NC_020929.1_prot_WP_009872617.1_392	lcl|NC_020937.1_prot_WP_009872617.1_392	lcl|NC_020931.1_prot_WP_009872617.1_392
8	8	0.994	lcl|NC_020939.1_prot_WP_009872626.1_405	lcl|NC_012687.1_prot_WP_009872626.1_407	lcl|NC_017952.1_prot_WP_009872626.1_408	lcl|NC_017953.1_prot_WP_009872626.1_409	lcl|CP001888.1_prot_ADH19013.1_405	lcl|NC_020929.1_prot_WP_009872626.1_404	lcl|NC_020937.1_prot_WP_009872626.1_404	lcl|NC_020931.1_prot_WP_009872626.1_404
8	8	0.994	lcl|NC_020939.1_prot_WP_009872831.1_686	lcl|NC_012687.1_prot_WP_009872831.1_688	lcl|NC_017952.1_prot_WP_009872831.1_688	lcl|NC_017953.1_prot_WP_009872831.1_689	lcl|CP001888.1_prot_ADH19306.1_698	lcl|NC_020929.1_prot_WP_009872831.1_685	lcl|NC_020937.1_prot_WP_009872831.1_684	lcl|NC_020931.1_prot_WP_009872831.1_685
8	8	0.994	lcl|NC_020939.1_prot_WP_011324565.1_97	lcl|NC_012687.1_prot_WP_011324565.1_97	lcl|NC_017952.1_prot_WP_009871443.1_97	lcl|NC_017953.1_prot_WP_009871443.1_97	lcl|CP001888.1_prot_ADH18705.1_97	lcl|NC_020929.1_prot_WP_009871443.1_97	lcl|NC_020937.1_prot_WP_009871443.1_97	lcl|NC_020931.1_prot_WP_009871443.1_97
