# Species	Genes	Alg.-Conn.	A:363.fasta	D:SotonD1.fasta	D:SotonD5.fasta	E:150.fasta	L1:224.fasta	L2b:Ams5.fasta	L3:404:LN.fasta
7	7	0.991	lcl|NC_020966.1_prot_WP_009872215.1_853	lcl|NC_020967.1_prot_WP_009872215.1_856	lcl|NC_020943.1_prot_WP_009872215.1_855	lcl|CP001886.1_prot_ADH17638.1_877	lcl|NC_020973.1_prot_WP_009872215.1_854	lcl|NC_020936.1_prot_WP_009872215.1_851	lcl|NC_020974.1_prot_WP_009872215.1_851
7	7	0.991	lcl|NC_020966.1_prot_WP_009872831.1_687	lcl|NC_020967.1_prot_WP_009872831.1_689	lcl|NC_020943.1_prot_WP_009872831.1_689	lcl|CP001886.1_prot_ADH17459.1_698	lcl|NC_020973.1_prot_WP_009872831.1_686	lcl|NC_020936.1_prot_WP_009872831.1_685	lcl|NC_020974.1_prot_WP_009872831.1_685
7	7	0.991	lcl|NC_020966.1_prot_WP_010725329.1_762	lcl|NC_020967.1_prot_WP_009873206.1_764	lcl|NC_020943.1_prot_WP_010725329.1_764	lcl|CP001886.1_prot_ADH17540.1_779	lcl|NC_020973.1_prot_WP_009873343.1_762	lcl|NC_020936.1_prot_WP_009873343.1_760	lcl|NC_020974.1_prot_WP_009873343.1_760
7	7	0.991	lcl|NC_020966.1_prot_WP_011324526.1_26	lcl|NC_020967.1_prot_WP_009873012.1_26	lcl|NC_020943.1_prot_WP_015506285.1_26	lcl|CP001886.1_prot_ADH16788.1_27	lcl|NC_020973.1_prot_WP_009873503.1_26	lcl|NC_020936.1_prot_WP_009873503.1_26	lcl|NC_020974.1_prot_WP_009873503.1_26
7	7	0.991	lcl|NC_020966.1_prot_WP_011324530.1_34	lcl|NC_020967.1_prot_WP_009873017.1_34	lcl|NC_020943.1_prot_WP_010724991.1_34	lcl|CP001886.1_prot_ADH16796.1_35	lcl|NC_020973.1_prot_WP_015505641.1_34	lcl|NC_020936.1_prot_WP_009872331.1_34	lcl|NC_020974.1_prot_WP_009872331.1_34
7	7	0.991	lcl|NC_020966.1_prot_WP_011324581.1_124	lcl|NC_020967.1_prot_WP_009872392.1_124	lcl|NC_020943.1_prot_WP_010725076.1_124	lcl|CP001886.1_prot_ADH16888.1_127	lcl|NC_020973.1_prot_WP_009872392.1_124	lcl|NC_020936.1_prot_WP_009872392.1_124	lcl|NC_020974.1_prot_WP_009872392.1_124
7	7	0.991	lcl|NC_020966.1_prot_WP_011324770.1_568	lcl|NC_020967.1_prot_WP_009872745.1_571	lcl|NC_020943.1_prot_WP_009871915.1_570	lcl|CP001886.1_prot_ADH17334.1_573	lcl|NC_020973.1_prot_WP_009873891.1_567	lcl|NC_020936.1_prot_WP_009873891.1_566	lcl|NC_020974.1_prot_WP_009873891.1_567
7	7	0.991	lcl|NC_020966.1_prot_WP_011324839.1_721	lcl|NC_020967.1_prot_WP_009872862.1_723	lcl|NC_020943.1_prot_WP_010725308.1_723	lcl|CP001886.1_prot_ADH17495.1_734	lcl|NC_020973.1_prot_WP_009873306.1_720	lcl|NC_020936.1_prot_WP_009873306.1_719	lcl|NC_020974.1_prot_WP_009873306.1_719
7	7	0.991	lcl|NC_020966.1_prot_WP_012727937.1_547	lcl|NC_020967.1_prot_WP_009872729.1_550	lcl|NC_020943.1_prot_WP_009871894.1_549	lcl|CP001886.1_prot_ADH17313.1_552	lcl|NC_020973.1_prot_WP_009872729.1_546	lcl|NC_020936.1_prot_WP_009872729.1_545	lcl|NC_020974.1_prot_WP_009872729.1_546
7	7	0.991	lcl|NC_020966.1_prot_WP_012728155.1_584	lcl|NC_020967.1_prot_WP_009871932.1_587	lcl|NC_020943.1_prot_WP_009871932.1_586	lcl|CP001886.1_prot_ADH17351.1_590	lcl|NC_020973.1_prot_WP_009871932.1_583	lcl|NC_020936.1_prot_WP_009871932.1_582	lcl|NC_020974.1_prot_WP_009871932.1_583
7	7	0.991	lcl|NC_020966.1_prot_WP_012728160.1_606	lcl|NC_020967.1_prot_WP_009873169.1_609	lcl|NC_020943.1_prot_WP_014541172.1_608	lcl|CP001886.1_prot_ADH17374.1_613	lcl|NC_020973.1_prot_WP_009873922.1_605	lcl|NC_020936.1_prot_WP_009873922.1_604	lcl|NC_020974.1_prot_WP_009873922.1_605
7	7	0.991	lcl|NC_020966.1_prot_WP_014315981.1_43	lcl|NC_020967.1_prot_WP_009872339.1_43	lcl|NC_020943.1_prot_WP_010725001.1_43	lcl|CP001886.1_prot_ADH16805.1_44	lcl|NC_020973.1_prot_WP_009873513.1_43	lcl|NC_020936.1_prot_WP_009873513.1_43	lcl|NC_020974.1_prot_WP_009873513.1_43
7	7	0.991	lcl|NC_020966.1_prot_WP_014316067.1_776	lcl|NC_020967.1_prot_WP_015506453.1_778	lcl|NC_020943.1_prot_WP_010725334.1_778	lcl|CP001886.1_prot_ADH17556.1_795	lcl|NC_020973.1_prot_WP_009873383.1_777	lcl|NC_020936.1_prot_WP_009873383.1_774	lcl|NC_020974.1_prot_WP_009873383.1_774
7	7	0.99	lcl|NC_020966.1_prot_WP_009871522.1_178	lcl|NC_020967.1_prot_WP_009871522.1_180	lcl|NC_020943.1_prot_WP_009871522.1_179	lcl|CP001886.1_prot_ADH16940.1_179	lcl|NC_020973.1_prot_WP_009871522.1_177	lcl|NC_020936.1_prot_WP_009871522.1_177	lcl|NC_020974.1_prot_WP_009871522.1_177
7	7	0.99	lcl|NC_020966.1_prot_WP_009871537.1_193	lcl|NC_020967.1_prot_WP_009872447.1_195	lcl|NC_020943.1_prot_WP_009871537.1_194	lcl|CP001886.1_prot_ADH16955.1_194	lcl|NC_020973.1_prot_WP_009871537.1_192	lcl|NC_020936.1_prot_WP_009871537.1_192	lcl|NC_020974.1_prot_WP_009871537.1_192
7	7	0.99	lcl|NC_020966.1_prot_WP_009871543.1_199	lcl|NC_020967.1_prot_WP_009872452.1_201	lcl|NC_020943.1_prot_WP_009871543.1_200	lcl|CP001886.1_prot_ADH16961.1_200	lcl|NC_020973.1_prot_WP_009872452.1_198	lcl|NC_020936.1_prot_WP_009872452.1_198	lcl|NC_020974.1_prot_WP_009872452.1_198
7	7	0.99	lcl|NC_020966.1_prot_WP_009871586.1_242	lcl|NC_020967.1_prot_WP_009872490.1_244	lcl|NC_020943.1_prot_WP_009871586.1_243	lcl|CP001886.1_prot_ADH17004.1_243	lcl|NC_020973.1_prot_WP_009871586.1_241	lcl|NC_020936.1_prot_WP_009871586.1_241	lcl|NC_020974.1_prot_WP_009871586.1_241
7	7	0.99	lcl|NC_020966.1_prot_WP_009871593.1_249	lcl|NC_020967.1_prot_WP_009873084.1_251	lcl|NC_020943.1_prot_WP_010725134.1_250	lcl|CP001886.1_prot_ADH17012.1_251	lcl|NC_020973.1_prot_WP_009872497.1_248	lcl|NC_020936.1_prot_WP_009872497.1_248	lcl|NC_020974.1_prot_WP_009872497.1_248
7	7	0.99	lcl|NC_020966.1_prot_WP_009871650.1_306	lcl|NC_020967.1_prot_WP_009872541.1_308	lcl|NC_020943.1_prot_WP_009871650.1_307	lcl|CP001886.1_prot_ADH17070.1_309	lcl|NC_020973.1_prot_WP_009872541.1_305	lcl|NC_020936.1_prot_WP_009872541.1_305	lcl|NC_020974.1_prot_WP_009872541.1_305
7	7	0.99	lcl|NC_020966.1_prot_WP_009871763.1_421	lcl|NC_020967.1_prot_WP_009872638.1_424	lcl|NC_020943.1_prot_WP_009871763.1_422	lcl|CP001886.1_prot_ADH17183.1_422	lcl|NC_020973.1_prot_WP_009872638.1_420	lcl|NC_020936.1_prot_WP_009872638.1_419	lcl|NC_020974.1_prot_WP_009872638.1_420
7	7	0.99	lcl|NC_020966.1_prot_WP_009871927.1_579	lcl|NC_020967.1_prot_WP_009872755.1_582	lcl|NC_020943.1_prot_WP_009871927.1_581	lcl|CP001886.1_prot_ADH17346.1_585	lcl|NC_020973.1_prot_WP_009873902.1_578	lcl|NC_020936.1_prot_WP_009871927.1_577	lcl|NC_020974.1_prot_WP_009871927.1_578
7	7	0.99	lcl|NC_020966.1_prot_WP_009871964.1_615	lcl|NC_020967.1_prot_WP_009872777.1_617	lcl|NC_020943.1_prot_WP_009871964.1_617	lcl|CP001886.1_prot_ADH17381.1_620	lcl|NC_020973.1_prot_WP_009872777.1_614	lcl|NC_020936.1_prot_WP_009872777.1_613	lcl|NC_020974.1_prot_WP_009872777.1_613
7	7	0.99	lcl|NC_020966.1_prot_WP_009872102.1_745	lcl|NC_020967.1_prot_WP_009872102.1_747	lcl|NC_020943.1_prot_WP_009872102.1_747	lcl|CP001886.1_prot_ADH17522.1_761	lcl|NC_020973.1_prot_WP_009872102.1_744	lcl|NC_020936.1_prot_WP_009873328.1_743	lcl|NC_020974.1_prot_WP_009872102.1_743
7	7	0.99	lcl|NC_020966.1_prot_WP_009872107.1_750	lcl|NC_020967.1_prot_WP_009872883.1_752	lcl|NC_020943.1_prot_WP_009872107.1_752	lcl|CP001886.1_prot_ADH17527.1_766	lcl|NC_020973.1_prot_WP_012263551.1_749	lcl|NC_020936.1_prot_WP_012263551.1_748	lcl|NC_020974.1_prot_WP_012263551.1_748
7	7	0.99	lcl|NC_020966.1_prot_WP_009872126.1_768	lcl|NC_020967.1_prot_WP_009872898.1_770	lcl|NC_020943.1_prot_WP_010725332.1_770	lcl|CP001886.1_prot_ADH17546.1_785	lcl|NC_020973.1_prot_WP_015505741.1_768	lcl|NC_020936.1_prot_WP_012263552.1_766	lcl|NC_020974.1_prot_WP_009873348.1_766
7	7	0.99	lcl|NC_020966.1_prot_WP_009872179.1_818	lcl|NC_020967.1_prot_WP_009872938.1_820	lcl|NC_020943.1_prot_WP_009872179.1_820	lcl|CP001886.1_prot_ADH17601.1_840	lcl|NC_020973.1_prot_WP_009872179.1_819	lcl|NC_020936.1_prot_WP_009872179.1_816	lcl|NC_020974.1_prot_WP_009872938.1_816
7	7	0.99	lcl|NC_020966.1_prot_WP_009872199.1_837	lcl|NC_020967.1_prot_WP_009872199.1_839	lcl|NC_020943.1_prot_WP_009872199.1_839	lcl|CP001886.1_prot_ADH17622.1_861	lcl|NC_020973.1_prot_WP_009872199.1_838	lcl|NC_020936.1_prot_WP_009872199.1_835	lcl|NC_020974.1_prot_WP_009872199.1_835
7	7	0.99	lcl|NC_020966.1_prot_WP_009873512.1_42	lcl|NC_020967.1_prot_WP_009872338.1_42	lcl|NC_020943.1_prot_WP_009873512.1_42	lcl|CP001886.1_prot_ADH16804.1_43	lcl|NC_020973.1_prot_WP_009873512.1_42	lcl|NC_020936.1_prot_WP_009873512.1_42	lcl|NC_020974.1_prot_WP_009873512.1_42
7	7	0.99	lcl|NC_020966.1_prot_WP_011324546.1_62	lcl|NC_020967.1_prot_WP_009873028.1_62	lcl|NC_020943.1_prot_WP_009871408.1_62	lcl|CP001886.1_prot_ADH16825.1_64	lcl|NC_020973.1_prot_WP_009873028.1_62	lcl|NC_020936.1_prot_WP_009873028.1_62	lcl|NC_020974.1_prot_WP_009873028.1_62
7	7	0.99	lcl|NC_020966.1_prot_WP_011324571.1_110	lcl|NC_020967.1_prot_WP_009872380.1_110	lcl|NC_020943.1_prot_WP_009871455.1_110	lcl|CP001886.1_prot_ADH16873.1_112	lcl|NC_020973.1_prot_WP_009873563.1_110	lcl|NC_020936.1_prot_WP_009873563.1_110	lcl|NC_020974.1_prot_WP_009873563.1_110
7	7	0.99	lcl|NC_020966.1_prot_WP_011324589.1_140	lcl|NC_020967.1_prot_WP_009872404.1_140	lcl|NC_020943.1_prot_WP_010725087.1_140	lcl|CP001886.1_prot_ADH16905.1_144	lcl|NC_020973.1_prot_WP_009873588.1_140	lcl|NC_020936.1_prot_WP_009873588.1_140	lcl|NC_020974.1_prot_WP_009873588.1_140
7	7	0.99	lcl|NC_020966.1_prot_WP_011324741.1_468	lcl|NC_020967.1_prot_WP_009872671.1_471	lcl|NC_020943.1_prot_WP_009871812.1_469	lcl|CP001886.1_prot_ADH17233.1_472	lcl|NC_020973.1_prot_WP_009873823.1_467	lcl|NC_020936.1_prot_WP_009873823.1_466	lcl|NC_020974.1_prot_WP_009873823.1_467
7	7	0.99	lcl|NC_020966.1_prot_WP_011324865.1_802	lcl|NC_020967.1_prot_WP_015506455.1_804	lcl|NC_020943.1_prot_WP_009872163.1_804	lcl|CP001886.1_prot_ADH17584.1_823	lcl|NC_020973.1_prot_WP_009873400.1_803	lcl|NC_020936.1_prot_WP_009873400.1_800	lcl|NC_020974.1_prot_WP_009873400.1_800
7	7	0.99	lcl|NC_020966.1_prot_WP_011324875.1_829	lcl|NC_020967.1_prot_WP_009872944.1_831	lcl|NC_020943.1_prot_WP_009872190.1_831	lcl|CP001886.1_prot_ADH17613.1_852	lcl|NC_020973.1_prot_WP_009873418.1_830	lcl|NC_020936.1_prot_WP_009873418.1_827	lcl|NC_020974.1_prot_WP_009873418.1_827
7	7	0.99	lcl|NC_020966.1_prot_WP_011324876.1_830	lcl|NC_020967.1_prot_WP_009872945.1_832	lcl|NC_020943.1_prot_WP_010725350.1_832	lcl|CP001886.1_prot_ADH17614.1_853	lcl|NC_020973.1_prot_WP_009873419.1_831	lcl|NC_020936.1_prot_WP_009873419.1_828	lcl|NC_020974.1_prot_WP_009873419.1_828
7	7	0.99	lcl|NC_020966.1_prot_WP_012727905.1_407	lcl|NC_020967.1_prot_WP_009873125.1_410	lcl|NC_020943.1_prot_WP_010725182.1_408	lcl|CP001886.1_prot_ADH17169.1_408	lcl|NC_020973.1_prot_WP_009873782.1_406	lcl|NC_020936.1_prot_WP_009873782.1_405	lcl|NC_020974.1_prot_WP_009873782.1_406
7	7	0.99	lcl|NC_020966.1_prot_WP_012728015.1_882	lcl|NC_020967.1_prot_WP_009872982.1_885	lcl|NC_020943.1_prot_WP_010725372.1_884	lcl|CP001886.1_prot_ADH17669.1_908	lcl|NC_020973.1_prot_WP_009873462.1_883	lcl|NC_020936.1_prot_WP_009873462.1_880	lcl|NC_020974.1_prot_WP_009873462.1_880
7	7	0.99	lcl|NC_020966.1_prot_WP_012728153.1_577	lcl|NC_020967.1_prot_WP_009872753.1_580	lcl|NC_020943.1_prot_WP_009871924.1_579	lcl|CP001886.1_prot_ADH17343.1_582	lcl|NC_020973.1_prot_WP_009873900.1_576	lcl|NC_020936.1_prot_WP_009873900.1_575	lcl|NC_020974.1_prot_WP_009873900.1_576
7	7	0.99	lcl|NC_020966.1_prot_WP_012728185.1_770	lcl|NC_020967.1_prot_WP_009872901.1_772	lcl|NC_020943.1_prot_WP_009872129.1_772	lcl|CP001886.1_prot_ADH17549.1_788	lcl|NC_020973.1_prot_WP_009872901.1_771	lcl|NC_020936.1_prot_WP_009872901.1_768	lcl|NC_020974.1_prot_WP_009872901.1_768
7	7	0.99	lcl|NC_020966.1_prot_WP_014315982.1_65	lcl|NC_020967.1_prot_WP_009873031.1_65	lcl|NC_020943.1_prot_WP_010725014.1_65	lcl|CP001886.1_prot_ADH16829.1_68	lcl|NC_020973.1_prot_WP_009873531.1_65	lcl|NC_020936.1_prot_WP_009873531.1_65	lcl|NC_020974.1_prot_WP_015506596.1_65
7	7	0.99	lcl|NC_020966.1_prot_WP_014316005.1_265	lcl|NC_020967.1_prot_WP_009872511.1_267	lcl|NC_020943.1_prot_WP_009871609.1_266	lcl|CP001886.1_prot_ADH17029.1_268	lcl|NC_020973.1_prot_WP_009873682.1_264	lcl|NC_020936.1_prot_WP_009873682.1_264	lcl|NC_020974.1_prot_WP_009873682.1_264
7	7	0.99	lcl|NC_020966.1_prot_WP_014316048.1_652	lcl|NC_020967.1_prot_WP_009873181.1_654	lcl|NC_020943.1_prot_WP_010725283.1_654	lcl|CP001886.1_prot_ADH17422.1_661	lcl|NC_020973.1_prot_WP_009873181.1_651	lcl|NC_020936.1_prot_WP_009873181.1_650	lcl|NC_020974.1_prot_WP_009873181.1_650
7	7	0.989	lcl|NC_020966.1_prot_WP_009871349.1_4	lcl|NC_020967.1_prot_WP_009872304.1_4	lcl|NC_020943.1_prot_WP_009871349.1_4	lcl|CP001886.1_prot_ADH16765.1_4	lcl|NC_020973.1_prot_WP_009872304.1_4	lcl|NC_020936.1_prot_WP_009872304.1_4	lcl|NC_020974.1_prot_WP_009872304.1_4
7	7	0.989	lcl|NC_020966.1_prot_WP_009871356.1_11	lcl|NC_020967.1_prot_WP_009872310.1_11	lcl|NC_020943.1_prot_WP_010724981.1_11	lcl|CP001886.1_prot_ADH16772.1_11	lcl|NC_020973.1_prot_WP_009872310.1_11	lcl|NC_020936.1_prot_WP_009872310.1_11	lcl|NC_020974.1_prot_WP_009872310.1_11
7	7	0.989	lcl|NC_020966.1_prot_WP_009871370.1_24	lcl|NC_020967.1_prot_WP_009872322.1_24	lcl|NC_020943.1_prot_WP_009871370.1_24	lcl|CP001886.1_prot_ADH16786.1_25	lcl|NC_020973.1_prot_WP_009873501.1_24	lcl|NC_020936.1_prot_WP_009873501.1_24	lcl|NC_020974.1_prot_WP_009873501.1_24
7	7	0.989	lcl|NC_020966.1_prot_WP_009871415.1_68	lcl|NC_020967.1_prot_WP_009871415.1_68	lcl|NC_020943.1_prot_WP_009871415.1_68	lcl|CP001886.1_prot_ADH16833.1_72	lcl|NC_020973.1_prot_WP_009871415.1_68	lcl|NC_020936.1_prot_WP_009871415.1_68	lcl|NC_020974.1_prot_WP_009871415.1_68
7	7	0.989	lcl|NC_020966.1_prot_WP_009871424.1_77	lcl|NC_020967.1_prot_WP_009871424.1_77	lcl|NC_020943.1_prot_WP_009871424.1_77	lcl|CP001886.1_prot_ADH16842.1_81	lcl|NC_020973.1_prot_WP_009871424.1_77	lcl|NC_020936.1_prot_WP_009871424.1_77	lcl|NC_020974.1_prot_WP_009871424.1_77
7	7	0.989	lcl|NC_020966.1_prot_WP_009871533.1_189	lcl|NC_020967.1_prot_WP_015506438.1_191	lcl|NC_020943.1_prot_WP_009871533.1_190	lcl|CP001886.1_prot_ADH16951.1_190	lcl|NC_020973.1_prot_WP_009872443.1_188	lcl|NC_020936.1_prot_WP_009872443.1_188	lcl|NC_020974.1_prot_WP_009872443.1_188
7	7	0.989	lcl|NC_020966.1_prot_WP_009871624.1_280	lcl|NC_020967.1_prot_WP_009871624.1_282	lcl|NC_020943.1_prot_WP_009871624.1_281	lcl|CP001886.1_prot_ADH17044.1_283	lcl|NC_020973.1_prot_WP_009873693.1_279	lcl|NC_020936.1_prot_WP_009873693.1_279	lcl|NC_020974.1_prot_WP_009873693.1_279
7	7	0.989	lcl|NC_020966.1_prot_WP_009871631.1_287	lcl|NC_020967.1_prot_WP_009871631.1_289	lcl|NC_020943.1_prot_WP_009871631.1_288	lcl|CP001886.1_prot_ADH17051.1_290	lcl|NC_020973.1_prot_WP_009871631.1_286	lcl|NC_020936.1_prot_WP_009871631.1_286	lcl|NC_020974.1_prot_WP_009871631.1_286
7	7	0.989	lcl|NC_020966.1_prot_WP_009871651.1_307	lcl|NC_020967.1_prot_WP_009871651.1_309	lcl|NC_020943.1_prot_WP_009871651.1_308	lcl|CP001886.1_prot_ADH17071.1_310	lcl|NC_020973.1_prot_WP_009871651.1_306	lcl|NC_020936.1_prot_WP_009871651.1_306	lcl|NC_020974.1_prot_WP_009871651.1_306
7	7	0.989	lcl|NC_020966.1_prot_WP_009871672.1_328	lcl|NC_020967.1_prot_WP_009871672.1_330	lcl|NC_020943.1_prot_WP_009871672.1_329	lcl|CP001886.1_prot_ADH17093.1_332	lcl|NC_020973.1_prot_WP_009873726.1_327	lcl|NC_020936.1_prot_WP_009873726.1_327	lcl|NC_020974.1_prot_WP_009873726.1_327
7	7	0.989	lcl|NC_020966.1_prot_WP_009871708.1_364	lcl|NC_020967.1_prot_WP_009871708.1_367	lcl|NC_020943.1_prot_WP_009871708.1_365	lcl|CP001886.1_prot_ADH17128.1_367	lcl|NC_020973.1_prot_WP_009871708.1_363	lcl|NC_020936.1_prot_WP_009871708.1_362	lcl|NC_020974.1_prot_WP_009871708.1_363
7	7	0.989	lcl|NC_020966.1_prot_WP_009871750.1_408	lcl|NC_020967.1_prot_WP_009872628.1_411	lcl|NC_020943.1_prot_WP_009871750.1_409	lcl|CP001886.1_prot_ADH17170.1_409	lcl|NC_020973.1_prot_WP_009872628.1_407	lcl|NC_020936.1_prot_WP_009872628.1_406	lcl|NC_020974.1_prot_WP_009872628.1_407
7	7	0.989	lcl|NC_020966.1_prot_WP_009871758.1_416	lcl|NC_020967.1_prot_WP_009871758.1_419	lcl|NC_020943.1_prot_WP_009871758.1_417	lcl|CP001886.1_prot_ADH17178.1_417	lcl|NC_020973.1_prot_WP_009871758.1_415	lcl|NC_020936.1_prot_WP_009871758.1_414	lcl|NC_020974.1_prot_WP_009871758.1_415
