# Species	Genes	Alg.-Conn.	A:363.fasta	A:5291.fasta	A:HAR-13.fasta	B_TZ1A828_OT.fasta	D:SotonD5.fasta	D:SotonD6.fasta	G:11074.fasta	G:11222.fasta	G:9301.fasta	G:9768.fasta	G:SotonG1.fasta	K:SotonK1.fasta
12	12	0.968	lcl|NC_020966.1_prot_WP_009871519.1_175	lcl|NC_020939.1_prot_WP_009871519.1_174	lcl|NC_007429.1_prot_WP_009871519.1_178	lcl|NC_012687.1_prot_WP_009871519.1_176	lcl|NC_020943.1_prot_WP_009871519.1_176	lcl|NC_020968.1_prot_WP_009871519.1_177	lcl|CP001889.1_prot_ADH19709.1_174	lcl|CP001888.1_prot_ADH18782.1_174	lcl|CP001930.1_prot_ADH96805.1_174	lcl|CP001887.1_prot_ADH17862.1_174	lcl|HE601807.1_prot_CCP57736.1_171	lcl|NC_020965.1_prot_WP_009871519.1_176
12	12	0.968	lcl|NC_020966.1_prot_WP_009871533.1_189	lcl|NC_020939.1_prot_WP_009871533.1_188	lcl|NC_007429.1_prot_WP_009871533.1_192	lcl|NC_012687.1_prot_WP_009871533.1_190	lcl|NC_020943.1_prot_WP_009871533.1_190	lcl|NC_020968.1_prot_WP_009871533.1_191	lcl|CP001889.1_prot_ADH19723.1_188	lcl|CP001888.1_prot_ADH18796.1_188	lcl|CP001930.1_prot_ADH96819.1_188	lcl|CP001887.1_prot_ADH17876.1_188	lcl|HE601807.1_prot_CCP57750.1_185	lcl|NC_020965.1_prot_WP_009871533.1_190
12	12	0.968	lcl|NC_020966.1_prot_WP_009871771.1_429	lcl|NC_020939.1_prot_WP_009871771.1_428	lcl|NC_007429.1_prot_WP_009871771.1_432	lcl|NC_012687.1_prot_WP_009871771.1_430	lcl|NC_020943.1_prot_WP_009871771.1_430	lcl|NC_020968.1_prot_WP_009871771.1_431	lcl|CP001889.1_prot_ADH19962.1_427	lcl|CP001888.1_prot_ADH19037.1_429	lcl|CP001930.1_prot_ADH97059.1_428	lcl|CP001887.1_prot_ADH18114.1_426	lcl|HE601807.1_prot_CCP57989.1_424	lcl|NC_020965.1_prot_WP_009871771.1_430
12	12	0.968	lcl|NC_020966.1_prot_WP_011324749.1_492	lcl|NC_020939.1_prot_WP_011324749.1_491	lcl|NC_007429.1_prot_WP_011324749.1_495	lcl|NC_012687.1_prot_WP_011324749.1_493	lcl|NC_020943.1_prot_WP_010725210.1_494	lcl|NC_020968.1_prot_WP_010725210.1_494	lcl|CP001889.1_prot_ADH20029.1_494	lcl|CP001888.1_prot_ADH19104.1_496	lcl|CP001930.1_prot_ADH97126.1_495	lcl|CP001887.1_prot_ADH18181.1_493	lcl|HE601807.1_prot_CCP58051.1_486	lcl|NC_020965.1_prot_WP_010725210.1_494
12	12	0.968	lcl|NC_020966.1_prot_WP_011324867.1_804	lcl|NC_020939.1_prot_WP_011324867.1_803	lcl|NC_007429.1_prot_WP_011324867.1_809	lcl|NC_012687.1_prot_WP_011324867.1_806	lcl|NC_020943.1_prot_WP_009872165.1_806	lcl|NC_020968.1_prot_WP_009872165.1_807	lcl|CP001889.1_prot_ADH20354.1_819	lcl|CP001888.1_prot_ADH19434.1_826	lcl|CP001930.1_prot_ADH97452.1_821	lcl|CP001887.1_prot_ADH18508.1_820	lcl|HE601807.1_prot_CCP58363.1_798	lcl|NC_020965.1_prot_WP_009872165.1_806
12	12	0.967	lcl|NC_020966.1_prot_WP_009871551.1_207	lcl|NC_020939.1_prot_WP_009871551.1_206	lcl|NC_007429.1_prot_WP_009871551.1_210	lcl|NC_012687.1_prot_WP_012728076.1_208	lcl|NC_020943.1_prot_WP_010725121.1_208	lcl|NC_020968.1_prot_WP_010725121.1_209	lcl|CP001889.1_prot_ADH19741.1_206	lcl|CP001888.1_prot_ADH18814.1_206	lcl|CP001930.1_prot_ADH96837.1_206	lcl|CP001887.1_prot_ADH17894.1_206	lcl|HE601807.1_prot_CCP57768.1_203	lcl|NC_020965.1_prot_WP_010725121.1_208
12	12	0.967	lcl|NC_020966.1_prot_WP_009871672.1_328	lcl|NC_020939.1_prot_WP_009871672.1_327	lcl|NC_007429.1_prot_WP_011324679.1_331	lcl|NC_012687.1_prot_WP_009871672.1_329	lcl|NC_020943.1_prot_WP_009871672.1_329	lcl|NC_020968.1_prot_WP_009871672.1_330	lcl|CP001889.1_prot_ADH19862.1_327	lcl|CP001888.1_prot_ADH18936.1_328	lcl|CP001930.1_prot_ADH96958.1_327	lcl|CP001887.1_prot_ADH18015.1_327	lcl|HE601807.1_prot_CCP57888.1_323	lcl|NC_020965.1_prot_WP_009871672.1_329
12	12	0.967	lcl|NC_020966.1_prot_WP_009871740.1_398	lcl|NC_020939.1_prot_WP_009871740.1_397	lcl|NC_007429.1_prot_WP_009871740.1_401	lcl|NC_012687.1_prot_WP_009871740.1_399	lcl|NC_020943.1_prot_WP_009871740.1_399	lcl|NC_020968.1_prot_WP_009871740.1_400	lcl|CP001889.1_prot_ADH19930.1_395	lcl|CP001888.1_prot_ADH19005.1_397	lcl|CP001930.1_prot_ADH97027.1_396	lcl|CP001887.1_prot_ADH18083.1_395	lcl|HE601807.1_prot_CCP57958.1_393	lcl|NC_020965.1_prot_WP_009871740.1_399
12	12	0.967	lcl|NC_020966.1_prot_WP_009871799.1_457	lcl|NC_020939.1_prot_WP_009871799.1_456	lcl|NC_007429.1_prot_WP_009871799.1_460	lcl|NC_012687.1_prot_WP_009871799.1_458	lcl|NC_020943.1_prot_WP_009871799.1_458	lcl|NC_020968.1_prot_WP_009871799.1_459	lcl|CP001889.1_prot_ADH19991.1_456	lcl|CP001888.1_prot_ADH19066.1_458	lcl|CP001930.1_prot_ADH97088.1_457	lcl|CP001887.1_prot_ADH18143.1_455	lcl|HE601807.1_prot_CCP58017.1_452	lcl|NC_020965.1_prot_WP_009871799.1_458
12	12	0.967	lcl|NC_020966.1_prot_WP_009871852.1_506	lcl|NC_020939.1_prot_WP_009871852.1_505	lcl|NC_007429.1_prot_WP_009871852.1_509	lcl|NC_012687.1_prot_WP_009871852.1_507	lcl|NC_020943.1_prot_WP_009871852.1_508	lcl|NC_020968.1_prot_WP_009871852.1_508	lcl|CP001889.1_prot_ADH20043.1_508	lcl|CP001888.1_prot_ADH19119.1_511	lcl|CP001930.1_prot_ADH97140.1_509	lcl|CP001887.1_prot_ADH18195.1_507	lcl|HE601807.1_prot_CCP58065.1_500	lcl|NC_020965.1_prot_WP_009871852.1_508
12	12	0.967	lcl|NC_020966.1_prot_WP_009871856.1_510	lcl|NC_020939.1_prot_WP_009871856.1_509	lcl|NC_007429.1_prot_WP_009871856.1_513	lcl|NC_012687.1_prot_WP_009871856.1_511	lcl|NC_020943.1_prot_WP_009871856.1_512	lcl|NC_020968.1_prot_WP_009871856.1_512	lcl|CP001889.1_prot_ADH20047.1_512	lcl|CP001888.1_prot_ADH19123.1_515	lcl|CP001930.1_prot_ADH97144.1_513	lcl|CP001887.1_prot_ADH18199.1_511	lcl|HE601807.1_prot_CCP58069.1_504	lcl|NC_020965.1_prot_WP_009871856.1_512
12	12	0.967	lcl|NC_020966.1_prot_WP_009871964.1_615	lcl|NC_020939.1_prot_WP_009871964.1_614	lcl|NC_007429.1_prot_WP_009871964.1_618	lcl|NC_012687.1_prot_WP_009871964.1_616	lcl|NC_020943.1_prot_WP_009871964.1_617	lcl|NC_020968.1_prot_WP_009871964.1_618	lcl|CP001889.1_prot_ADH20153.1_618	lcl|CP001888.1_prot_ADH19230.1_622	lcl|CP001930.1_prot_ADH97252.1_621	lcl|CP001887.1_prot_ADH18306.1_618	lcl|HE601807.1_prot_CCP58173.1_608	lcl|NC_020965.1_prot_WP_009871964.1_617
12	12	0.967	lcl|NC_020966.1_prot_WP_009872171.1_810	lcl|NC_020939.1_prot_WP_009872171.1_809	lcl|NC_007429.1_prot_WP_009872171.1_815	lcl|NC_012687.1_prot_WP_009872171.1_812	lcl|NC_020943.1_prot_WP_009872171.1_812	lcl|NC_020968.1_prot_WP_009872171.1_813	lcl|CP001889.1_prot_ADH20360.1_825	lcl|CP001888.1_prot_ADH19440.1_832	lcl|CP001930.1_prot_ADH97458.1_827	lcl|CP001887.1_prot_ADH18514.1_826	lcl|HE601807.1_prot_CCP58368.1_803	lcl|NC_020965.1_prot_WP_009872171.1_812
12	12	0.967	lcl|NC_020966.1_prot_WP_009872188.1_827	lcl|NC_020939.1_prot_WP_009872188.1_826	lcl|NC_007429.1_prot_WP_009872188.1_832	lcl|NC_012687.1_prot_WP_009872188.1_829	lcl|NC_020943.1_prot_WP_009872188.1_829	lcl|NC_020968.1_prot_WP_009872188.1_830	lcl|CP001889.1_prot_ADH20377.1_842	lcl|CP001888.1_prot_ADH19458.1_850	lcl|CP001930.1_prot_ADH97475.1_844	lcl|CP001887.1_prot_ADH18531.1_843	lcl|HE601807.1_prot_CCP58384.1_819	lcl|NC_020965.1_prot_WP_009872188.1_829
12	12	0.967	lcl|NC_020966.1_prot_WP_009872198.1_836	lcl|NC_020939.1_prot_WP_009872198.1_835	lcl|NC_007429.1_prot_WP_009872198.1_841	lcl|NC_012687.1_prot_WP_009872198.1_838	lcl|NC_020943.1_prot_WP_009872198.1_838	lcl|NC_020968.1_prot_WP_009872198.1_839	lcl|CP001889.1_prot_ADH20387.1_852	lcl|CP001888.1_prot_ADH19468.1_860	lcl|CP001930.1_prot_ADH97485.1_854	lcl|CP001887.1_prot_ADH18541.1_853	lcl|HE601807.1_prot_CCP58393.1_828	lcl|NC_020965.1_prot_WP_009872198.1_838
12	12	0.967	lcl|NC_020966.1_prot_WP_009872553.1_319	lcl|NC_020939.1_prot_WP_009872553.1_318	lcl|NC_007429.1_prot_WP_009872553.1_322	lcl|NC_012687.1_prot_WP_009872553.1_320	lcl|NC_020943.1_prot_WP_009872553.1_320	lcl|NC_020968.1_prot_WP_009872553.1_321	lcl|CP001889.1_prot_ADH19853.1_318	lcl|CP001888.1_prot_ADH18927.1_319	lcl|CP001930.1_prot_ADH96949.1_318	lcl|CP001887.1_prot_ADH18006.1_318	lcl|HE601807.1_prot_CCP57879.1_314	lcl|NC_020965.1_prot_WP_009872553.1_320
12	12	0.967	lcl|NC_020966.1_prot_WP_009873502.1_25	lcl|NC_020939.1_prot_WP_009873502.1_25	lcl|NC_007429.1_prot_WP_009873502.1_25	lcl|NC_012687.1_prot_WP_009873502.1_25	lcl|NC_020943.1_prot_WP_009871371.1_25	lcl|NC_020968.1_prot_WP_009871371.1_25	lcl|CP001889.1_prot_ADH19561.1_26	lcl|CP001888.1_prot_ADH18634.1_26	lcl|CP001930.1_prot_ADH96657.1_26	lcl|CP001887.1_prot_ADH17714.1_26	lcl|HE601807.1_prot_CCP57590.1_25	lcl|NC_020965.1_prot_WP_009871371.1_25
12	12	0.967	lcl|NC_020966.1_prot_WP_009873822.1_467	lcl|NC_020939.1_prot_WP_009873822.1_466	lcl|NC_007429.1_prot_WP_009873822.1_470	lcl|NC_012687.1_prot_WP_009873822.1_468	lcl|NC_020943.1_prot_WP_009873822.1_468	lcl|NC_020968.1_prot_WP_009873822.1_469	lcl|CP001889.1_prot_ADH20003.1_468	lcl|CP001888.1_prot_ADH19078.1_470	lcl|CP001930.1_prot_ADH97100.1_469	lcl|CP001887.1_prot_ADH18155.1_467	lcl|HE601807.1_prot_CCP58027.1_462	lcl|NC_020965.1_prot_WP_009873822.1_468
12	12	0.967	lcl|NC_020966.1_prot_WP_010725321.1_740	lcl|NC_020939.1_prot_WP_010725321.1_739	lcl|NC_007429.1_prot_WP_010725321.1_743	lcl|NC_012687.1_prot_WP_010725321.1_741	lcl|NC_020943.1_prot_WP_010725321.1_742	lcl|NC_020968.1_prot_WP_009872096.1_743	lcl|CP001889.1_prot_ADH20286.1_751	lcl|CP001888.1_prot_ADH19364.1_756	lcl|CP001930.1_prot_ADH97384.1_753	lcl|CP001887.1_prot_ADH18439.1_751	lcl|HE601807.1_prot_CCP58299.1_734	lcl|NC_020965.1_prot_WP_009872096.1_742
