# Species	Genes	Alg.-Conn.	L1:115.fasta	L1:1322:p2.fasta	L1:224.fasta	L1:440:LN.fasta	L2:25667R.fasta	L2:434:Bu.fasta	L2b:8200:07.fasta	L2b:Ams1.fasta	L2b:Ams2.fasta	L2b:Ams3.fasta	L2b:Ams4.fasta	L2b:Ams5.fasta	L2b:CV204.fasta	L2b:Canada1.fasta	L2b:Canada2.fasta	L2b:LST.fasta	L2b:UCH-2.fasta	L3:404:LN.fasta
18	18	1	lcl|NC_020929.1_prot_WP_009872553.1_318	lcl|NC_020972.1_prot_WP_009872553.1_318	lcl|NC_020973.1_prot_WP_009872553.1_318	lcl|NC_020937.1_prot_WP_009872553.1_317	lcl|NC_020930.1_prot_WP_009872553.1_318	lcl|NC_010287.1_prot_WP_009872553.1_568	lcl|NC_020945.1_prot_WP_009872553.1_318	lcl|NC_020933.1_prot_WP_009872553.1_318	lcl|NC_020934.1_prot_WP_009872553.1_318	lcl|NC_020977.1_prot_WP_009872553.1_317	lcl|NC_020978.1_prot_WP_009872553.1_318	lcl|NC_020936.1_prot_WP_009872553.1_318	lcl|NC_020976.1_prot_WP_009872553.1_319	lcl|NC_020935.1_prot_WP_015505823.1_318	lcl|NC_020932.1_prot_WP_009872553.1_317	lcl|NC_020975.1_prot_WP_009872553.1_319	lcl|NC_020931.1_prot_WP_009872553.1_318	lcl|NC_020974.1_prot_WP_009872553.1_318
18	18	1	lcl|NC_020929.1_prot_WP_009873280.1_683	lcl|NC_020972.1_prot_WP_009873280.1_683	lcl|NC_020973.1_prot_WP_009873280.1_684	lcl|NC_020937.1_prot_WP_009873280.1_682	lcl|NC_020930.1_prot_WP_009873280.1_684	lcl|NC_010287.1_prot_WP_009873280.1_34	lcl|NC_020945.1_prot_WP_009873280.1_683	lcl|NC_020933.1_prot_WP_009873280.1_683	lcl|NC_020934.1_prot_WP_009873280.1_684	lcl|NC_020977.1_prot_WP_009873280.1_682	lcl|NC_020978.1_prot_WP_009873280.1_684	lcl|NC_020936.1_prot_WP_009873280.1_683	lcl|NC_020976.1_prot_WP_009873280.1_684	lcl|NC_020935.1_prot_WP_009873280.1_683	lcl|NC_020932.1_prot_WP_009873280.1_682	lcl|NC_020975.1_prot_WP_009873280.1_684	lcl|NC_020931.1_prot_WP_009873280.1_683	lcl|NC_020974.1_prot_WP_009873280.1_683
18	18	1	lcl|NC_020929.1_prot_WP_009873430.1_839	lcl|NC_020972.1_prot_WP_009873430.1_840	lcl|NC_020973.1_prot_WP_009873430.1_842	lcl|NC_020937.1_prot_WP_009873430.1_838	lcl|NC_020930.1_prot_WP_009873430.1_840	lcl|NC_010287.1_prot_WP_009873430.1_191	lcl|NC_020945.1_prot_WP_009873430.1_839	lcl|NC_020933.1_prot_WP_009873430.1_839	lcl|NC_020934.1_prot_WP_009873430.1_841	lcl|NC_020977.1_prot_WP_009873430.1_839	lcl|NC_020978.1_prot_WP_009873430.1_840	lcl|NC_020936.1_prot_WP_009873430.1_839	lcl|NC_020976.1_prot_WP_009873430.1_843	lcl|NC_020935.1_prot_WP_009873430.1_839	lcl|NC_020932.1_prot_WP_009873430.1_838	lcl|NC_020975.1_prot_WP_009873430.1_841	lcl|NC_020931.1_prot_WP_009873430.1_839	lcl|NC_020974.1_prot_WP_009873430.1_839
18	18	1	lcl|NC_020929.1_prot_WP_009873650.1_223	lcl|NC_020972.1_prot_WP_009873650.1_223	lcl|NC_020973.1_prot_WP_009873650.1_223	lcl|NC_020937.1_prot_WP_009873650.1_222	lcl|NC_020930.1_prot_WP_009873650.1_223	lcl|NC_010287.1_prot_WP_009873650.1_473	lcl|NC_020945.1_prot_WP_009873650.1_223	lcl|NC_020933.1_prot_WP_009873650.1_223	lcl|NC_020934.1_prot_WP_009873650.1_223	lcl|NC_020977.1_prot_WP_009873650.1_222	lcl|NC_020978.1_prot_WP_009873650.1_223	lcl|NC_020936.1_prot_WP_009873650.1_223	lcl|NC_020976.1_prot_WP_009873650.1_224	lcl|NC_020935.1_prot_WP_009873650.1_223	lcl|NC_020932.1_prot_WP_009873650.1_222	lcl|NC_020975.1_prot_WP_009873650.1_224	lcl|NC_020931.1_prot_WP_009873650.1_223	lcl|NC_020974.1_prot_WP_009873650.1_223
18	18	1	lcl|NC_020929.1_prot_WP_009873814.1_455	lcl|NC_020972.1_prot_WP_009873814.1_455	lcl|NC_020973.1_prot_WP_009873814.1_456	lcl|NC_020937.1_prot_WP_009873814.1_455	lcl|NC_020930.1_prot_WP_009873814.1_456	lcl|NC_010287.1_prot_WP_009873814.1_706	lcl|NC_020945.1_prot_WP_009873814.1_455	lcl|NC_020933.1_prot_WP_009873814.1_455	lcl|NC_020934.1_prot_WP_009873814.1_455	lcl|NC_020977.1_prot_WP_009873814.1_454	lcl|NC_020978.1_prot_WP_009873814.1_455	lcl|NC_020936.1_prot_WP_009873814.1_455	lcl|NC_020976.1_prot_WP_009873814.1_456	lcl|NC_020935.1_prot_WP_009873814.1_455	lcl|NC_020932.1_prot_WP_009873814.1_454	lcl|NC_020975.1_prot_WP_009873814.1_456	lcl|NC_020931.1_prot_WP_009873814.1_455	lcl|NC_020974.1_prot_WP_009873814.1_456
18	18	1	lcl|NC_020929.1_prot_WP_009873833.1_478	lcl|NC_020972.1_prot_WP_009873833.1_478	lcl|NC_020973.1_prot_WP_009873833.1_479	lcl|NC_020937.1_prot_WP_009873833.1_478	lcl|NC_020930.1_prot_WP_009873833.1_479	lcl|NC_010287.1_prot_WP_009873833.1_729	lcl|NC_020945.1_prot_WP_009873833.1_478	lcl|NC_020933.1_prot_WP_009873833.1_478	lcl|NC_020934.1_prot_WP_009873833.1_478	lcl|NC_020977.1_prot_WP_009873833.1_477	lcl|NC_020978.1_prot_WP_009873833.1_478	lcl|NC_020936.1_prot_WP_009873833.1_478	lcl|NC_020976.1_prot_WP_009873833.1_479	lcl|NC_020935.1_prot_WP_015505825.1_478	lcl|NC_020932.1_prot_WP_009873833.1_477	lcl|NC_020975.1_prot_WP_009873833.1_479	lcl|NC_020931.1_prot_WP_009873833.1_478	lcl|NC_020974.1_prot_WP_009873833.1_479
18	18	1	lcl|NC_020929.1_prot_WP_009873843.1_493	lcl|NC_020972.1_prot_WP_009873843.1_493	lcl|NC_020973.1_prot_WP_009873843.1_494	lcl|NC_020937.1_prot_WP_009873843.1_493	lcl|NC_020930.1_prot_WP_009873843.1_494	lcl|NC_010287.1_prot_WP_009873843.1_744	lcl|NC_020945.1_prot_WP_009873843.1_493	lcl|NC_020933.1_prot_WP_009873843.1_493	lcl|NC_020934.1_prot_WP_009873843.1_493	lcl|NC_020977.1_prot_WP_009873843.1_492	lcl|NC_020978.1_prot_WP_009873843.1_493	lcl|NC_020936.1_prot_WP_009873843.1_493	lcl|NC_020976.1_prot_WP_009873843.1_494	lcl|NC_020935.1_prot_WP_009873843.1_493	lcl|NC_020932.1_prot_WP_009873843.1_492	lcl|NC_020975.1_prot_WP_009873843.1_494	lcl|NC_020931.1_prot_WP_009873843.1_493	lcl|NC_020974.1_prot_WP_009873843.1_494
18	18	1	lcl|NC_020929.1_prot_WP_009873845.1_495	lcl|NC_020972.1_prot_WP_009873845.1_495	lcl|NC_020973.1_prot_WP_009873845.1_496	lcl|NC_020937.1_prot_WP_009873845.1_495	lcl|NC_020930.1_prot_WP_009873845.1_496	lcl|NC_010287.1_prot_WP_009873845.1_746	lcl|NC_020945.1_prot_WP_009873845.1_495	lcl|NC_020933.1_prot_WP_009873845.1_495	lcl|NC_020934.1_prot_WP_009873845.1_495	lcl|NC_020977.1_prot_WP_009873845.1_494	lcl|NC_020978.1_prot_WP_009873845.1_495	lcl|NC_020936.1_prot_WP_009873845.1_495	lcl|NC_020976.1_prot_WP_009873845.1_496	lcl|NC_020935.1_prot_WP_009873845.1_495	lcl|NC_020932.1_prot_WP_009873845.1_494	lcl|NC_020975.1_prot_WP_009873845.1_496	lcl|NC_020931.1_prot_WP_009873845.1_495	lcl|NC_020974.1_prot_WP_009873845.1_496
18	18	1	lcl|NC_020929.1_prot_WP_010725271.1_623	lcl|NC_020972.1_prot_WP_010725271.1_623	lcl|NC_020973.1_prot_WP_010725271.1_624	lcl|NC_020937.1_prot_WP_010725271.1_622	lcl|NC_020930.1_prot_WP_010725271.1_624	lcl|NC_010287.1_prot_WP_010725271.1_874	lcl|NC_020945.1_prot_WP_010725271.1_623	lcl|NC_020933.1_prot_WP_010725271.1_623	lcl|NC_020934.1_prot_WP_010725271.1_624	lcl|NC_020977.1_prot_WP_010725271.1_622	lcl|NC_020978.1_prot_WP_010725271.1_624	lcl|NC_020936.1_prot_WP_010725271.1_623	lcl|NC_020976.1_prot_WP_010725271.1_624	lcl|NC_020935.1_prot_WP_010725271.1_623	lcl|NC_020932.1_prot_WP_010725271.1_622	lcl|NC_020975.1_prot_WP_010725271.1_624	lcl|NC_020931.1_prot_WP_010725271.1_623	lcl|NC_020974.1_prot_WP_010725271.1_623
18	18	1	lcl|NC_020929.1_prot_WP_010725344.1_803	lcl|NC_020972.1_prot_WP_010725344.1_804	lcl|NC_020973.1_prot_WP_010725344.1_806	lcl|NC_020937.1_prot_WP_010725344.1_802	lcl|NC_020930.1_prot_WP_010725344.1_804	lcl|NC_010287.1_prot_WP_010725344.1_155	lcl|NC_020945.1_prot_WP_010725344.1_803	lcl|NC_020933.1_prot_WP_010725344.1_803	lcl|NC_020934.1_prot_WP_010725344.1_805	lcl|NC_020977.1_prot_WP_010725344.1_803	lcl|NC_020978.1_prot_WP_010725344.1_804	lcl|NC_020936.1_prot_WP_010725344.1_803	lcl|NC_020976.1_prot_WP_010725344.1_807	lcl|NC_020935.1_prot_WP_010725344.1_803	lcl|NC_020932.1_prot_WP_010725344.1_802	lcl|NC_020975.1_prot_WP_010725344.1_805	lcl|NC_020931.1_prot_WP_010725344.1_803	lcl|NC_020974.1_prot_WP_010725344.1_803
18	18	0.998	lcl|NC_020929.1_prot_WP_009873498.1_21	lcl|NC_020972.1_prot_WP_009873498.1_21	lcl|NC_020973.1_prot_WP_009873498.1_21	lcl|NC_020937.1_prot_WP_009873498.1_21	lcl|NC_020930.1_prot_WP_009873498.1_21	lcl|NC_010287.1_prot_WP_009873498.1_271	lcl|NC_020945.1_prot_WP_009873498.1_21	lcl|NC_020933.1_prot_WP_009873498.1_21	lcl|NC_020934.1_prot_WP_009873498.1_21	lcl|NC_020977.1_prot_WP_009873498.1_21	lcl|NC_020978.1_prot_WP_009873498.1_21	lcl|NC_020936.1_prot_WP_009873498.1_21	lcl|NC_020976.1_prot_WP_009873498.1_21	lcl|NC_020935.1_prot_WP_080018179.1_21	lcl|NC_020932.1_prot_WP_009873498.1_21	lcl|NC_020975.1_prot_WP_009873498.1_21	lcl|NC_020931.1_prot_WP_009873498.1_21	lcl|NC_020974.1_prot_WP_009873498.1_21
18	18	0.995	lcl|NC_020929.1_prot_WP_009871912.1_563	lcl|NC_020972.1_prot_WP_009871912.1_563	lcl|NC_020973.1_prot_WP_009871912.1_564	lcl|NC_020937.1_prot_WP_009871912.1_563	lcl|NC_020930.1_prot_WP_009871912.1_564	lcl|NC_010287.1_prot_WP_009871912.1_814	lcl|NC_020945.1_prot_WP_009871912.1_563	lcl|NC_020933.1_prot_WP_009871912.1_563	lcl|NC_020934.1_prot_WP_009871912.1_564	lcl|NC_020977.1_prot_WP_009871912.1_562	lcl|NC_020978.1_prot_WP_009871912.1_564	lcl|NC_020936.1_prot_WP_009871912.1_563	lcl|NC_020976.1_prot_WP_009871912.1_564	lcl|NC_020935.1_prot_WP_009871912.1_563	lcl|NC_020932.1_prot_WP_009871912.1_562	lcl|NC_020975.1_prot_WP_009871912.1_564	lcl|NC_020931.1_prot_WP_009871912.1_563	lcl|NC_020974.1_prot_WP_009871912.1_564
18	18	0.995	lcl|NC_020929.1_prot_WP_009872081.1_724	lcl|NC_020972.1_prot_WP_009872081.1_724	lcl|NC_020973.1_prot_WP_009872081.1_725	lcl|NC_020937.1_prot_WP_009872081.1_723	lcl|NC_020930.1_prot_WP_009872081.1_725	lcl|NC_010287.1_prot_WP_009872081.1_75	lcl|NC_020945.1_prot_WP_009872081.1_724	lcl|NC_020933.1_prot_WP_009872081.1_724	lcl|NC_020934.1_prot_WP_009872081.1_725	lcl|NC_020977.1_prot_WP_009872081.1_724	lcl|NC_020978.1_prot_WP_009872081.1_725	lcl|NC_020936.1_prot_WP_009872081.1_724	lcl|NC_020976.1_prot_WP_009872081.1_727	lcl|NC_020935.1_prot_WP_009872081.1_724	lcl|NC_020932.1_prot_WP_009872081.1_723	lcl|NC_020975.1_prot_WP_009872081.1_725	lcl|NC_020931.1_prot_WP_009872081.1_724	lcl|NC_020974.1_prot_WP_009872081.1_724
18	18	0.995	lcl|NC_020929.1_prot_WP_009872437.1_182	lcl|NC_020972.1_prot_WP_009872437.1_182	lcl|NC_020973.1_prot_WP_009872437.1_182	lcl|NC_020937.1_prot_WP_009872437.1_181	lcl|NC_020930.1_prot_WP_009872437.1_182	lcl|NC_010287.1_prot_WP_009872437.1_432	lcl|NC_020945.1_prot_WP_009872437.1_182	lcl|NC_020933.1_prot_WP_009872437.1_182	lcl|NC_020934.1_prot_WP_009872437.1_182	lcl|NC_020977.1_prot_WP_009872437.1_181	lcl|NC_020978.1_prot_WP_009872437.1_182	lcl|NC_020936.1_prot_WP_009872437.1_182	lcl|NC_020976.1_prot_WP_009872437.1_183	lcl|NC_020935.1_prot_WP_015505813.1_182	lcl|NC_020932.1_prot_WP_009872437.1_181	lcl|NC_020975.1_prot_WP_009872437.1_183	lcl|NC_020931.1_prot_WP_009872437.1_182	lcl|NC_020974.1_prot_WP_009872437.1_182
18	18	0.995	lcl|NC_020929.1_prot_WP_009872491.1_242	lcl|NC_020972.1_prot_WP_009872491.1_242	lcl|NC_020973.1_prot_WP_009872491.1_242	lcl|NC_020937.1_prot_WP_009872491.1_241	lcl|NC_020930.1_prot_WP_009872491.1_242	lcl|NC_010287.1_prot_WP_009872491.1_492	lcl|NC_020945.1_prot_WP_009872491.1_242	lcl|NC_020933.1_prot_WP_009872491.1_242	lcl|NC_020934.1_prot_WP_009872491.1_242	lcl|NC_020977.1_prot_WP_009872491.1_241	lcl|NC_020978.1_prot_WP_009872491.1_242	lcl|NC_020936.1_prot_WP_009872491.1_242	lcl|NC_020976.1_prot_WP_009872491.1_243	lcl|NC_020935.1_prot_WP_009872491.1_242	lcl|NC_020932.1_prot_WP_009872491.1_241	lcl|NC_020975.1_prot_WP_009872491.1_243	lcl|NC_020931.1_prot_WP_009872491.1_242	lcl|NC_020974.1_prot_WP_009872491.1_242
18	18	0.995	lcl|NC_020929.1_prot_WP_009873458.1_875	lcl|NC_020972.1_prot_WP_009873458.1_877	lcl|NC_020973.1_prot_WP_009873458.1_878	lcl|NC_020937.1_prot_WP_009873458.1_874	lcl|NC_020930.1_prot_WP_009873458.1_876	lcl|NC_010287.1_prot_WP_009873458.1_227	lcl|NC_020945.1_prot_WP_009873458.1_875	lcl|NC_020933.1_prot_WP_009873458.1_875	lcl|NC_020934.1_prot_WP_009873458.1_877	lcl|NC_020977.1_prot_WP_009873458.1_876	lcl|NC_020978.1_prot_WP_009873458.1_877	lcl|NC_020936.1_prot_WP_009873458.1_875	lcl|NC_020976.1_prot_WP_009873458.1_880	lcl|NC_020935.1_prot_WP_015505843.1_875	lcl|NC_020932.1_prot_WP_009873458.1_875	lcl|NC_020975.1_prot_WP_009873458.1_878	lcl|NC_020931.1_prot_WP_009873458.1_875	lcl|NC_020974.1_prot_WP_009873458.1_875
18	18	0.995	lcl|NC_020929.1_prot_WP_009873706.1_296	lcl|NC_020972.1_prot_WP_009873706.1_296	lcl|NC_020973.1_prot_WP_009873706.1_296	lcl|NC_020937.1_prot_WP_009873706.1_295	lcl|NC_020930.1_prot_WP_009873706.1_296	lcl|NC_010287.1_prot_WP_009873706.1_546	lcl|NC_020945.1_prot_WP_009873706.1_296	lcl|NC_020933.1_prot_WP_009873706.1_296	lcl|NC_020934.1_prot_WP_009873706.1_296	lcl|NC_020977.1_prot_WP_009873706.1_295	lcl|NC_020978.1_prot_WP_009873706.1_296	lcl|NC_020936.1_prot_WP_009873706.1_296	lcl|NC_020976.1_prot_WP_009873706.1_297	lcl|NC_020935.1_prot_WP_015505820.1_296	lcl|NC_020932.1_prot_WP_009873706.1_295	lcl|NC_020975.1_prot_WP_009873706.1_297	lcl|NC_020931.1_prot_WP_009873706.1_296	lcl|NC_020974.1_prot_WP_009873706.1_296
18	18	0.995	lcl|NC_020929.1_prot_WP_009873832.1_477	lcl|NC_020972.1_prot_WP_009873832.1_477	lcl|NC_020973.1_prot_WP_009873832.1_478	lcl|NC_020937.1_prot_WP_009873832.1_477	lcl|NC_020930.1_prot_WP_009873832.1_478	lcl|NC_010287.1_prot_WP_009873832.1_728	lcl|NC_020945.1_prot_WP_009873832.1_477	lcl|NC_020933.1_prot_WP_009873832.1_477	lcl|NC_020934.1_prot_WP_009873832.1_477	lcl|NC_020977.1_prot_WP_009873832.1_476	lcl|NC_020978.1_prot_WP_009873832.1_477	lcl|NC_020936.1_prot_WP_009873832.1_477	lcl|NC_020976.1_prot_WP_009873832.1_478	lcl|NC_020935.1_prot_WP_009873832.1_477	lcl|NC_020932.1_prot_WP_009873832.1_476	lcl|NC_020975.1_prot_WP_009873832.1_478	lcl|NC_020931.1_prot_WP_009873832.1_477	lcl|NC_020974.1_prot_WP_009873832.1_478
